Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3	
464  Points		496  Points		213  Points		180  Points		166  Points		117  Points		323  Points		191  Points		156  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.164374	5.50955	0.0444518	2.21254	0.31483	2.25335	0.496753	0.947825	0.582847	1.56097	0.853163	0.979328	0.199431	4.01155	0.447231	1.8368	0.714914	1.10151
0.169499	5.49265	0.0454541	2.2169	0.316403	2.29178	0.497655	0.989083	0.584321	1.60375	0.854089	1.00888	0.203199	4.07508	0.448965	1.88657	0.715956	1.13495
0.174609	5.47475	0.0461923	2.21996	0.317724	2.32305	0.498596	1.03117	0.585836	1.64611	0.855043	1.03833	0.207024	4.13486	0.450746	1.93565	0.717029	1.16821
0.179701	5.45573	0.0466652	2.22169	0.31878	2.34747	0.499576	1.07418	0.587389	1.68797	0.856024	1.06764	0.210904	4.19104	0.452572	1.98399	0.718133	1.20132
0.184775	5.43555	0.0473457	2.22417	0.319565	2.36523	0.500597	1.11809	0.588981	1.72935	0.857032	1.09681	0.214834	4.24389	0.454443	2.03169	0.719268	1.23424
0.18983	5.41415	0.0480863	2.22684	0.320069	2.37647	0.50166	1.16292	0.590611	1.7703	0.858068	1.12593	0.218812	4.29364	0.456358	2.07866	0.720433	1.26695
0.194864	5.39144	0.0490947	2.23009	0.320799	2.39251	0.502764	1.20864	0.59228	1.81082	0.85913	1.15487	0.222834	4.34045	0.458317	2.12492	0.721629	1.29943
0.199876	5.36732	0.0503723	2.234	0.321598	2.40988	0.503912	1.25524	0.593986	1.85083	0.860219	1.18366	0.2269	4.38455	0.460318	2.1705	0.722854	1.33172
0.204865	5.34171	0.05192	2.23819	0.322694	2.43321	0.505103	1.30282	0.595728	1.89036	0.861336	1.21233	0.231005	4.42604	0.462361	2.21536	0.72411	1.36386
0.20983	5.31459	0.0537391	2.24253	0.324095	2.46233	0.506339	1.35124	0.597508	1.9295	0.862479	1.24089	0.235147	4.4651	0.464446	2.25952	0.725396	1.39575
0.214768	5.28585	0.0558306	2.24692	0.325812	2.49702	0.507621	1.40055	0.599324	1.96817	0.863648	1.26935	0.239325	4.50192	0.466571	2.30296	0.726711	1.42738
0.219679	5.25532	0.0579259	2.25065	0.327855	2.53697	0.508949	1.45076	0.601175	2.00638	0.864844	1.29765	0.243536	4.53651	0.468737	2.34567	0.728056	1.45886
0.224561	5.22296	0.0600244	2.25376	0.33024	2.58203	0.510324	1.50181	0.603063	2.0442	0.866066	1.32575	0.247778	4.56911	0.470942	2.38773	0.729429	1.4901
0.229412	5.18871	0.0621256	2.25634	0.332667	2.62625	0.511748	1.55374	0.604985	2.08154	0.867314	1.35375	0.25205	4.59977	0.473186	2.42906	0.730832	1.52108
0.23423	5.15236	0.0642289	2.25855	0.335134	2.6697	0.51322	1.60648	0.606941	2.11843	0.868589	1.38163	0.256349	4.62858	0.475469	2.4697	0.732264	1.55193
0.239013	5.11388	0.0663341	2.26031	0.337641	2.7126	0.514741	1.66004	0.608932	2.15494	0.869889	1.40933	0.260675	4.65572	0.477488	2.5046	0.733724	1.58249
0.243759	5.07317	0.0684407	2.2617	0.340188	2.75499	0.516313	1.71441	0.610957	2.19102	0.871215	1.43691	0.265025	4.6812	0.479232	2.53392	0.735213	1.61278
0.248466	5.03005	0.0705486	2.26288	0.342775	2.79695	0.517936	1.76947	0.613015	2.22665	0.872566	1.46432	0.269398	4.70514	0.480689	2.55785	0.736729	1.64288
0.253132	4.98453	0.0726574	2.26372	0.3454	2.83866	0.51961	1.82525	0.615106	2.26188	0.873943	1.49158	0.273792	4.72755	0.481851	2.57665	0.738274	1.67277
0.257754	4.93649	0.0747668	2.26432	0.348064	2.88032	0.521112	1.87444	0.61723	2.29673	0.875346	1.51871	0.278207	4.74857	0.48271	2.59038	0.739846	1.70238
0.26233	4.88581	0.0768767	2.26477	0.350767	2.92198	0.522424	1.9167	0.619386	2.33113	0.876773	1.54566	0.282641	4.76827	0.483263	2.59907	0.741446	1.73178
0.266858	4.83244	0.0789869	2.26503	0.353509	2.9638	0.523531	1.95195	0.621573	2.36515	0.878226	1.57246	0.287092	4.78666	0.48406	2.61142	0.743073	1.76092
0.271335	4.7763	0.0810973	2.26513	0.35629	3.00602	0.524421	1.97999	0.623793	2.39876	0.879703	1.5991	0.29156	4.80383	0.484932	2.6249	0.744727	1.78984
0.275758	4.71734	0.0832077	2.2651	0.359111	3.04866	0.525083	2.00058	0.626043	2.432	0.881206	1.62558	0.296043	4.81982	0.486124	2.64312	0.746408	1.81851
0.280125	4.65561	0.0853181	2.26498	0.361971	3.09196	0.52551	2.01388	0.628325	2.46486	0.882732	1.65188	0.300541	4.83469	0.487643	2.66582	0.748116	1.84694
0.284433	4.59109	0.0874283	2.26473	0.364872	3.13605	0.52613	2.0331	0.630636	2.49731	0.884284	1.67804	0.305052	4.84847	0.489497	2.69303	0.74985	1.87514
0.28868	4.52373	0.0895382	2.26439	0.367815	3.18099	0.52681	2.05394	0.632978	2.52942	0.885859	1.70407	0.309576	4.86118	0.491697	2.72438	0.75161	1.90306
0.292863	4.45368	0.0916477	2.264	0.3708	3.22701	0.527746	2.08242	0.63535	2.56111	0.887459	1.72989	0.314111	4.87292	0.494252	2.75981	0.753396	1.93071
0.296979	4.38104	0.0937569	2.26359	0.373828	3.27422	0.528948	2.11864	0.63775	2.59249	0.889083	1.75555	0.318656	4.88369	0.496839	2.79466	0.755208	1.95817
