Sym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
420  Points		420  Points		380  Points		240  Points		401  Points		381  Points		251  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.00185	2.42927	1.00158	2.42925	0.433013	5371.83	0.866025	2722.4	0.216523	320.918	1.00031	2.67954	0.698268	947.565
0.999343	2.42905	0.999074	2.42903	0.433058	402.234	0.866013	658.999	0.216608	129.649	0.99882	2.68272	0.698386	403.008
0.996837	2.42884	0.996569	2.42882	0.433181	208.998	0.865986	374.86	0.216764	81.2842	0.997346	2.68594	0.698597	255.995
0.994335	2.42864	0.994068	2.42862	0.43338	141.227	0.865944	261.917	0.216992	59.2427	0.995883	2.68922	0.698901	187.626
0.991839	2.42845	0.991572	2.42843	0.433656	106.688	0.865888	201.266	0.217291	46.6411	0.994432	2.69254	0.699294	148.124
0.989348	2.42827	0.989081	2.42825	0.434006	85.7596	0.865817	163.416	0.217661	38.4912	0.992992	2.69591	0.699772	122.401
0.986862	2.4281	0.986596	2.42809	0.434429	71.7265	0.865732	137.543	0.218099	32.7928	0.991563	2.69933	0.700331	104.324
0.984381	2.42795	0.984115	2.42793	0.434924	61.6671	0.865633	118.738	0.218607	28.5878	0.990144	2.7028	0.700968	90.9276
0.981906	2.42781	0.981641	2.42779	0.435489	54.1061	0.865519	104.452	0.219182	25.3598	0.988736	2.70631	0.701677	80.6052
0.979436	2.42768	0.979171	2.42767	0.436121	48.2177	0.865391	93.23	0.219824	22.8059	0.987337	2.70987	0.702453	72.4095
0.976971	2.42757	0.976708	2.42755	0.436818	43.5041	0.86525	84.1818	0.22053	20.7364	0.985949	2.71348	0.703292	65.7458
0.974513	2.42746	0.97425	2.42745	0.437577	39.6468	0.865095	76.7311	0.221301	19.0269	0.98457	2.71713	0.70419	60.2224
0.972061	2.42738	0.971798	2.42737	0.438396	36.4331	0.864926	70.4888	0.222134	17.592	0.9832	2.72083	0.705143	55.5703
0.969614	2.42731	0.969352	2.4273	0.439273	33.7152	0.864744	65.1829	0.223028	16.3714	0.981839	2.72458	0.706145	51.5991
0.967174	2.42725	0.966912	2.42724	0.440204	31.3873	0.864549	60.6172	0.223981	15.3212	0.980487	2.72836	0.707193	48.1698
0.96474	2.42721	0.964479	2.4272	0.441188	29.3715	0.864342	56.6467	0.224992	14.4087	0.979144	2.7322	0.708284	45.1791
0.962312	2.42718	0.962052	2.42718	0.442222	27.6095	0.864122	53.162	0.226059	13.609	0.977809	2.73608	0.709414	42.548
0.959891	2.42717	0.959632	2.42717	0.443303	26.0567	0.86389	50.0791	0.227181	12.9028	0.976483	2.74	0.710581	40.2155
0.957476	2.42718	0.957218	2.42718	0.444429	24.6781	0.863646	47.332	0.228355	12.2751	0.975165	2.74398	0.711781	38.1338
0.955069	2.42721	0.954811	2.42721	0.445597	23.4462	0.863391	44.8688	0.22958	11.7138	0.973855	2.74799	0.713012	36.2646
0.952668	2.42725	0.952411	2.42725	0.446805	22.3391	0.863124	42.6475	0.230854	11.2091	0.972552	2.75205	0.714271	34.577
0.950274	2.42731	0.950018	2.42732	0.448052	21.3388	0.862847	40.634	0.232176	10.7533	0.971257	2.75615	0.715557	33.0459
0.947888	2.42739	0.947632	2.4274	0.449335	20.4307	0.862559	38.8005	0.233543	10.3396	0.96997	2.7603	0.716867	31.6505
0.945508	2.42749	0.945254	2.4275	0.450652	19.6028	0.862261	37.1238	0.234954	9.96276	0.96869	2.7645	0.718199	30.3737
0.943137	2.42761	0.942883	2.42762	0.452001	18.845	0.861954	35.5846	0.236408	9.61818	0.967417	2.76873	0.719553	29.2009
0.940772	2.42775	0.940519	2.42776	0.45338	18.1488	0.861637	34.1666	0.237902	9.30202	0.966152	2.77302	0.720926	28.12
0.938416	2.4279	0.938164	2.42792	0.454788	17.5072	0.861311	32.856	0.239435	9.01103	0.964893	2.77734	0.722318	27.1206
0.936067	2.42808	0.935816	2.42811	0.456223	16.9139	0.860977	31.641	0.241005	8.74243	0.963642	2.78172	0.723726	26.1939
0.933726	2.42829	0.933476	2.42831	0.457684	16.3638	0.860634	30.5116	0.242612	8.4938	0.962397	2.78613	0.72515	25.3322
0.931394	2.42851	0.931144	2.42854	0.459169	15.8524	0.860284	29.459	0.244252	8.26309	0.961158	2.7906	0.726588	24.529
0.929069	2.42876	0.92882	2.42878	0.460677	15.3757	0.859926	28.4755	0.245925	8.04849	0.959927	2.7951	0.728041	23.7785
0.926753	2.42903	0.926505	2.42906	0.462206	14.9304	0.859562	27.5546	0.247408	7.87339	0.958701	2.79965	0.729506	23.0757
0.924445	2.42932	0.924198	2.42935	0.463755	14.5135	0.859191	26.6905	0.248691	7.73214	0.957482	2.80425	0.730983	22.4161
0.922146	2.42964	0.9219	2.42967	0.465324	14.1224	0.858813	25.8781	0.249764	7.62052	0.956269	2.80889	0.732472	21.7961
0.919855	2.42998	0.91961	2.43002	0.46691	13.7547	0.858431	25.1129	0.250619	7.5354	0.955062	2.81358	0.733971	21.212
0.917573	2.43035	0.917329	2.43039	0.468514	13.4085	0.858043	24.3908	0.251253	7.4745	0.953861	2.81831	0.735479	20.6608
0.9153	2.43074	0.915057	2.43078	0.470134	13.082	0.85765	23.7084	0.25166	7.43625	0.952666	2.82309	0.736997	20.14
0.913036	2.43116	0.912794	2.4312	0.471768	12.7735	0.857252	23.0624	0.252247	7.38222	0.951477	2.82791	0.738524	19.6469
0.910781	2.4316	0.91054	2.43165	0.473417	12.4815	0.856851	22.45	0.252889	7.32476	0.950293	2.83278	0.740058	19.1795
0.908535	2.43207	0.908295	2.43212	0.475079	12.2048	0.856447	21.8687	0.253768	7.24863	0.949115	2.83769	0.741601	18.7359
0.906299	2.43257	0.90606	2.43263	0.476754	11.9423	0.856039	21.3162	0.254887	7.15554	0.947943	2.84265	0.74315	18.3142
