Sym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
401  Points		402  Points		379  Points		213  Points		400  Points		314  Points		178  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.00002	2.53973	1.00194	2.53851	0.433029	2773.23	0.866025	1729.56	0.216518	388.94	1.00058	3.2642	0.858432	1454.56
0.997994	2.54102	0.999916	2.53979	0.433756	376.469	0.866025	578.606	0.216596	139.495	0.999116	3.27006	0.858456	541.206
0.995975	2.54232	0.997894	2.54108	0.435038	202.513	0.866026	347.415	0.216747	85.0409	0.997649	3.27594	0.858503	332.468
0.993958	2.54364	0.995874	2.54239	0.4365	138.826	0.866026	248.231	0.216971	61.209	0.996174	3.28183	0.858572	239.943
0.991943	2.54497	0.993857	2.54371	0.438037	105.8	0.866027	193.102	0.217268	47.8481	0.994692	3.28774	0.858664	187.716
0.98993	2.54632	0.991842	2.54504	0.439613	85.5899	0.866027	158.01	0.217636	39.3072	0.993202	3.29366	0.858777	154.171
0.987918	2.54767	0.98983	2.54638	0.441214	71.9493	0.866028	133.711	0.218076	33.3815	0.991704	3.29959	0.858913	130.806
0.985909	2.54903	0.987818	2.54774	0.442834	62.1232	0.866029	115.889	0.218586	29.0331	0.990199	3.30553	0.859071	113.599
0.983901	2.55041	0.985809	2.5491	0.444469	54.7083	0.86603	102.26	0.219165	25.7089	0.988684	3.31149	0.859251	100.399
0.981894	2.5518	0.983801	2.55048	0.446117	48.9144	0.866031	91.4989	0.219812	23.0873	0.987161	3.31745	0.859453	89.9538
0.979888	2.55319	0.981794	2.55187	0.447778	44.2626	0.866033	82.7871	0.220526	20.9687	0.98563	3.32343	0.859677	81.4828
0.977883	2.5546	0.979788	2.55326	0.449449	40.4457	0.866034	75.5901	0.221306	19.2224	0.984089	3.32942	0.859922	74.4752
0.975878	2.55601	0.977783	2.55467	0.45113	37.2575	0.866036	69.5444	0.22215	17.7592	0.982539	3.33541	0.860189	68.5822
0.973874	2.55743	0.975778	2.55608	0.452821	34.5547	0.866039	64.3941	0.223056	16.5166	0.98098	3.34142	0.860477	63.5579
0.97187	2.55886	0.973774	2.5575	0.454521	32.2344	0.866041	59.9542	0.224023	15.4488	0.979411	3.34743	0.860787	59.2237
0.969865	2.5603	0.97177	2.55893	0.456229	30.2209	0.866045	56.087	0.22505	14.5221	0.977832	3.35345	0.861118	55.4468
0.96786	2.56174	0.969766	2.56037	0.457947	28.4571	0.866048	52.6886	0.226134	13.7109	0.976243	3.35948	0.861469	52.1264
0.965855	2.56319	0.967761	2.56182	0.459672	26.8994	0.866052	49.6785	0.227275	12.9952	0.974644	3.36551	0.861841	49.1846
0.963848	2.56465	0.965755	2.56326	0.461405	25.5138	0.866056	46.9938	0.22847	12.3597	0.973034	3.37155	0.862234	46.5604
0.961841	2.56611	0.963749	2.56472	0.463147	24.2732	0.866062	44.5845	0.229717	11.7918	0.971414	3.37759	0.862647	44.2051
0.959832	2.56757	0.961741	2.56618	0.464895	23.156	0.866067	42.4102	0.231016	11.2816	0.969783	3.38364	0.86308	42.0796
