Sym0		Sym1		Sym2		Sym3		Asym1		Asym2	
389  Points		390  Points		366  Points		199  Points		400  Points		295  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.001	2.61966	1.00177	2.61946	0.491381	1092.62	0.866027	975.659	0.216534	252.112	0.649519	4093.67
0.99862	2.62027	0.999398	2.62007	0.491463	339.936	0.866032	459.761	0.216635	116.79	0.649519	562.506
0.996237	2.62087	0.997017	2.62067	0.49163	201.341	0.866041	300.742	0.21681	76.0488	0.649519	302.002
0.993848	2.62145	0.99463	2.62126	0.491881	143.08	0.866054	223.457	0.217058	56.4234	0.649519	206.411
0.991454	2.62202	0.992238	2.62184	0.492214	111.014	0.866071	177.775	0.217379	44.8855	0.64952	156.784
0.989053	2.62258	0.989839	2.6224	0.492628	90.726	0.866092	147.602	0.217773	37.2963	0.64952	126.396
0.986647	2.62313	0.987435	2.62295	0.49312	76.7398	0.866116	126.187	0.218238	31.9294	0.649521	105.875
0.984236	2.62367	0.985025	2.62349	0.493686	66.5175	0.866144	110.199	0.218774	27.9367	0.649521	91.0864
0.981818	2.62419	0.98261	2.62402	0.494323	58.7227	0.866176	97.8087	0.219379	24.853	0.649522	79.923
0.979396	2.6247	0.980189	2.62454	0.495028	52.5846	0.866212	87.9239	0.220053	22.4015	0.649524	71.1972
0.976969	2.62521	0.977763	2.62504	0.495799	47.6273	0.866252	79.8546	0.220793	20.4077	0.649525	64.1893
0.974536	2.6257	0.975332	2.62554	0.49663	43.5411	0.866296	73.1428	0.2216	18.7556	0.649526	58.4373
0.972099	2.62618	0.972896	2.62602	0.497519	40.116	0.866344	67.4727	0.22247	17.3653	0.649528	53.6315
0.969657	2.62665	0.970456	2.6265	0.498462	37.2041	0.866395	62.6192	0.223403	16.1802	0.649531	49.5561
0.96721	2.62711	0.96801	2.62696	0.499456	34.6988	0.866451	58.4178	0.224398	15.1587	0.649533	46.0564
0.964758	2.62756	0.965561	2.62741	0.500498	32.5208	0.86651	54.7454	0.225452	14.2698	0.649536	43.0184
0.962303	2.628	0.963106	2.62786	0.501585	30.6104	0.866574	51.5081	0.226564	13.4897	0.64954	40.3565
0.959843	2.62843	0.960648	2.62829	0.502714	28.9213	0.866641	48.633	0.227732	12.8002	0.649544	38.0049
0.957378	2.62885	0.958185	2.62872	0.503883	27.4175	0.866713	46.0624	0.228954	12.1866	0.649549	35.9123
0.95491	2.62927	0.955718	2.62913	0.505088	26.0702	0.866788	43.7505	0.230229	11.6375	0.649555	34.0382
0.952438	2.62967	0.953247	2.62954	0.506329	24.8563	0.866868	41.6601	0.231382	11.2042	0.649561	32.35
0.949962	2.63007	0.950772	2.62994	0.507601	23.7572	0.866952	39.7609	0.232395	10.864	0.649568	30.8215
0.947482	2.63046	0.948294	2.63033	0.508904	22.7573	0.86704	38.0278	0.233252	10.6009	0.649576	29.431
0.944999	2.63084	0.945812	2.63071	0.510236	21.8439	0.867132	36.44	0.233943	10.4035	0.649585	28.1605
0.942512	2.63121	0.943326	2.63109	0.511595	21.0063	0.867228	34.9799	0.234458	10.2641	0.649595	26.9953
0.940022	2.63158	0.940837	2.63146	0.512979	20.2356	0.867329	33.6327	0.23479	10.1772	0.649606	25.9228
0.937529	2.63193	0.938345	2.63182	0.514387	19.524	0.867433	32.3859	0.235272	10.0555	0.649619	24.9323
0.935032	2.63229	0.935849	2.63217	0.515817	18.8651	0.867542	31.2287	0.235802	9.92716	0.649633	24.0148
0.932533	2.63263	0.933351	2.63252	0.517268	18.2533	0.867656	30.1518	0.236531	9.7591	0.649648	23.1626
0.93003	2.63297	0.930849	2.63286	0.51874	17.6837	0.867774	29.147	0.237468	9.55651	0.649665	22.3688
0.927525	2.6333	0.928344	2.63319	0.52023	17.1521	0.867896	28.2074	0.238622	9.32529	0.649683	21.6277
0.925016	2.63363	0.925837	2.63352	0.521738	16.6549	0.868023	27.3269	0.240006	9.07164	0.649703	20.9343
0.922505	2.63395	0.923327	2.63384	0.523263	16.1888	0.868154	26.5001	0.24163	8.80168	0.649725	20.284
0.919992	2.63426	0.920814	2.63416	0.524804	15.7511	0.86829	25.7222	0.243293	8.55197	0.649749	19.673
0.917476	2.63457	0.918299	2.63447	0.526361	15.3393	0.86843	24.989	0.244992	8.32041	0.649774	19.0978
0.914957	2.63488	0.915781	2.63478	0.527932	14.9511	0.868575	24.2968	0.246727	8.10516	0.649802	18.5554
0.912436	2.63517	0.913261	2.63508	0.529516	14.5846	0.868725	23.6423	0.248496	7.90462	0.649833	18.0431
0.909913	2.63547	0.910738	2.63537	0.531114	14.238	0.868879	23.0224	0.250297	7.71741	0.649865	17.5584
0.907387	2.63576	0.908214	2.63566	0.532724	13.9097	0.869038	22.4346	0.25213	7.54228	0.649901	17.0992
0.90486	2.63604	0.905687	2.63595	0.534346	13.5984	0.869202	21.8763	0.253992	7.37816	0.649938	16.6636
0.90233	2.63632	0.903158	2.63623	0.535979	13.3028	0.869371	21.3455	0.255883	7.22407	0.649979	16.2496
0.899798	2.6366	0.900627	2.63651	0.537623	13.0217	0.869545	20.8401	0.257801	7.07917	0.650023	15.8559
0.897265	2.63687	0.898093	2.63678	0.539277	12.7541	0.869724	20.3584	0.259746	6.94267	0.650069	15.4809
0.894729	2.63714	0.895558	2.63705	0.540941	12.499	0.869908	19.8988	0.261716	6.81392	0.650119	15.1234
0.892192	2.6374	0.893022	2.63731	0.542614	12.2556	0.870097	19.4597	0.263709	6.69227	0.650172	14.7821
0.889652	2.63766	0.890483	2.63758	0.544296	12.0231	0.870292	19.04	0.265726	6.5772	0.650228	14.456
0.887111	2.63792	0.887943	2.63783	0.545986	11.8008	0.870491	18.6382	0.267764	6.46819	0.650288	14.1442
0.884569	2.63817	0.885401	2.63809	0.547685	11.5881	0.870696	18.2533	0.269823	6.3648	0.650352	13.8456
0.882025	2.63842	0.882857	2.63834	0.549171	11.41	0.870907	17.8843	0.271903	6.26661	0.65042	13.5595
0.879479	2.63867	0.880312	2.63859	0.550443	11.2632	0.871122	17.5302	0.274001	6.17326	0.650491	13.2851
0.876932	2.63891	0.877765	2.63883	0.551497	11.1453	0.871344	17.1901	0.276118	6.08441	0.650567	13.0218
0.874383	2.63915	0.875216	2.63907	0.552333	11.0541	0.87157	16.8632	0.278252	5.99975	0.650647	12.7688
0.871833	2.63939	0.872667	2.63931	0.552948	10.9882	0.871803	16.5488	0.280402	5.919	0.650732	12.5257
0.869281	2.63962	0.870116	2.63955	0.553342	10.9465	0.872041	16.2461	0.282568	5.84191	0.650821	12.2917
0.866728	2.63985	0.867563	2.63978	0.55391	10.8872	0.872285	15.9546	0.28475	5.76822	0.650915	12.0665
0.864174	2.64008	0.86501	2.64001	0.554527	10.8237	0.872535	15.6736	0.286945	5.69774	0.651014	11.8496
0.861619	2.64031	0.862455	2.64024	0.555368	10.7387	0.872791	15.4027	0.289155	5.63026	0.651105	11.6669
