Sym0		Sym1		Sym2		Sym3		Asym1		Asym2	
390  Points		390  Points		367  Points		200  Points		401  Points		295  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.874527	2.63869	0.875612	2.63858	0.549637	10.9323	0.871216	16.9389	0.276662	6.05947	0.650164	12.6242
0.871984	2.63894	0.87307	2.63883	0.550262	10.8678	0.871436	16.6213	0.278798	5.97589	0.650233	12.386
0.86944	2.6392	0.870526	2.63909	0.550662	10.8271	0.871662	16.3157	0.280951	5.89616	0.650307	12.1567
0.866893	2.63945	0.867981	2.63934	0.551237	10.7691	0.871893	16.0213	0.283119	5.82001	0.650386	11.936
0.864346	2.6397	0.865433	2.63959	0.551863	10.7069	0.87213	15.7376	0.285303	5.74721	0.65047	11.7232
0.861797	2.63994	0.862885	2.63984	0.552716	10.6237	0.872373	15.4641	0.2875	5.67755	0.650548	11.544
0.859246	2.64019	0.860335	2.64008	0.553797	10.5208	0.872622	15.2001	0.28971	5.61084	0.650617	11.3956
0.856694	2.64043	0.857784	2.64032	0.555106	10.3995	0.872876	14.9452	0.291933	5.5469	0.650676	11.2758
0.854141	2.64066	0.855231	2.64056	0.556646	10.2615	0.873137	14.699	0.294168	5.48555	0.650724	11.1829
0.851587	2.6409	0.852677	2.6408	0.558417	10.1085	0.873404	14.461	0.296415	5.42666	0.650761	11.1156
0.849031	2.64113	0.850122	2.64103	0.560193	9.96106	0.873677	14.2309	0.298673	5.37007	0.650784	11.0729
0.846474	2.64136	0.847566	2.64126	0.561973	9.81882	0.873956	14.0082	0.300941	5.31565	0.650819	11.0122
0.843916	2.64159	0.845008	2.64149	0.563758	9.68151	0.874242	13.7925	0.303218	5.26328	0.650857	10.947
0.841357	2.64181	0.84245	2.64172	0.565547	9.5489	0.874534	13.5837	0.305505	5.21285	0.650911	10.8595
0.838797	2.64204	0.83989	2.64194	0.567339	9.42073	0.874832	13.3813	0.3078	5.16425	0.65098	10.7509
0.836236	2.64226	0.837329	2.64217	0.569135	9.29678	0.875137	13.1851	0.310104	5.11738	0.651067	10.6226
0.833673	2.64248	0.834767	2.64239	0.570933	9.17686	0.875449	12.9948	0.312416	5.07216	0.651173	10.4759
0.83111	2.6427	0.832205	2.64261	0.572735	9.06077	0.875768	12.8101	0.314734	5.02849	0.651301	10.3127
0.828546	2.64292	0.829641	2.64282	0.57454	8.94832	0.876094	12.6309	0.31706	4.98629	0.651435	10.1547
0.825981	2.64313	0.827076	2.64304	0.576348	8.83935	0.876427	12.4568	0.319392	4.9455	0.651576	10.0016
0.823415	2.64335	0.824511	2.64326	0.578157	8.73369	0.876766	12.2877	0.321729	4.90603	0.651724	9.85325
0.820849	2.64356	0.821945	2.64347	0.57997	8.6312	0.877113	12.1233	0.324073	4.86783	0.651879	9.70938
0.818281	2.64377	0.819377	2.64368	0.581784	8.53173	0.877422	11.9838	0.326421	4.83083	0.652041	9.56983
0.815713	2.64398	0.81681	2.64389	0.583599	8.43515	0.877689	11.8675	0.328774	4.79498	0.652211	9.4344
0.813144	2.64419	0.814241	2.6441	0.585417	8.34133	0.877913	11.7732	0.331132	4.76021	0.652388	9.30293
0.810574	2.6444	0.811672	2.64431	0.587236	8.25016	0.878093	11.6997	0.333493	4.72648	0.652573	9.17526
0.808004	2.64461	0.809102	2.64452	0.589056	8.16153	0.878226	11.6462	0.335859	4.69375	0.652766	9.05122
0.805433	2.64482	0.806531	2.64473	0.590877	8.07532	0.878311	11.6123	0.338227	4.66195	0.652968	8.93067
0.802861	2.64502	0.803959	2.64494	0.592699	7.99144	0.878435	11.5639	0.340598	4.63106	0.653177	8.81347
0.800289	2.64523	0.801387	2.64514	0.594522	7.90979	0.87857	11.5118	0.342972	4.60103	0.653396	8.6995
0.797716	2.64543	0.798815	2.64535	0.596345	7.83028	0.878756	11.4417	0.345349	4.57182	0.653623	8.58863
0.795143	2.64564	0.796242	2.64555	0.598168	7.75283	0.878994	11.3543	0.347727	4.54339	0.653859	8.48074
0.792569	2.64584	0.793668	2.64576	0.599992	7.67736	0.879285	11.2506	0.350107	4.51572	0.654105	8.37572
0.789994	2.64605	0.791094	2.64596	0.601815	7.60378	0.879632	11.1314	0.352488	4.48877	0.654359	8.27346
0.78742	2.64625	0.788519	2.64616	0.603639	7.53203	0.880038	10.9979	0.35487	4.4625	0.654624	8.17387
0.784844	2.64645	0.785944	2.64637	0.605462	7.46204	0.880453	10.8678	0.357253	4.4369	0.654898	8.07685
0.782268	2.64666	0.783368	2.64657	0.607284	7.39374	0.880875	10.741	0.359637	4.41192	0.655183	7.9823
0.779692	2.64686	0.780792	2.64677	0.609106	7.32706	0.881305	10.6173	0.36202	4.38756	0.655477	7.89014
0.777115	2.64706	0.778215	2.64698	0.610927	7.26196	0.881745	10.4966	0.364404	4.36377	0.655782	7.80029
0.774538	2.64727	0.775639	2.64718	0.612746	7.19836	0.882192	10.3789	0.366787	4.34053	0.656098	7.71267
0.771961	2.64747	0.773061	2.64738	0.614565	7.13623	0.882649	10.264	0.36917	4.31784	0.656424	7.62721
0.769383	2.64767	0.770484	2.64759	0.616382	7.0755	0.883114	10.1518	0.371551	4.29565	0.656762	7.54383
0.766805	2.64788	0.767906	2.64779	0.618198	7.01612	0.883588	10.0423	0.373932	4.27395	0.657111	7.46246
0.764227	2.64808	0.765327	2.648	0.620011	6.95805	0.884071	9.93529	0.376311	4.25273	0.657472	7.38304
0.761648	2.64829	0.762749	2.6482	0.621823	6.90124	0.884563	9.83078	0.378688	4.23196	0.657844	7.30551
0.759069	2.64849	0.76017	2.64841	0.623633	6.84565	0.885064	9.72866	0.381064	4.21163	0.658228	7.22981
0.75649	2.6487	0.757591	2.64861	0.625441	6.79125	0.885575	9.62885	0.383437	4.19172	0.658624	7.15587
0.753911	2.64891	0.755012	2.64882	0.627246	6.73798	0.886095	9.53129	0.385808	4.1722	0.659033	7.08365
0.751331	2.64911	0.752432	2.64902	0.629049	6.68581	0.886625	9.43589	0.388176	4.15308	0.659454	7.0131
0.748751	2.64932	0.749853	2.64923	0.630849	6.6347	0.887164	9.3426	0.390541	4.13433	0.659888	6.94416
0.746172	2.64953	0.747273	2.64944	0.632646	6.58463	0.887714	9.25135	0.392903	4.11594	0.660335	6.87678
0.743592	2.64974	0.744693	2.64965	0.634441	6.53555	0.888273	9.16207	0.395262	4.09789	0.660795	6.81093
0.741011	2.64995	0.742113	2.64986	0.636232	6.48744	0.888842	9.07471	0.397617	4.08017	0.661268	6.74655
0.738431	2.65016	0.739533	2.65007	0.63802	6.44026	0.889421	8.98922	0.399968	4.06277	0.661756	6.6836
0.735851	2.65038	0.736952	2.65029	0.639804	6.39399	0.890011	8.90553	0.402315	4.04568	0.662257	6.62205
0.73327	2.65059	0.734372	2.6505	0.641585	6.34859	0.890611	8.82359	0.404658	4.02889	0.662772	6.56184
0.73069	2.65081	0.731792	2.65072	0.643362	6.30404	0.891222	8.74336	0.406997	4.01238	0.663301	6.50296
0.72811	2.65103	0.729211	2.65093	0.645135	6.26032	0.891843	8.66479	0.40933	3.99615	0.663845	6.44535
0.725529	2.65125	0.726631	2.65115	0.646904	6.21739	0.892475	8.58783	0.411659	3.98018	0.664403	6.38899
0.722949	2.65147	0.72405	2.65137	0.648669	6.17524	0.893118	8.51243	0.413982	3.96446	0.664977	6.33384
0.720368	2.65169	0.72147	2.65159	0.650429	6.13384	0.893771	8.43855	0.4163	3.94899	0.665565	6.27987
0.717788	2.65191	0.718889	2.65182	0.652185	6.09317	0.894436	8.36615	0.418612	3.93376	0.666169	6.22704
0.715208	2.65214	0.716309	2.65204	0.653937	6.0532	0.895112	8.29519	0.420919	3.91876	0.666789	6.17534
0.712627	2.65237	0.713729	2.65227	0.655683	6.01392	0.895799	8.22563	0.423219	3.90397	0.667424	6.12472
0.710047	2.6526	0.711149	2.6525	0.657425	5.97531	0.896498	8.15744	0.425514	3.8894	0.668075	6.07517
0.707467	2.65283	0.708569	2.65273	0.659162	5.93734	0.897208	8.09058	0.427802	3.87504	0.668742	6.02665
0.704887	2.65307	0.705989	2.65297	0.660893	5.90001	0.89793	8.02501	0.430083	3.86086	0.669426	5.97914
0.702308	2.65331	0.703409	2.6532	0.66262	5.86328	0.898663	7.9607	0.432357	3.84688	0.670126	5.93262
0.699728	2.65354	0.700829	2.65344	0.66434	5.82715	0.899409	7.89762	0.434624	3.83309	0.670843	5.88705
0.697149	2.65379	0.69825	2.65368	0.666056	5.7916	0.900166	7.83574	0.436884	3.81947	0.671576	5.84242
