Sym0		Sym1		Sym2		Sym3		Asym1		Asym2	
390  Points		390  Points		367  Points		200  Points		401  Points		295  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.882146	2.54711	0.883229	2.54631	0.546428	1.74226	0.870588	0.202117	0.270359	2.0811	0.649981	0.0550474
0.879608	2.54888	0.880692	2.54813	0.547719	1.74713	0.870792	0.207446	0.272441	2.10043	0.650038	0.0590963
0.877069	2.55067	0.878153	2.54994	0.54879	1.751	0.871001	0.212818	0.274543	2.11884	0.650099	0.0632943
0.874527	2.55236	0.875612	2.55167	0.549637	1.754	0.871216	0.218274	0.276662	2.13637	0.650164	0.0676174
0.871984	2.554	0.87307	2.55329	0.550262	1.75632	0.871436	0.223813	0.278798	2.15315	0.650233	0.0721904
0.86944	2.55555	0.870526	2.55489	0.550662	1.75759	0.871662	0.229433	0.280951	2.16912	0.650307	0.0769167
0.866893	2.55709	0.867981	2.55645	0.551237	1.7594	0.871893	0.235126	0.283119	2.1843	0.650386	0.0817763
0.864346	2.5586	0.865433	2.55792	0.551863	1.7616	0.87213	0.240878	0.285303	2.19878	0.65047	0.0868158
0.861797	2.55998	0.862885	2.55938	0.552716	1.76422	0.872373	0.246751	0.2875	2.21256	0.650548	0.0913053
0.859246	2.56136	0.860335	2.56082	0.553797	1.76757	0.872622	0.252689	0.28971	2.22565	0.650617	0.0952714
0.856694	2.56273	0.857784	2.56216	0.555106	1.77155	0.872876	0.258672	0.291933	2.23809	0.650676	0.0987328
0.854141	2.564	0.855231	2.56344	0.556646	1.77591	0.873137	0.264746	0.294168	2.24994	0.650724	0.101334
0.851587	2.56523	0.852677	2.56472	0.558417	1.7807	0.873404	0.270913	0.296415	2.26111	0.650761	0.103365
0.849031	2.56649	0.850122	2.56596	0.560193	1.78531	0.873677	0.277182	0.298673	2.27172	0.650784	0.104738
0.846474	2.56762	0.847566	2.56714	0.561973	1.78964	0.873956	0.283566	0.300941	2.28183	0.650819	0.106536
0.843916	2.56874	0.845008	2.56829	0.563758	1.79368	0.874242	0.290008	0.303218	2.29136	0.650857	0.108634
0.841357	2.56986	0.84245	2.56938	0.565547	1.79751	0.874534	0.29648	0.305505	2.30028	0.650911	0.111578
0.838797	2.57089	0.83989	2.57043	0.567339	1.80116	0.874832	0.303098	0.3078	2.30877	0.65098	0.115177
0.836236	2.57191	0.837329	2.57149	0.569135	1.80451	0.875137	0.309833	0.310104	2.31678	0.651067	0.119693
0.833673	2.57291	0.834767	2.57249	0.570933	1.80765	0.875449	0.316631	0.312416	2.3243	0.651173	0.12519
0.83111	2.57386	0.832205	2.57344	0.572735	1.81061	0.875768	0.323553	0.314734	2.33135	0.651301	0.131614
0.828546	2.57473	0.829641	2.57439	0.57454	1.81334	0.876094	0.330552	0.31706	2.33795	0.651435	0.138206
0.825981	2.57561	0.827076	2.57526	0.576348	1.81584	0.876427	0.337616	0.319392	2.34416	0.651576	0.145012
0.823415	2.5765	0.824511	2.57612	0.578157	1.81813	0.876766	0.344813	0.321729	2.3499	0.651724	0.152011
0.820849	2.57732	0.821945	2.57698	0.57997	1.82027	0.877113	0.352099	0.324073	2.35524	0.651879	0.159238
0.818281	2.57809	0.819377	2.57775	0.581784	1.8222	0.877422	0.358558	0.326421	2.36017	0.652041	0.166577
0.815713	2.57885	0.81681	2.57852	0.583599	1.82391	0.877689	0.36412	0.328774	2.36475	0.652211	0.174103
0.813144	2.57959	0.814241	2.57926	0.585417	1.82541	0.877913	0.368649	0.331132	2.36895	0.652388	0.181896
0.810574	2.5803	0.811672	2.57996	0.587236	1.82673	0.878093	0.372354	0.333493	2.37274	0.652573	0.189866
0.808004	2.58094	0.809102	2.58068	0.589056	1.82786	0.878226	0.375099	0.335859	2.37624	0.652766	0.19801
0.805433	2.5816	0.806531	2.58134	0.590877	1.82886	0.878311	0.376942	0.338227	2.37938	0.652968	0.206372
0.802861	2.58225	0.803959	2.58196	0.592699	1.82962	0.878435	0.379503	0.340598	2.38216	0.653177	0.214929
0.800289	2.58283	0.801387	2.58259	0.594522	1.83017	0.87857	0.382139	0.342972	2.38459	0.653396	0.223671
0.797716	2.5834	0.798815	2.58316	0.596345	1.83058	0.878756	0.385942	0.345349	2.38671	0.653623	0.232592
0.795143	2.58394	0.796242	2.5837	0.598168	1.83083	0.878994	0.390743	0.347727	2.38855	0.653859	0.241732
0.792569	2.58449	0.793668	2.58426	0.599992	1.83091	0.879285	0.396624	0.350107	2.39008	0.654105	0.251112
0.789994	2.58498	0.791094	2.58477	0.601815	1.83077	0.879632	0.403621	0.352488	2.39124	0.654359	0.260698
