Sym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
416  Points		416  Points		380  Points		231  Points		400  Points		360  Points		240  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.906228	2.47486	0.906208	2.47488	0.487672	11.2579	0.859835	20.0331	0.259616	6.84164	0.949061	3.05922	0.777881	18.0697
0.904207	2.47608	0.904187	2.47609	0.489467	11.0454	0.859601	19.5734	0.261532	6.71585	0.94792	3.06538	0.77924	17.6919
0.902193	2.47732	0.902174	2.47733	0.491269	10.8424	0.859366	19.1341	0.263469	6.59688	0.946778	3.07158	0.78061	17.3311
0.900187	2.47859	0.900168	2.47861	0.493078	10.6482	0.85913	18.7138	0.265427	6.48418	0.945637	3.07782	0.781991	16.9861
0.898189	2.47989	0.89817	2.4799	0.494893	10.4624	0.858895	18.3114	0.267403	6.37729	0.944495	3.0841	0.783381	16.656
0.896198	2.48122	0.896179	2.48123	0.496713	10.2843	0.858659	17.9257	0.269398	6.27578	0.943352	3.09042	0.78478	16.3397
0.894215	2.48257	0.894196	2.48259	0.498539	10.1135	0.858425	17.5558	0.271409	6.17926	0.942208	3.09678	0.786188	16.0364
0.892238	2.48396	0.892219	2.48397	0.500369	9.94963	0.858191	17.2006	0.273437	6.08738	0.941064	3.10318	0.787604	15.7454
0.890269	2.48537	0.89025	2.48538	0.502203	9.79217	0.857958	16.8594	0.275479	5.99982	0.939918	3.10961	0.789027	15.4659
0.888307	2.4868	0.888288	2.48682	0.504042	9.64078	0.857726	16.5313	0.277536	5.91628	0.938771	3.11609	0.790458	15.1973
0.886352	2.48827	0.886333	2.48828	0.505884	9.49513	0.857497	16.2156	0.279607	5.83649	0.937622	3.1226	0.791896	14.9389
0.884403	2.48976	0.884385	2.48977	0.50773	9.35488	0.857269	15.9116	0.28169	5.76022	0.936471	3.12914	0.793341	14.6901
0.882461	2.49128	0.882443	2.49129	0.509578	9.21974	0.857043	15.6186	0.283785	5.68722	0.935318	3.13573	0.794791	14.4504
0.880526	2.49282	0.880508	2.49284	0.511429	9.08942	0.85682	15.3362	0.285891	5.61729	0.934163	3.14235	0.796247	14.2194
0.878597	2.4944	0.878579	2.49441	0.513282	8.96369	0.8566	15.0637	0.288007	5.55025	0.933005	3.149	0.797708	13.9965
0.876674	2.49599	0.876656	2.49601	0.515137	8.84228	0.856383	14.8006	0.290132	5.48591	0.931844	3.15569	0.799175	13.7814
0.874758	2.49762	0.874739	2.49764	0.516994	8.72498	0.856169	14.5465	0.292266	5.42412	0.930681	3.16242	0.800645	13.5736
0.872847	2.49927	0.872829	2.49929	0.518613	8.62595	0.85596	14.301	0.294409	5.36471	0.929514	3.16918	0.802121	13.3728
0.870941	2.50095	0.870923	2.50097	0.519994	8.54377	0.855754	14.0635	0.296559	5.30755	0.928343	3.17598	0.803599	13.1787
0.869042	2.50265	0.869024	2.50267	0.521136	8.47732	0.855552	13.8337	0.298715	5.25252	0.927169	3.1828	0.805082	12.9908
0.867147	2.50438	0.867129	2.5044	0.522039	8.4257	0.855355	13.6113	0.300878	5.19949	0.925991	3.18967	0.806567	12.8089
0.865258	2.50613	0.86524	2.50615	0.522703	8.38827	0.855163	13.396	0.303046	5.14834	0.924808	3.19656	0.808056	12.6327
0.863374	2.50791	0.863356	2.50793	0.523129	8.36453	0.854976	13.1873	0.30522	5.09898	0.923621	3.20348	0.809546	12.462
0.861495	2.50971	0.861477	2.50973	0.52374	8.33071	0.854795	12.985	0.307397	5.05131	0.922428	3.21044	0.811039	12.2964
0.859619	2.51154	0.859602	2.51156	0.524404	8.29434	0.85462	12.7888	0.309578	5.00523	0.921231	3.21742	0.812534	12.1358
0.857749	2.51339	0.857731	2.5134	0.525308	8.24554	0.85445	12.5985	0.311763	4.96066	0.920028	3.22444	0.814031	11.9799
0.855882	2.51526	0.855864	2.51528	0.52645	8.18487	0.854287	12.4138	0.31395	4.91753	0.91882	3.23148	0.815529	11.8286
0.854019	2.51715	0.854001	2.51717	0.527832	8.11303	0.854131	12.2345	0.316139	4.87575	0.917605	3.23856	0.817027	11.6816
0.85216	2.51907	0.852142	2.51908	0.529453	8.0308	0.853982	12.0603	0.31833	4.83526	0.916384	3.24566	0.818527	11.5387
0.850304	2.521	0.850286	2.52102	0.531312	7.93906	0.85384	11.891	0.320521	4.79599	0.915156	3.25278	0.820027	11.3998
0.848451	2.52296	0.848433	2.52298	0.53317	7.84999	0.853705	11.7265	0.322714	4.75788	0.913921	3.25994	0.821527	11.2647
0.846601	2.52493	0.846583	2.52495	0.535027	7.76348	0.853579	11.5665	0.324906	4.72088	0.912679	3.26711	0.823027	11.1332
0.844753	2.52693	0.844735	2.52695	0.536883	7.67942	0.853461	11.4109	0.327098	4.68492	0.91143	3.27431	0.824527	11.0052
0.842907	2.52894	0.84289	2.52896	0.538737	7.5977	0.853351	11.2595	0.329288	4.64997	0.910172	3.28154	0.826025	10.8805
0.841063	2.53098	0.841046	2.53099	0.540589	7.51821	0.85325	11.1121	0.331478	4.61596	0.908906	3.28878	0.827523	10.7591
0.839221	2.53302	0.839203	2.53304	0.542438	7.44086	0.853158	10.9686	0.333665	4.58285	0.907632	3.29605	0.82902	10.6408
0.83738	2.53509	0.837362	2.53511	0.544285	7.36556	0.853075	10.8289	0.33585	4.55061	0.906348	3.30334	0.830515	10.5254
0.835539	2.53717	0.835522	2.53719	0.54613	7.29223	0.853002	10.6928	0.338032	4.51919	0.905056	3.31065	0.832008	10.4129
0.833699	2.53926	0.833682	2.53928	0.547971	7.22078	0.85294	10.5601	0.340211	4.48855	0.903754	3.31797	0.8335	10.3031
0.831859	2.54136	0.831842	2.54138	0.549809	7.15114	0.852887	10.4309	0.342386	4.45866	0.902442	3.32532	0.834989	10.196
0.830019	2.54348	0.830002	2.5435	0.551643	7.08324	0.852845	10.3048	0.344557	4.42948	0.90112	3.33268	0.836475	10.0914
