Sym0		Asym0		Sym1		Sym2		Asym1		Asym2	
477  Points		492  Points		478  Points		257  Points		405  Points		144  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.289729	6.23683	0.0826897	1.93585	0.278614	6.77739	0.422386	9.17889	0.394277	8.54072	0.537328	11.6789
0.291309	6.14753	0.0847927	1.94271	0.28087	6.68085	0.429222	9.14235	0.400393	8.50161	0.541355	11.5329
0.292813	6.06013	0.0868948	1.94927	0.282971	6.58489	0.436119	9.10849	0.406449	8.46279	0.545427	11.3935
0.294252	5.9747	0.0889959	1.95553	0.284934	6.48987	0.443065	9.07693	0.412441	8.42414	0.549546	11.2604
0.295634	5.89131	0.0910963	1.96152	0.286776	6.3961	0.45005	9.04735	0.418364	8.38553	0.553714	11.1333
0.296966	5.80997	0.0931957	1.96726	0.288511	6.3038	0.457067	9.01948	0.424211	8.34686	0.557931	11.0118
0.298253	5.73071	0.0952944	1.97276	0.290152	6.21318	0.464107	8.99306	0.429979	8.30804	0.562201	10.8957
0.299503	5.65351	0.0973923	1.97804	0.291711	6.12437	0.471163	8.96788	0.435661	8.26896	0.566524	10.7847
0.300719	5.57836	0.0994895	1.98311	0.293197	6.03748	0.478228	8.94376	0.441252	8.22956	0.570905	10.6787
0.301906	5.50523	0.101586	1.98798	0.294621	5.95259	0.485297	8.92052	0.446747	8.18974	0.575344	10.5774
0.303068	5.43409	0.103682	1.99266	0.295989	5.86973	0.492363	8.89802	0.452142	8.14944	0.579845	10.4807
0.304207	5.3649	0.105777	1.99717	0.297308	5.78894	0.499422	8.87613	0.457431	8.1086	0.58441	10.3882
0.305328	5.29763	0.107871	2.00151	0.298585	5.71022	0.506468	8.85473	0.46261	8.06718	0.589041	10.3
0.306433	5.23221	0.109965	2.00569	0.299826	5.63356	0.513496	8.83372	0.467675	8.02511	0.593742	10.2157
0.307524	5.16861	0.112059	2.00972	0.301034	5.55894	0.520503	8.813	0.472622	7.98239	0.598513	10.1353
0.308603	5.10677	0.114152	2.0136	0.302214	5.48634	0.527484	8.79249	0.477449	7.93898	0.603356	10.0587
0.309671	5.04665	0.116244	2.01736	0.303369	5.41572	0.534435	8.77212	0.482151	7.89486	0.608274	9.98555
0.310732	4.9882	0.118336	2.02098	0.304504	5.34704	0.541351	8.75181	0.486729	7.85005	0.613266	9.91584
0.311786	4.93136	0.120427	2.02449	0.30562	5.28025	0.54823	8.73151	0.490614	7.81044	0.618334	9.84942
0.312834	4.87609	0.122518	2.02788	0.306721	5.21532	0.555068	8.71115	0.493849	7.77626	0.623478	9.78612
0.313879	4.82234	0.124609	2.03116	0.307808	5.15219	0.561861	8.69068	0.496471	7.74772	0.628698	9.72581
0.31492	4.77005	0.126699	2.03433	0.308884	5.09081	0.568606	8.67007	0.498509	7.72498	0.633992	9.66836
0.315959	4.71919	0.128789	2.03741	0.309951	5.03113	0.5753	8.64926	0.499989	7.70817	0.639359	9.61362
0.316996	4.66971	0.130878	2.04039	0.31101	4.97311	0.581939	8.62821	0.500928	7.69737	0.644798	9.56145
0.318034	4.62156	0.132967	2.04328	0.312062	4.91668	0.58852	8.6069	0.502265	7.68178	0.650306	9.51172
0.319071	4.57469	0.135056	2.04608	0.313109	4.86182	0.595042	8.58529	0.503704	7.66477	0.655881	9.46429
0.32011	4.52908	0.137144	2.0488	0.314153	4.80845	0.601499	8.56334	0.505634	7.64152	0.66152	9.41902
0.32115	4.48468	0.139232	2.05144	0.315193	4.75655	0.607891	8.54105	0.508032	7.61193	0.667219	9.37579
0.322191	4.44144	0.14132	2.054	0.316232	4.70605	0.614214	8.51839	0.510869	7.57588	0.672975	9.33447
0.323236	4.39934	0.143407	2.05649	0.317269	4.65692	0.620467	8.49533	0.514111	7.53325	0.678785	9.29493
0.324283	4.35833	0.145495	2.05892	0.318306	4.60912	0.626646	8.47185	0.517717	7.48392	0.684645	9.25707
0.325334	4.31837	0.147582	2.06127	0.319344	4.56259	0.632749	8.44796	0.521205	7.43421	0.69055	9.22075
0.326389	4.27945	0.149668	2.06356	0.320383	4.5173	0.638774	8.42362	0.524577	7.38418	0.696496	9.18588
0.327447	4.24151	0.151755	2.06579	0.321423	4.4732	0.64472	8.39884	0.527838	7.33389	0.702481	9.15234
0.32851	4.20454	0.153841	2.06796	0.322466	4.43027	0.650584	8.3736	0.530989	7.2834	0.708499	9.12004
0.329577	4.16849	0.155927	2.07008	0.323511	4.38845	0.656365	8.34789	0.534037	7.23277	0.714546	9.08888
0.33065	4.13335	0.158013	2.07214	0.324559	4.34773	0.662061	8.32173	0.536984	7.18205	0.720619	9.05878
0.331727	4.09907	0.160098	2.07414	0.325611	4.30805	0.66767	8.29509	0.539834	7.13131	0.726714	9.02964
0.332809	4.06564	0.162183	2.0761	0.326666	4.26938	0.673192	8.26798	0.542592	7.0806	0.732827	9.00138
0.333897	4.03303	0.164269	2.07801	0.327726	4.2317	0.678624	8.24041	0.545262	7.02997	0.738954	8.97394
0.334991	4.00121	0.166354	2.07987	0.32879	4.19497	0.683967	8.21237	0.547847	6.97946	0.745091	8.94724
0.33609	3.97016	0.168438	2.08169	0.329859	4.15917	0.689218	8.18388	0.550353	6.92913	0.751235	8.9212
0.337196	3.93985	0.170523	2.08346	0.330932	4.12425	0.694378	8.15493	0.552781	6.87902	0.757382	8.89578
0.338307	3.91027	0.172607	2.08519	0.332011	4.0902	0.6988	8.12934	0.555137	6.82916	0.763529	8.8709
0.339424	3.88138	0.174692	2.08688	0.333095	4.05699	0.702514	8.10727	0.557424	6.77959	0.769672	8.84651
0.340547	3.85318	0.176776	2.08853	0.334184	4.02459	0.705546	8.08884	0.559646	6.73034	0.775808	8.82256
0.341532	3.82914	0.17886	2.09015	0.335279	3.99298	0.707919	8.07415	0.561805	6.68145	0.781934	8.799
0.342374	3.80903	0.180944	2.09172	0.33638	3.96212	0.709649	8.06329	0.563906	6.63293	0.788047	8.77578
0.343074	3.79266	0.183027	2.09327	0.337487	3.93201	0.710751	8.05631	0.565951	6.58482	0.794143	8.75285
0.343628	3.77988	0.185111	2.09478	0.3386	3.90261	0.712326	8.04624	0.567943	6.53713	0.80022	8.73018
0.344037	3.77058	0.187194	2.09625	0.339719	3.87391	0.714026	8.03525	0.569885	6.48989	0.806275	8.70773
0.344299	3.76467	0.189278	2.09769	0.340844	3.84588	0.71632	8.02022	0.571779	6.4431	0.812305	8.68545
0.344677	3.75622	0.191361	2.09911	0.341975	3.8185	0.71919	8.00108	0.573629	6.39679	0.818306	8.66332
0.345088	3.74711	0.193444	2.10049	0.343113	3.79176	0.722613	7.97774	0.575437	6.35096	0.824278	8.6413
0.345648	3.73484	0.195527	2.10184	0.344257	3.76563	0.726565	7.9501	0.577204	6.30563	0.830216	8.61937
0.346359	3.71952	0.19761	2.10317	0.345407	3.74009	0.731014	7.91806	0.578934	6.2608	0.836118	8.59748
0.347222	3.70128	0.199692	2.10447	0.346564	3.71514	0.735372	7.88569	0.580628	6.21649	0.841982	8.57562
0.348239	3.68026	0.201775	2.10574	0.347728	3.69075	0.73964	7.853	0.582288	6.17269	0.847805	8.55376
0.349411	3.65666	0.203857	2.10698	0.348898	3.66691	0.74382	7.82002	0.583917	6.12941	0.853586	8.53188
