Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
476  Points		491  Points		477  Points		243  Points		128  Points		400  Points		144  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.275225	3.2654	0.0660266	2.26679	0.258077	4.57236	0.371698	5.78101	0.456822	5.66073	0.341616	6.87683	0.50562	3.93448
0.278154	3.03253	0.0681381	2.26569	0.260113	4.42775	0.377192	6.0053	0.462142	5.75671	0.348017	6.86051	0.50931	3.98614
0.280876	2.8189	0.0702485	2.26458	0.262595	4.24676	0.382888	6.21188	0.467549	5.8487	0.3544	6.83987	0.513048	4.03651
0.283407	2.62468	0.0723579	2.26348	0.265459	4.0318	0.388767	6.39977	0.47304	5.93687	0.360762	6.81494	0.516831	4.08582
0.285766	2.44939	0.0744662	2.26238	0.268631	3.78738	0.394813	6.5687	0.478612	6.02145	0.367099	6.78564	0.520661	4.13428
0.287971	2.2921	0.0765736	2.26128	0.272032	3.51971	0.401007	6.71899	0.484261	6.10263	0.373407	6.75181	0.524535	4.18205
0.290038	2.1516	0.0786799	2.26015	0.27519	3.26821	0.407333	6.8514	0.489984	6.18063	0.37968	6.71344	0.528454	4.2294
0.29198	2.02654	0.0807851	2.25907	0.278122	3.03508	0.413774	6.96704	0.495778	6.25561	0.385916	6.67047	0.532416	4.27656
0.293814	1.9155	0.0828894	2.25805	0.280845	2.82122	0.420316	7.06713	0.50164	6.32779	0.39211	6.62276	0.536423	4.32372
0.29555	1.81706	0.0849927	2.25703	0.283379	2.6268	0.426943	7.15292	0.507569	6.39737	0.398257	6.57027	0.540473	4.37115
0.2972	1.72996	0.0870951	2.25604	0.28574	2.45133	0.433644	7.22568	0.513561	6.46453	0.404353	6.51288	0.544568	4.41915
0.298773	1.65297	0.0891966	2.25511	0.287946	2.29383	0.440407	7.28662	0.519615	6.52935	0.410393	6.45048	0.548708	4.46789
0.30028	1.58496	0.0912973	2.25421	0.290014	2.15316	0.447222	7.33678	0.525728	6.59204	0.416373	6.38302	0.552893	4.51764
