Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2	
473  Points		492  Points		473  Points		211  Points		130  Points		120  Points		385  Points		143  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.253646	7.48084	0.0539331	1.7873	0.227727	7.7132	0.356112	10.4954	0.44994	13.2744	0.616967	17.9635	0.304936	8.99658	0.488273	14.3771
0.258559	7.42181	0.0560495	1.8018	0.233595	7.66992	0.360272	10.3343	0.454246	13.0429	0.619951	17.5736	0.311256	8.93737	0.49172	14.092
0.263244	7.35947	0.0581655	1.81545	0.239282	7.62341	0.364612	10.1865	0.458679	12.827	0.622994	17.2055	0.317584	8.88147	0.495226	13.8234
0.267697	7.29397	0.0602811	1.82831	0.244773	7.57356	0.369135	10.0513	0.463236	12.6255	0.626098	16.8574	0.323917	8.82853	0.498788	13.5699
0.271917	7.22553	0.0623959	1.84045	0.250059	7.52032	0.373845	9.92764	0.467913	12.4371	0.629259	16.5279	0.33025	8.77824	0.502405	13.3304
0.275906	7.1544	0.0645099	1.85191	0.255129	7.46366	0.378739	9.81477	0.472705	12.2609	0.632478	16.2157	0.336581	8.73032	0.506076	13.1039
0.279669	7.08089	0.0666231	1.86275	0.259975	7.40363	0.383814	9.71179	0.477609	12.0958	0.635753	15.9194	0.342907	8.68451	0.509799	12.8893
0.283212	7.00535	0.0687353	1.87302	0.264591	7.34033	0.389063	9.61787	0.482621	11.941	0.639084	15.6379	0.349223	8.6406	0.513572	12.6859
0.286546	6.92814	0.0708465	1.88275	0.268975	7.27394	0.394478	9.5322	0.487737	11.7956	0.642468	15.3703	0.355527	8.59836	0.517395	12.4928
0.28968	6.84963	0.0729566	1.89198	0.273126	7.20467	0.40005	9.45399	0.492953	11.6591	0.645906	15.1156	0.361815	8.55761	0.521266	12.3094
0.292628	6.77018	0.0750658	1.90075	0.277047	7.1328	0.405767	9.3825	0.498265	11.5306	0.649395	14.873	0.368085	8.51819	0.525184	12.1349
0.295402	6.69014	0.077174	1.90909	0.280744	7.05865	0.411617	9.31705	0.503669	11.4097	0.652936	14.6417	0.374332	8.47991	0.529149	11.9688
0.298014	6.60984	0.0792811	1.91704	0.284224	6.98258	0.417588	9.25699	0.509163	11.2957	0.656527	14.4209	0.379755	8.44739	0.533159	11.8107
0.300478	6.52956	0.0813873	1.9246	0.287497	6.90494	0.423668	9.20172	0.514742	11.1882	0.660167	14.2101	0.38436	8.42021	0.537215	11.6598
0.302806	6.44957	0.0834924	1.93182	0.290575	6.82612	0.429845	9.15072	0.520404	11.0868	0.663855	14.0085	0.388156	8.39807	0.541315	11.516
0.30501	6.37011	0.0855966	1.93872	0.293469	6.74646	0.436109	9.1035	0.526145	10.9909	0.667591	13.8157	0.391149	8.38076	0.545459	11.3786
0.307102	6.29137	0.0876999	1.94531	0.296194	6.6663	0.442448	9.05962	0.531962	10.9003	0.671373	13.6312	0.393344	8.36813	0.549647	11.2473
0.309091	6.21353	0.0898023	1.95161	0.298761	6.58597	0.448851	9.01869	0.537853	10.8145	0.675201	13.4544	0.394746	8.36009	0.553878	11.1219
0.310988	6.13672	0.0919038	1.95764	0.301183	6.50576	0.455311	8.98037	0.543814	10.7333	0.679074	13.2849	0.396759	8.34859	0.558154	11.0019
0.312801	6.06107	0.0940046	1.96342	0.303473	6.4259	0.461818	8.94434	0.549844	10.6564	0.682992	13.1224	0.398942	8.33615	0.562474	10.8871
0.314539	5.98666	0.0961045	1.96897	0.305643	6.34664	0.468364	8.91034	0.555939	10.5834	0.686953	12.9664	0.401902	8.31935	0.566839	10.7773
0.316208	5.91356	0.0982037	1.97429	0.307703	6.26815	0.474942	8.87812	0.562097	10.5142	0.690957	12.8166	0.405633	8.29826	0.571248	10.6721
0.317816	5.84185	0.100302	1.9794	0.309664	6.1906	0.481545	8.84747	0.568317	10.4484	0.695003	12.6726	0.410122	8.27297	0.575704	10.5713
0.319369	5.77154	0.1024	1.98431	0.311535	6.11412	0.488168	8.81818	0.574595	10.3859	0.699091	12.5342	0.415357	8.24354	0.580205	10.4747
0.320871	5.70268	0.104497	1.98904	0.313325	6.03883	0.494803	8.79011	0.580929	10.3265	0.703221	12.4011	0.421317	8.21002	0.584753	10.3822
0.322329	5.63528	0.106593	1.99358	0.315042	5.96481	0.501446	8.76308	0.587318	10.27	0.707392	12.273	0.427225	8.17669	0.589349	10.2935
0.323747	5.56934	0.108689	1.99797	0.316692	5.89212	0.508093	8.73698	0.59376	10.2162	0.711603	12.1497	0.433076	8.14348	0.593994	10.2085
0.325128	5.50487	0.110784	2.00219	0.318283	5.82082	0.514738	8.71168	0.600251	10.1649	0.715855	12.0309	0.438868	8.1103	0.598688	10.1271
0.326476	5.44186	0.112879	2.00626	0.31982	5.75094	0.520525	8.6902	0.606791	10.1161	0.720146	11.9164	0.444596	8.07708	0.603432	10.0489
0.327795	5.38029	0.114973	2.01019	0.321309	5.68251	0.525453	8.67227	0.613378	10.0695	0.724478	11.8061	0.450258	8.04378	0.608228	9.97405
0.329088	5.32015	0.117066	2.01399	0.322754	5.61554	0.529523	8.65766	0.62001	10.025	0.728849	11.6997	0.455848	8.01033	0.613075	9.90225
0.330358	5.26142	0.119159	2.01766	0.324161	5.55004	0.532737	8.64625	0.626684	9.98254	0.73326	11.597	0.461365	7.97667	0.617975	9.83341
0.331606	5.20408	0.121252	2.0212	0.325532	5.486	0.535099	8.63793	0.633398	9.94195	0.737711	11.498	0.466803	7.94276	0.622928	9.76741
0.332836	5.14811	0.123344	2.02463	0.326871	5.42342	0.536609	8.63263	0.640152	9.90314	0.742202	11.4024	0.472161	7.90855	0.627934	9.70414
0.334048	5.09346	0.125436	2.02795	0.328182	5.36228	0.538779	8.62506	0.646943	9.86599	0.746733	11.3101	0.477436	7.87401	0.632993	9.64348
0.335246	5.04013	0.127527	2.03117	0.329468	5.30256	0.541135	8.61687	0.653769	9.83041	0.751305	11.221	0.482623	7.83911	0.638107	9.58533
0.336431	4.98807	0.129618	2.03428	0.330731	5.24425	0.544335	8.60581	0.660628	9.7963	0.755918	11.135	0.487721	7.80382	0.643273	9.52957
0.337604	4.93726	0.131708	2.0373	0.331973	5.18732	0.548375	8.59195	0.667518	9.76358	0.760572	11.0519	0.492727	7.76811	0.648493	9.4761
0.338767	4.88767	0.133799	2.04023	0.333197	5.13174	0.55325	8.57533	0.674436	9.73215	0.765269	10.9716	0.497638	7.73197	0.653765	9.42482
0.339921	4.83927	0.135888	2.04307	0.334405	5.07749	0.558951	8.55602	0.681382	9.70194	0.770009	10.894	0.502453	7.69538	0.659088	9.37563
0.341067	4.79203	0.137978	2.04583	0.335599	5.02453	0.565468	8.53407	0.688352	9.67287	0.774793	10.8191	0.50717	7.65835	0.664461	9.32843
0.342207	4.74591	0.140067	2.0485	0.33678	4.97285	0.571956	8.5123	0.695345	9.64486	0.779621	10.7467	0.511789	7.62087	0.669884	9.28314
0.343341	4.7009	0.142156	2.0511	0.33795	4.9224	0.578413	8.49066	0.702358	9.61784	0.784496	10.6768	0.516306	7.58294	0.675354	9.23964
0.34447	4.65696	0.144244	2.05363	0.33911	4.87317	0.584836	8.46912	0.709388	9.59173	0.789418	10.6092	0.520723	7.54458	0.68087	9.19786
0.345596	4.61405	0.146333	2.05609	0.340262	4.82512	0.591223	8.44764	0.716434	9.56648	0.79439	10.544	0.525039	7.50579	0.686429	9.1577
0.346718	4.57216	0.148421	2.05848	0.341406	4.77821	0.597573	8.42619	0.723491	9.54201	0.799411	10.4811	0.529254	7.46659	0.69203	9.11908
0.347838	4.53126	0.150508	2.0608	0.342544	4.73243	0.603882	8.40474	0.730559	9.51826	0.804485	10.4203	0.533368	7.427	0.697671	9.08192
0.348956	4.49132	0.152596	2.06307	0.343677	4.68774	0.61015	8.38327	0.737633	9.49517	0.809613	10.3617	0.537381	7.38705	0.702618	9.05065
0.350073	4.4523	0.154683	2.06527	0.344805	4.64411	0.616375	8.36176	0.744711	9.47268	0.814798	10.3052	0.541296	7.34677	0.706855	9.02477
