Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym3		Asym4	
470  Points		492  Points		195  Points		132  Points		120  Points		371  Points		144  Points		116  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.252812	5.63964	0.0545416	2.2719	0.357642	4.27018	0.468978	4.00072	0.613826	3.0605	0.301457	6.64948	0.487658	3.62781	0.739473	2.28173
0.257976	5.44086	0.0566583	2.27176	0.361684	4.41031	0.472772	4.14249	0.616709	3.12651	0.305266	6.65837	0.491068	3.69232	0.741623	2.33306
0.26295	5.23536	0.0587747	2.27133	0.36586	4.55632	0.476697	4.2824	0.619652	3.19143	0.308281	6.66438	0.494538	3.75504	0.743821	2.38372
0.267731	5.02481	0.0608907	2.27074	0.370174	4.70712	0.480752	4.42006	0.622656	3.2552	0.310499	6.6683	0.498065	3.8161	0.746065	2.4337
0.272314	4.81113	0.063006	2.27001	0.374631	4.86143	0.484934	4.55511	0.625718	3.31793	0.311919	6.67058	0.501649	3.87552	0.748356	2.48299
0.276696	4.5964	0.0651206	2.26917	0.379233	5.01756	0.48924	4.68738	0.628838	3.37959	0.313962	6.67342	0.505287	3.93344	0.750692	2.5316
0.280878	4.38257	0.0672344	2.26824	0.383981	5.17374	0.493668	4.81665	0.632015	3.44015	0.316183	6.67609	0.508978	3.98987	0.753073	2.57961
0.284863	4.17171	0.0693472	2.26719	0.388874	5.32826	0.498215	4.94268	0.635248	3.49975	0.319205	6.67914	0.512722	4.04488	0.755499	2.627
0.288652	3.96575	0.071459	2.26618	0.393909	5.47932	0.502878	5.06533	0.638537	3.55829	0.323028	6.68171	0.516516	4.09864	0.757968	2.6738
0.292252	3.76624	0.07357	2.26513	0.399084	5.62529	0.507654	5.18443	0.641879	3.61584	0.327654	6.68317	0.520359	4.15116	0.760481	2.72001
0.29567	3.57457	0.0756799	2.26402	0.404392	5.7649	0.512539	5.30001	0.645274	3.67248	0.33308	6.68264	0.524251	4.20252	0.763037	2.76571
0.298913	3.39192	0.0777887	2.26299	0.409826	5.89688	0.51753	5.41202	0.648722	3.72812	0.339305	6.67915	0.52819	4.25286	0.765635	2.81089
0.30199	3.21893	0.0798967	2.26193	0.41538	6.02038	0.522623	5.52039	0.652221	3.78285	0.345526	6.67257	0.532176	4.30227	0.768274	2.85555
0.304911	3.05608	0.0820036	2.26088	0.421044	6.13509	0.527816	5.62506	0.655771	3.83673	0.351739	6.6629	0.536207	4.35086	0.770956	2.89975
0.307685	2.90365	0.0841096	2.25984	0.426065	6.2276	0.533105	5.72616	0.659371	3.88978	0.357941	6.65016	0.540283	4.39873	0.773678	2.94355
0.310322	2.76155	0.0862145	2.25885	0.430401	6.30077	0.538486	5.82369	0.663019	3.94197	0.364131	6.63434	0.544403	4.446	0.776441	2.98699
0.312831	2.62961	0.0883187	2.25791	0.434024	6.35739	0.543957	5.91769	0.666716	3.9934	0.370304	6.61548	0.548567	4.4927	0.779244	3.03006
