Minima		Zeros		Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
8  Points		7  Points		475  Points		493  Points		474  Points		220  Points		129  Points		390  Points		143  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
				0.262823	7.37116	0.0558504	1.80278	0.237012	7.67454	0.362985	10.1418	0.453594	12.6423	0.320699	8.90838	0.49548	13.8493
				0.267128	7.30112	0.0579663	1.81645	0.24252	7.62292	0.367599	10.0102	0.458337	12.4512	0.327066	8.85604	0.499047	13.5949
				0.271188	7.22801	0.0600816	1.82933	0.24781	7.56759	0.372417	9.89041	0.463194	12.2725	0.333432	8.80624	0.502668	13.3546
				0.275006	7.15218	0.0621963	1.84148	0.252872	7.50854	0.377434	9.78162	0.46816	12.1053	0.339792	8.75869	0.506341	13.1273
				0.278591	7.074	0.0643102	1.85295	0.257697	7.44581	0.382643	9.68284	0.473231	11.9485	0.346143	8.71316	0.510066	12.912
				0.281951	6.99387	0.066423	1.86379	0.262278	7.37953	0.388037	9.59315	0.478403	11.8015	0.352483	8.66941	0.51384	12.7078
				0.2851	6.91222	0.068535	1.87406	0.266613	7.30988	0.393603	9.51167	0.483673	11.6634	0.358807	8.62725	0.517663	12.514
				0.288049	6.82947	0.070646	1.88379	0.270703	7.23713	0.39933	9.43757	0.489035	11.5336	0.365111	8.58648	0.521534	12.3299
				0.290814	6.746	0.0727559	1.89302	0.274551	7.16161	0.405203	9.37006	0.494487	11.4115	0.371393	8.54694	0.525451	12.1547
				0.293409	6.6622	0.0748648	1.90179	0.278164	7.0837	0.41121	9.30841	0.500025	11.2964	0.377648	8.50847	0.529414	11.988
				0.295847	6.5784	0.0769727	1.91013	0.281551	7.00379	0.417336	9.25197	0.505647	11.1879	0.383874	8.47092	0.533422	11.8292
				0.298143	6.4949	0.0790796	1.91807	0.284725	6.9223	0.423569	9.20011	0.511347	11.0855	0.390066	8.43415	0.537474	11.6778
				0.30031	6.41197	0.0811854	1.92563	0.287698	6.83966	0.429896	9.15232	0.517124	10.9888	0.396221	8.39805	0.541571	11.5334
				0.302361	6.32984	0.0832903	1.93284	0.290485	6.75626	0.436304	9.10809	0.522975	10.8974	0.402335	8.3625	0.545713	11.3955
				0.304306	6.24868	0.0853943	1.93973	0.293099	6.67248	0.442783	9.06699	0.528897	10.8109	0.408404	8.32738	0.549898	11.2637
				0.306157	6.16867	0.0874973	1.94631	0.295556	6.58866	0.449323	9.02865	0.534887	10.729	0.413653	8.29706	0.554127	11.1378
				0.307923	6.08992	0.0895994	1.9526	0.297869	6.50511	0.455914	8.99273	0.540943	10.6514	0.418097	8.27136	0.558401	11.0174
				0.309612	6.01254	0.0917006	1.95862	0.300051	6.4221	0.462547	8.95892	0.547063	10.5778	0.421748	8.25019	0.56272	10.9022
				0.311233	5.93661	0.0938011	1.96439	0.302116	6.33985	0.469214	8.92696	0.553244	10.5081	0.42462	8.23349	0.567085	10.7919
				0.312793	5.86218	0.0959007	1.96993	0.304073	6.25857	0.475908	8.89662	0.559484	10.4418	0.426723	8.22122	0.571497	10.6864
				0.314297	5.78929	0.0979996	1.97524	0.305935	6.17841	0.482623	8.8677	0.565782	10.3789	0.428065	8.21338	0.575955	10.5854
				0.315753	5.71797	0.100098	1.98034	0.307711	6.0995	0.489352	8.84	0.572135	10.319	0.429989	8.2021	0.580462	10.4886
				0.317164	5.64823	0.102195	1.98524	0.309409	6.02195	0.496089	8.81338	0.578541	10.2621	0.432071	8.18985	0.585018	10.3959
				0.318536	5.58008	0.104292	1.98996	0.311038	5.94584	0.50283	8.78768	0.584999	10.208	0.434891	8.17318	0.589625	10.3071
				0.319873	5.51351	0.106388	1.99449	0.312605	5.87122	0.50957	8.76278	0.591507	10.1564	0.438434	8.15209	0.594283	10.2221
				0.321179	5.44852	0.108483	1.99887	0.314116	5.79814	0.516304	8.73857	0.598063	10.1073	0.442684	8.12654	0.598994	10.1406
				0.322457	5.38508	0.110578	2.00308	0.315577	5.72662	0.523028	8.71495	0.604665	10.0605	0.44762	8.09646	0.603758	10.0625
				0.323709	5.32317	0.112673	2.00714	0.316993	5.65669	0.529738	8.69183	0.611312	10.0158	0.453213	8.06178	0.608577	9.98775
				0.32494	5.26278	0.114766	2.01106	0.31837	5.58835	0.536431	8.66912	0.618002	9.97318	0.458728	8.02684	0.613452	9.91613
				0.326151	5.20386	0.11686	2.01485	0.319711	5.52159	0.543104	8.64676	0.624734	9.93248	0.46416	7.99161	0.618383	9.84753
				0.327344	5.1464	0.118953	2.01851	0.32102	5.4564	0.549752	8.62468	0.631506	9.89359	0.469506	7.95603	0.623371	9.78184
				0.328522	5.09036	0.121045	2.02204	0.322301	5.39277	0.556375	8.60283	0.638316	9.8564	0.474763	7.92007	0.628417	9.71892
				0.329687	5.03571	0.123137	2.02546	0.323557	5.33068	0.562967	8.58114	0.645162	9.82084	0.479927	7.88369	0.63352	9.65867
				0.33084	4.98241	0.125228	2.02877	0.32479	5.2701	0.568686	8.56235	0.652044	9.78678	0.484996	7.84686	0.638681	9.60096
				0.331982	4.93044	0.127319	2.03198	0.326003	5.21101	0.573541	8.54638	0.658958	9.75416	0.489967	7.80956	0.643898	9.5457
				0.333115	4.87975	0.12941	2.03508	0.327199	5.15337	0.57754	8.53321	0.665904	9.72288	0.494837	7.77178	0.649172	9.49277
				0.334241	4.83031	0.1315	2.03809	0.328379	5.09716	0.580692	8.52279	0.672879	9.69287	0.499605	7.7335	0.654501	9.44206
				0.335361	4.7821	0.13359	2.04101	0.329545	5.04233	0.583005	8.51514	0.679881	9.66404	0.504269	7.69472	0.659885	9.39348
				0.336474	4.73508	0.135679	2.04384	0.330699	4.98887	0.584482	8.51025	0.68691	9.63632	0.508828	7.65544	0.665322	9.34691
				0.337584	4.68921	0.137769	2.04659	0.331842	4.93674	0.586601	8.50321	0.693962	9.60965	0.51328	7.61567	0.67081	9.30225
				0.33869	4.64446	0.139858	2.04926	0.332977	4.88589	0.5889	8.49556	0.701035	9.58395	0.517625	7.57543	0.676348	9.25941
				0.339793	4.6008	0.141946	2.05185	0.334104	4.83631	0.592018	8.48514	0.708128	9.55916	0.521864	7.53472	0.681933	9.21829
				0.340893	4.55821	0.144034	2.05437	0.335224	4.78795	0.595947	8.47196	0.715238	9.53521	0.525996	7.49357	0.687563	9.1788
				0.341993	4.51664	0.146122	2.05682	0.336338	4.74078	0.600676	8.45599	0.722362	9.51204	0.530022	7.45202	0.693236	9.14084
				0.343092	4.47607	0.14821	2.0592	0.337448	4.69477	0.606192	8.43721	0.729499	9.48959	0.533943	7.41008	0.698949	9.10432
				0.34419	4.43648	0.150298	2.06151	0.338554	4.64988	0.612478	8.41556	0.736645	9.4678	0.53776	7.36778	0.7047	9.06916
				0.345289	4.39783	0.152385	2.06377	0.339657	4.6061	0.618714	8.39379	0.743798	9.44661	0.541475	7.32518	0.710485	9.03527
				0.346388	4.36009	0.154472	2.06597	0.340759	4.56337	0.6249	8.37189	0.750955	9.42597	0.54509	7.28229	0.716302	9.00259
				0.347489	4.32325	0.156559	2.0681	0.341858	4.52168	0.631033	8.34983	0.758113	9.40582	0.548606	7.23916	0.722148	8.97101
				0.348592	4.28727	0.158645	2.07019	0.342957	4.48099	0.637111	8.3276	0.765269	9.38611	0.552026	7.19582	0.728021	8.94048
				0.349696	4.25213	0.160732	2.07222	0.344055	4.44128	0.643134	8.30518	0.77242	9.36678	0.555352	7.15232	0.733916	8.91093
				0.350803	4.2178	0.162818	2.0742	0.345154	4.40251	0.649099	8.28256	0.779562	9.34778	0.558588	7.10869	0.739071	8.88592
				0.351912	4.18427	0.164904	2.07613	0.346254	4.36467	0.655005	8.25972	0.786692	9.32905	0.561735	7.06497	0.743475	8.8651
				0.353025	4.1515	0.166989	2.07802	0.347354	4.32772	0.66085	8.23666	0.793807	9.31056	0.564796	7.02119	0.747124	8.84823
				0.35414	4.11949	0.169075	2.07985	0.348456	4.29163	0.666633	8.21336	0.800903	9.29224	0.567774	6.9774	0.750013	8.83509
				0.355115	4.09218	0.17116	2.08165	0.349561	4.25639	0.672352	8.18982	0.807976	9.27406	0.570672	6.93363	0.752139	8.82555
				0.355949	4.06933	0.173245	2.0834	0.350667	4.22197	0.678007	8.16602	0.815024	9.25596	0.573493	6.88991	0.753501	8.81949
				0.35664	4.05072	0.17533	2.08511	0.351776	4.18834	0.683596	8.14197	0.822041	9.23791	0.57624	6.84627	0.755459	8.81084
				0.357187	4.03619	0.177415	2.08679	0.352888	4.15548	0.689117	8.11765	0.829026	9.21987	0.578914	6.80275	0.757589	8.80152
				0.35759	4.02561	0.1795	2.08842	0.354004	4.12337	0.69457	8.09306	0.835974	9.20179	0.58152	6.75937	0.760487	8.78898
				0.357848	4.01888	0.181585	2.09002	0.355122	4.092	0.699954	8.0682	0.842883	9.18366	0.58406	6.71615	0.764156	8.77335
