Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3		Asym4	
478  Points		494  Points		255  Points		144  Points		129  Points		401  Points		2  Points		163  Points		128  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.231477	6.83787	0.0507618	1.72561	0.338476	10.0721	0.441848	12.8355	0.604574	17.8339	0.284285	8.34984			0.475635	13.8378	0.727819	21.2505
0.236162	6.78939	0.0528773	1.74234	0.341893	9.89939	0.445762	12.6079	0.60698	17.426	0.289886	8.28758			0.478461	13.5526	0.729362	20.7316
0.240665	6.73837	0.0549937	1.7581	0.345463	9.73998	0.449779	12.3949	0.609439	17.0407	0.295498	8.22884			0.481338	13.2835	0.730943	20.2405
0.244983	6.68487	0.0571107	1.77297	0.349188	9.59304	0.453896	12.1952	0.611949	16.6765	0.300395	8.18025			0.484265	13.0293	0.732562	19.7752
0.249112	6.629	0.059228	1.78701	0.353074	9.45769	0.45811	12.0079	0.61451	16.3316	0.304572	8.14058			0.487242	12.7888	0.73422	19.3336
0.253051	6.57092	0.0613451	1.80029	0.357119	9.33313	0.462419	11.8319	0.617121	16.0047	0.308028	8.10889			0.490267	12.5611	0.735916	18.9143
0.256802	6.51081	0.063462	1.81284	0.361325	9.21857	0.466821	11.6664	0.619781	15.6945	0.31076	8.0845			0.493339	12.3451	0.73765	18.5155
0.260368	6.44887	0.0655783	1.82473	0.365687	9.11325	0.471312	11.5106	0.62249	15.3997	0.312769	8.06693			0.496458	12.1401	0.739424	18.1359
0.263752	6.38535	0.0676942	1.83601	0.370203	9.01645	0.475891	11.3638	0.625247	15.1194	0.314055	8.05584			0.499623	11.9453	0.741237	17.7742
0.266962	6.32049	0.0698092	1.84671	0.374867	8.92745	0.480554	11.2255	0.628051	14.8526	0.315902	8.0401			0.502832	11.7601	0.74309	17.4292
0.270004	6.25455	0.0719234	1.85687	0.379671	8.84559	0.4853	11.0948	0.630902	14.5984	0.31791	8.02326			0.506086	11.5838	0.744982	17.0999
0.272887	6.18779	0.0740369	1.86654	0.384607	8.77022	0.490125	10.9715	0.633798	14.3559	0.32064	8.00078			0.509384	11.4158	0.746915	16.7853
0.27562	6.12046	0.0761494	1.87574	0.389667	8.70074	0.495028	10.8548	0.63674	14.1245	0.32409	7.97301			0.512725	11.2557	0.748888	16.4845
0.278213	6.0528	0.0782609	1.8845	0.39484	8.63659	0.500005	10.7445	0.639726	13.9034	0.328259	7.94036			0.516109	11.1029	0.750902	16.1967
0.280675	5.98505	0.0803715	1.89286	0.400119	8.57724	0.505056	10.64	0.642757	13.692	0.333142	7.90326			0.519536	10.957	0.752958	15.9211
0.283015	5.9174	0.0824811	1.90083	0.405491	8.52221	0.510176	10.5409	0.64583	13.4897	0.338733	7.86213			0.523006	10.8176	0.755055	15.657
0.285244	5.85003	0.0845897	1.90845	0.410949	8.47105	0.515365	10.447	0.648947	13.2961	0.344309	7.82238			0.526518	10.6843	0.757194	15.4037
0.28737	5.78313	0.0866974	1.91573	0.416484	8.42335	0.52062	10.3579	0.652105	13.1105	0.349867	7.78389			0.530072	10.5569	0.759376	15.1607
0.289402	5.71682	0.0888041	1.9227	0.421361	8.38432	0.525938	10.2733	0.655306	12.9326	0.355403	7.74649			0.533669	10.4349	0.761601	14.9275
0.291347	5.65124	0.0909099	1.92937	0.425555	8.35275	0.531319	10.1929	0.658548	12.7619	0.360916	7.71007			0.537309	10.3181	0.763868	14.7034
0.293214	5.58649	0.0930148	1.93577	0.429046	8.32771	0.536759	10.1165	0.661831	12.5981	0.366402	7.67452			0.540992	10.2062	0.766179	14.4881
0.295009	5.52266	0.0951187	1.9419	0.43182	8.30857	0.542258	10.0437	0.665155	12.4407	0.371858	7.63971			0.544718	10.099	0.768534	14.281
0.296739	5.45982	0.0972218	1.94779	0.433866	8.29483	0.547812	9.97449	0.668519	12.2895	0.377282	7.60556			0.548488	9.99622	0.770933	14.0818
0.29841	5.39803	0.099324	1.95344	0.435178	8.28619	0.553421	9.90852	0.671923	12.1441	0.38267	7.57197			0.552302	9.89767	0.773376	13.89
0.300027	5.33733	0.101425	1.95887	0.437069	8.27395	0.559082	9.84563	0.675367	12.0042	0.38802	7.53886			0.556161	9.80315	0.775864	13.7054
