Minima		Zeros		Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
8  Points		7  Points		480  Points		492  Points		480  Points		282  Points		142  Points		414  Points		164  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
				0.244122	4.10734	0.058394	2.27186	0.218768	5.44341	0.342279	4.3744	0.428746	4.77805	0.298228	6.16235	0.482397	3.1298
				0.247835	3.86601	0.0605106	2.27157	0.22374	5.22539	0.346461	4.60096	0.433241	4.87038	0.303971	6.1646	0.485337	3.18071
				0.251326	3.63099	0.0626269	2.27106	0.228505	4.99699	0.350852	4.82146	0.437821	4.95958	0.309715	6.16304	0.488324	3.23058
				0.254601	3.405	0.0647425	2.27044	0.233052	4.76026	0.355446	5.03313	0.442483	5.04586	0.315455	6.15764	0.491357	3.27958
				0.25767	3.19031	0.0668576	2.26965	0.237375	4.51796	0.360231	5.23359	0.447223	5.12927	0.321189	6.14852	0.494435	3.32776
				0.260546	2.98857	0.0689718	2.26874	0.24147	4.27326	0.365198	5.42094	0.45204	5.20989	0.326912	6.13563	0.497558	3.37527
				0.263239	2.80093	0.0710851	2.26781	0.245338	4.02943	0.370332	5.59409	0.456931	5.28794	0.332622	6.11901	0.500725	3.42233
				0.265765	2.62788	0.0731976	2.2668	0.248979	3.78978	0.375622	5.75229	0.461894	5.36338	0.338314	6.09865	0.503935	3.46898
				0.268136	2.46942	0.075309	2.26574	0.252399	3.55735	0.381051	5.89539	0.466926	5.43641	0.343986	6.07449	0.507189	3.5154
				0.270366	2.32528	0.0774195	2.26466	0.255608	3.33479	0.386607	6.0237	0.472024	5.50718	0.349633	6.0466	0.510486	3.56181
				0.272469	2.19483	0.079529	2.26358	0.258613	3.12411	0.392276	6.13764	0.477188	5.57576	0.355253	6.01485	0.513826	3.60834
				0.274456	2.07728	0.0816375	2.26252	0.261429	2.92682	0.398044	6.23793	0.482414	5.64225	0.360841	5.97925	0.517209	3.65512
				0.27634	1.97174	0.083745	2.26148	0.264067	2.7438	0.403899	6.32535	0.487701	5.70675	0.366395	5.93984	0.520637	3.7023
				0.27813	1.87725	0.0858515	2.26041	0.266542	2.57546	0.409831	6.40086	0.493048	5.7694	0.37191	5.89647	0.524108	3.7501
				0.279838	1.7928	0.087957	2.25936	0.268866	2.42167	0.415827	6.4654	0.498452	5.83023	0.377382	5.84913	0.527625	3.79866
				0.281471	1.7175	0.0900615	2.25836	0.271054	2.28197	0.421878	6.5197	0.503912	5.88942	0.382809	5.79781	0.531187	3.84817
				0.283038	1.65046	0.0921652	2.25739	0.273119	2.15576	0.427975	6.56465	0.509426	5.94702	0.388186	5.74263	0.534795	3.89864
				0.284546	1.59081	0.0942679	2.25646	0.275071	2.04216	0.434111	6.60108	0.514993	6.00303	0.392828	5.69137	0.538451	3.9503
				0.286002	1.53786	0.0963698	2.25552	0.276924	1.94024	0.440276	6.62963	0.520612	6.05763	0.396752	5.64522	0.542156	4.00328
				0.287412	1.49092	0.0984708	2.25457	0.278687	1.84907	0.446464	6.65099	0.526281	6.11087	0.399971	5.60544	0.545911	4.05754
				0.288781	1.44933	0.100571	2.2537	0.280369	1.76771	0.452669	6.66566	0.531999	6.16271	0.402501	5.57302	0.549717	4.11326
				0.290113	1.41253	0.10267	2.25289	0.281981	1.69513	0.458885	6.67418	0.537765	6.2133	0.404351	5.54842	0.553576	4.17042
				0.291413	1.38	0.104769	2.25209	0.283528	1.63053	0.465106	6.67711	0.543577	6.26269	0.405531	5.53238	0.557488	4.229
				0.292684	1.35135	0.106867	2.25132	0.285019	1.57314	0.471327	6.67475	0.549435	6.31085	0.407221	5.50913	0.561456	4.28904
				0.293931	1.32612	0.108964	2.25057	0.286459	1.52219	0.477544	6.66755	0.555336	6.35782	0.40905	5.48329	0.56548	4.35038
				0.295155	1.30401	0.111061	2.24983	0.287855	1.47704	0.483751	6.65578	0.561282	6.40364	0.411523	5.44726	0.569562	4.41299
				0.296361	1.2847	0.113156	2.24913	0.289212	1.43704	0.489946	6.63979	0.567269	6.44833	0.414628	5.40046	0.573703	4.47669
				0.297549	1.26783	0.115252	2.24848	0.290533	1.40162	0.496124	6.61981	0.573297	6.49185	0.418346	5.34202	0.577904	4.54133
				0.298723	1.25321	0.117346	2.24783	0.291824	1.3704	0.502281	6.59604	0.579366	6.53423	0.422655	5.27094	0.582166	4.60673
				0.299884	1.24066	0.11944	2.24721	0.293087	1.34292	0.508415	6.56879	0.585473	6.57547	0.427527	5.18618	0.586488	4.67257
				0.301035	1.22991	0.121534	2.24665	0.294326	1.31871	0.514521	6.53817	0.591618	6.61548	0.432318	5.09821	0.590872	4.73863
				0.302176	1.2208	0.123627	2.24607	0.295544	1.29752	0.520598	6.5044	0.5978	6.65426	0.437027	5.0072	0.595318	4.80467
				0.30331	1.2132	0.125719	2.24553	0.296744	1.27902	0.526642	6.4677	0.604018	6.69183	0.441649	4.91336	0.599825	4.87041
				0.304437	1.20694	0.127811	2.245	0.297927	1.26288	0.53265	6.42812	0.61027	6.72807	0.446182	4.817	0.604394	4.93545
				0.305559	1.20188	0.129902	2.24452	0.299097	1.24899	0.53862	6.38582	0.616555	6.76291	0.450625	4.71846	0.609022	4.99955
				0.306676	1.19793	0.131993	2.24405	0.300255	1.23702	0.544549	6.34098	0.622872	6.79634	0.454974	4.61807	0.61371	5.06241
				0.307791	1.19499	0.134084	2.24357	0.301402	1.22683	0.549681	6.29999	0.629219	6.82833	0.45923	4.51617	0.618455	5.12376
				0.308903	1.19299	0.136174	2.2431	0.302541	1.21822	0.554029	6.26369	0.635596	6.85869	0.46339	4.41314	0.623257	5.18331
				0.310014	1.19179	0.138264	2.24273	0.303672	1.21102	0.557605	6.23266	0.642	6.8874	0.467453	4.30937	0.628114	5.24074
				0.311124	1.19136	0.140353	2.24232	0.304797	1.20519	0.56042	6.20753	0.64843	6.91443	0.47142	4.20526	0.633023	5.29592
				0.312234	1.19159	0.142442	2.24189	0.305918	1.20051	0.562482	6.18874	0.654884	6.93963	0.475289	4.1012	0.637982	5.34863
				0.313344	1.19243	0.14453	2.24153	0.307034	1.19689	0.563799	6.17658	0.661361	6.96294	0.479062	3.99758	0.642989	5.39861
				0.314456	1.19389	0.146619	2.24117	0.308148	1.19428	0.565687	6.15883	0.667859	6.98421	0.482738	3.89471	0.648042	5.44577
				0.315569	1.19585	0.148707	2.24081	0.30926	1.19253	0.567733	6.13928	0.674375	7.00339	0.486319	3.79297	0.653137	5.48998
				0.316684	1.1983	0.150794	2.24048	0.31037	1.19155	0.570506	6.1124	0.680909	7.02036	0.489806	3.69269	0.658272	5.53116
