Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3	
459  Points		495  Points		183  Points		149  Points		133  Points		99  Points		310  Points		162  Points		129  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.196311	6.335	0.0397479	2.23498	0.330896	3.19808	0.529655	1.55668	0.593512	2.22585	0.859087	1.38888	0.216422	5.11506	0.458718	2.56735	0.723666	1.63585
0.202193	6.2893	0.0407602	2.23878	0.333127	3.24954	0.531138	1.6285	0.595613	2.2837	0.8604	1.43057	0.221222	5.185	0.461141	2.63286	0.725212	1.68264
0.208031	6.24067	0.0420429	2.24321	0.334999	3.29161	0.532689	1.70183	0.597767	2.34081	0.861752	1.47212	0.226084	5.24985	0.463624	2.69716	0.726802	1.72905
0.213822	6.18896	0.0435971	2.24789	0.336496	3.32447	0.534309	1.77664	0.599975	2.39717	0.863143	1.51339	0.231004	5.30999	0.466166	2.7602	0.728434	1.77506
0.219563	6.13404	0.0454243	2.25255	0.337606	3.34845	0.536	1.85288	0.602234	2.45282	0.864572	1.55441	0.235979	5.36574	0.468767	2.82198	0.730109	1.82071
0.225252	6.07568	0.0475252	2.25696	0.338321	3.3638	0.537762	1.9305	0.604545	2.50782	0.86604	1.59521	0.241003	5.41731	0.471425	2.88255	0.731827	1.86596
0.230885	6.01382	0.0496299	2.26052	0.339354	3.38579	0.539597	2.0095	0.606907	2.56215	0.867545	1.63572	0.246073	5.46506	0.474138	2.94187	0.733586	1.91082
0.236458	5.94833	0.0517375	2.26333	0.340484	3.40952	0.541507	2.08978	0.609319	2.61579	0.869088	1.67602	0.251186	5.50923	0.476907	3.00002	0.735387	1.95528
0.241969	5.87901	0.0538474	2.26554	0.342035	3.44157	0.543491	2.17132	0.611781	2.66881	0.870668	1.71606	0.256339	5.54999	0.479729	3.05691	0.73723	1.99937
0.247413	5.80579	0.055959	2.26719	0.344016	3.482	0.545553	2.25397	0.614292	2.72116	0.872285	1.75583	0.261528	5.58762	0.482603	3.11262	0.739113	2.04302
0.252787	5.72862	0.058072	2.26839	0.346443	3.53062	0.547691	2.33769	0.616852	2.77292	0.87394	1.79533	0.266751	5.62225	0.485529	3.1672	0.741037	2.08623
0.258088	5.6474	0.0601859	2.2692	0.349332	3.5874	0.549909	2.42244	0.619459	2.82413	0.875631	1.83455	0.272004	5.65403	0.488505	3.22055	0.743001	2.12908
0.26331	5.56214	0.0623004	2.26968	0.352705	3.65244	0.552205	2.50808	0.622114	2.87469	0.877358	1.87351	0.277286	5.68318	0.49153	3.27276	0.745004	2.17148
0.268452	5.47292	0.0644152	2.26985	0.356138	3.71759	0.554582	2.59446	0.624816	2.9247	0.879122	1.91217	0.282594	5.70988	0.494603	3.32387	0.747047	2.21345
0.273509	5.37973	0.0665301	2.26983	0.359632	3.78302	0.55704	2.68153	0.627564	2.97418	0.880921	1.9506	0.287926	5.73414	0.497723	3.37385	0.749129	2.25504
0.278477	5.28271	0.0686448	2.26967	0.363188	3.84891	0.559579	2.76918	0.630358	3.02312	0.882757	1.98871	0.293279	5.75616	0.50048	3.41654	0.751249	2.29619
0.283352	5.18206	0.0707593	2.26933	0.366804	3.91551	0.5622	2.85723	0.633197	3.07155	0.884627	2.02656	0.298652	5.77606	0.502857	3.45234	0.753407	2.33688
0.288133	5.07801	0.0728735	2.26883	0.370484	3.98294	0.564903	2.9456	0.636082	3.11948	0.886533	2.0641	0.304042	5.79389	0.504842	3.48146	0.755603	2.37718
0.292815	4.97086	0.0749871	2.26822	0.374226	4.0513	0.567689	3.03415	0.63901	3.16693	0.888473	2.10132	0.309448	5.80976	0.506422	3.50417	0.757837	2.41705
0.297395	4.86091	0.0771	2.26758	0.378033	4.12071	0.570557	3.12271	0.641983	3.21394	0.890448	2.13833	0.314868	5.82378	0.507591	3.52082	0.760107	2.45643
0.301872	4.74861	0.0792124	2.26686	0.381905	4.19126	0.573508	3.21113	0.644999	3.2605	0.892458	2.17499	0.3203	5.83602	0.508342	3.53133	0.762414	2.49543
0.306244	4.63439	0.0813241	2.26606	0.385843	4.26283	0.576146	3.288	0.648058	3.30659	0.894501	2.21133	0.325743	5.84654	0.509425	3.54631	0.764757	2.53402
