Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
471  Points		492  Points		205  Points		144  Points		128  Points		368  Points		159  Points		127  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.234764	5.67174	0.0536418	2.27009	0.347703	3.66152	0.479718	3.20058	0.606219	2.61462	0.253191	5.7961	0.47418	3.0244	0.731657	1.89579
0.239989	5.54038	0.0557574	2.27104	0.35116	3.76099	0.482753	3.31402	0.608682	2.67227	0.25861	5.83517	0.477026	3.08443	0.733445	1.94163
0.245088	5.4026	0.0578737	2.27159	0.354711	3.86426	0.485894	3.42723	0.611198	2.72918	0.264064	5.87037	0.479927	3.14313	0.735275	1.987
0.250056	5.2588	0.0599903	2.27175	0.358361	3.97112	0.489139	3.54006	0.613767	2.78528	0.269549	5.90186	0.482883	3.20045	0.737148	2.03191
0.254887	5.10956	0.0621068	2.27169	0.361623	4.06703	0.49249	3.65225	0.616388	2.84058	0.275061	5.92983	0.485891	3.2565	0.739062	2.07631
0.259577	4.95559	0.0642233	2.27144	0.364467	4.15067	0.495945	3.76354	0.61906	2.89522	0.280598	5.95451	0.488951	3.31126	0.741017	2.12028
0.264121	4.79779	0.0663394	2.27094	0.366862	4.22089	0.499503	3.87378	0.621783	2.94905	0.286157	5.97597	0.492061	3.36483	0.743013	2.16378
0.268517	4.63709	0.0684549	2.27033	0.368785	4.27712	0.503163	3.98271	0.624555	3.00215	0.291734	5.99439	0.495221	3.41717	0.745049	2.20682
0.272762	4.47457	0.0705699	2.26962	0.370215	4.31895	0.506924	4.09019	0.627377	3.0546	0.297327	6.00993	0.498429	3.46839	0.747125	2.2494
0.276855	4.31146	0.0726841	2.26883	0.371138	4.34575	0.510785	4.19602	0.630247	3.10631	0.302933	6.02261	0.501684	3.51853	0.74924	2.29149
0.280796	4.14879	0.0747976	2.26799	0.372474	4.38427	0.514743	4.30001	0.633165	3.15737	0.308549	6.03261	0.504985	3.56755	0.751395	2.33312
0.284586	3.98773	0.0769103	2.26706	0.37394	4.42648	0.518798	4.40208	0.636131	3.20779	0.314174	6.04007	0.508332	3.61556	0.753588	2.37435
0.288226	3.82939	0.079022	2.26612	0.375956	4.4841	0.522946	4.50207	0.639143	3.25756	0.319804	6.04493	0.511722	3.66265	0.755819	2.41512
0.291721	3.67471	0.081133	2.26517	0.378543	4.55702	0.527187	4.59989	0.642201	3.30673	0.325438	6.04733	0.515157	3.70886	0.758088	2.45542
0.295074	3.52458	0.0832429	2.26419	0.381728	4.64512	0.531517	4.6954	0.645305	3.35532	0.331073	6.04735	0.518634	3.75419	0.760394	2.49531
0.298289	3.37968	0.085352	2.26322	0.385541	4.74786	0.535936	4.7885	0.648453	3.40337	0.336707	6.04502	0.522152	3.79871	0.762738	2.53481
0.301372	3.24059	0.0874602	2.26226	0.390019	4.86424	0.54044	4.87919	0.651646	3.4509	0.342337	6.04034	0.525712	3.84248	0.765118	2.57388
0.304327	3.10774	0.0895675	2.2613	0.394605	4.97809	0.545028	4.96741	0.654884	3.49793	0.347962	6.03342	0.529312	3.88563	0.767534	2.61255
0.307162	2.98141	0.0916739	2.26031	0.399295	5.08852	0.549696	5.05303	0.658164	3.54451	0.35358	6.02429	0.532952	3.92812	0.769986	2.65086
0.309883	2.86176	0.0937793	2.25941	0.404087	5.19482	0.554444	5.13607	0.661488	3.59073	0.359188	6.01287	0.536632	3.97006	0.772473	2.68872
0.312495	2.74881	0.095884	2.25852	0.408975	5.29631	0.559267	5.21655	0.664855	3.63651	0.364784	5.99929	0.54035	4.01152	0.774996	2.72621
0.315005	2.64259	0.0979878	2.2576	0.413956	5.39235	0.564164	5.29436	0.668265	3.68193	0.370367	5.98353	0.544107	4.05254	0.777553	2.7634
0.317419	2.54293	0.100091	2.25678	0.419023	5.48264	0.569132	5.3695	0.671716	3.72714	0.375934	5.96561	0.547902	4.09321	0.780145	2.8002
0.319744	2.4496	0.102193	2.25592	0.424172	5.56689	0.57417	5.442	0.67521	3.77207	0.381483	5.94548	0.551734	4.13352	0.782771	2.83666
0.321984	2.3624	0.104295	2.25509	0.429397	5.64483	0.579273	5.51184	0.678745	3.81676	0.387012	5.92322	0.555104	4.16844	0.785431	2.87283
0.324146	2.28109	0.106395	2.25435	0.434691	5.71654	0.58444	5.57894	0.682322	3.86137	0.39252	5.89884	0.558	4.19813	0.788125	2.90861
0.326234	2.20534	0.108495	2.25358	0.440049	5.78199	0.589669	5.64342	0.68594	3.90591	0.398004	5.87225	0.560409	4.22254	0.790851	2.94415
0.328255	2.13485	0.110595	2.25286	0.445465	5.8413	0.594956	5.70529	0.6896	3.9504	0.403462	5.84354	0.562325	4.24175	0.793611	2.9794
0.330212	2.06937	0.112693	2.25217	0.450933	5.89468	0.59961	5.75698	0.693301	3.99492	0.408893	5.81271	0.563738	4.25605	0.796403	3.01432
0.332111	2.00858	0.114791	2.25146	0.456449	5.94228	0.603609	5.79946	0.697044	4.03957	0.414294	5.77971	0.564646	4.26514	0.799227	3.04899
0.333955	1.95219	0.116889	2.25081	0.462006	5.98443	0.606938	5.83352	0.700829	4.08441	0.419663	5.74454	0.565953	4.27807	0.802084	3.08339
0.335749	1.8999	0.118985	2.2502	0.4676	6.02133	0.609584	5.85966	0.704655	4.12956	0.424998	5.70729	0.567379	4.29216	0.804973	3.11756
0.337495	1.85143	0.121082	2.24959	0.473226	6.05329	0.611537	5.87844	0.708524	4.17504	0.430298	5.66789	0.569326	4.31135	0.807894	3.15147
0.339199	1.80655	0.123177	2.249	0.47888	6.08066	0.61279	5.89025	0.712435	4.22096	0.43556	5.62637	0.5718	4.33565	0.810845	3.18516
0.340862	1.765	0.125272	2.24845	0.484557	6.10361	0.614596	5.90696	0.716389	4.26746	0.440782	5.58283	0.574811	4.36497	0.813829	3.21863
0.342488	1.72658	0.127367	2.24791	0.490253	6.12248	0.616564	5.92491	0.720387	4.31461	0.445963	5.53719	0.578369	4.39942	0.816843	3.25188
0.344079	1.69104	0.129461	2.24739	0.495966	6.13752	0.619251	5.94864	0.724429	4.36247	0.4511	5.48946	0.582487	4.43894	0.819888	3.28491
0.345639	1.6582	0.131555	2.24687	0.50169	6.14896	0.622664	5.97762	0.728516	4.41125	0.456192	5.43982	0.586641	4.47852	0.822964	3.31772
0.347169	1.62788	0.133648	2.24639	0.507423	6.15709	0.626813	6.01132	0.732649	4.46105	0.461236	5.38823	0.590832	4.51815	0.82607	3.35038
