Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
388  Points		389  Points		388  Points		377  Points		370  Points		362  Points		152  Points		389  Points		380  Points		366  Points		184  Points		141  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
2.20312	2.65223	0.34611	0.110474	2.20377	2.6524	0.692295	0.15713	1.26938	-0.093599	1.38444	0.118733	2.07659	-0.412868	0.346238	0.245844	0.846157	-0.136819	1.03846	0.192157	1.69243	-0.440905	1.7306	0.416924
2.197	2.65127	0.346365	0.208183	2.19765	2.65147	0.692657	0.221315	1.26917	-0.172684	1.38471	0.214063	2.07564	-0.628048	0.346805	0.342738	0.845841	-0.182647	1.03891	0.258172	1.69141	-0.654894	1.73156	0.649017
2.19089	2.64936	0.347071	0.402361	2.19154	2.64958	0.693316	0.348758	1.26859	-0.327689	1.38543	0.401618	2.07369	-1.00596	0.34782	0.534909	0.845314	-0.272818	1.03965	0.388833	1.6894	-1.02792	1.73359	1.05892
2.18478	2.64743	0.348222	0.593403	2.18543	2.64763	0.694267	0.473932	1.26766	-0.474807	1.38657	0.581244	2.071	-1.2819	0.349274	0.722961	0.844582	-0.359482	1.0407	0.516196	1.68667	-1.29576	1.73645	1.36324
2.17867	2.64541	0.349809	0.779856	2.17932	2.64563	0.695503	0.596034	1.2664	-0.611207	1.38811	0.75014	2.06778	-1.47094	0.351156	0.905486	0.843655	-0.44155	1.04204	0.63916	1.68343	-1.47616	1.73988	1.57785
2.17257	2.64328	0.351821	0.960503	2.17322	2.64354	0.697017	0.71448	1.26484	-0.734886	1.39003	0.906437	2.06421	-1.5967	0.353453	1.08142	0.842545	-0.518161	1.04365	0.756987	1.67985	-1.59386	1.74373	1.72765
2.16647	2.64113	0.354242	1.13422	2.16712	2.64133	0.6988	0.828691	1.263	-0.844769	1.39229	1.04904	2.06041	-1.67911	0.356147	1.24983	0.841264	-0.588694	1.04553	0.869082	1.67607	-1.66915	1.74786	1.83345
2.16038	2.63889	0.357055	1.30009	2.16103	2.63911	0.700842	0.938094	1.26094	-0.940461	1.39487	1.17764	2.05646	-1.73238	0.35922	1.40991	0.839828	-0.652563	1.04766	0.974911	1.67215	-1.71611	1.75219	1.90991
2.15429	2.63661	0.360241	1.45752	2.15494	2.63687	0.70313	1.04228	1.25866	-1.02228	1.39773	1.29254	2.05241	-1.76574	0.362653	1.5611	0.838253	-0.709401	1.05003	1.07422	1.66815	-1.74372	1.75667	1.96651
