Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
388  Points		391  Points		388  Points		383  Points		370  Points		362  Points		155  Points		391  Points		380  Points		367  Points		338  Points		161  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
2.06936	2.64618	0.435646	2.62572	2.06637	2.64502	0.747435	1.75412	1.17559	-0.861897	1.44156	1.68256	1.9511	-1.47938	0.428264	2.60538	0.78119	-0.556835	1.08981	1.60521	1.56506	-1.18339	1.79751	1.84466
2.06326	2.64374	0.441719	2.63371	2.06027	2.64252	0.751505	1.7711	1.17364	-0.829179	1.44546	1.69444	1.94772	-1.44831	0.430415	2.61316	0.779959	-0.506576	1.09353	1.62122	1.56236	-1.15397	1.80178	1.84976
2.05716	2.6412	0.4478	2.63305	2.05417	2.63993	0.755608	1.78265	1.17176	-0.791722	1.44938	1.70259	1.94441	-1.4151	0.431794	2.61753	0.778852	-0.449051	1.09729	1.63302	1.55974	-1.12113	1.80605	1.85189
2.05107	2.63862	0.45387	2.62383	2.04808	2.63732	0.759732	1.7889	1.16998	-0.749693	1.45331	1.70725	1.94119	-1.37987	0.433781	2.62275	0.777887	-0.384172	1.10107	1.64067	1.55719	-1.08491	1.81032	1.85118
2.04499	2.63596	0.459908	2.60605	2.042	2.6346	0.763863	1.78984	1.1683	-0.703135	1.45726	1.70851	1.93805	-1.34261	0.435944	2.62741	0.77708	-0.311763	1.10486	1.64424	1.55473	-1.04556	1.81459	1.84778
2.03891	2.63319	0.465896	2.57964	2.03593	2.63178	0.767991	1.78562	1.16674	-0.652134	1.4612	1.70649	1.93499	-1.30332	0.438892	2.63205	0.776448	-0.231764	1.10866	1.64384	1.55236	-1.00312	1.81885	1.84185
2.03283	2.63029	0.471813	2.54462	2.02986	2.62885	0.772104	1.77624	1.16529	-0.596787	1.46513	1.70135	1.93203	-1.26208	0.442626	2.63493	0.77601	-0.14413	1.11245	1.6396	1.5501	-0.957642	1.82309	1.83337
2.02677	2.62734	0.477639	2.5011	2.02379	2.62586	0.776188	1.76172	1.16398	-0.537143	1.46905	1.69312	1.92917	-1.21886	0.447144	2.63408	0.775783	-0.0487235	1.11622	1.63163	1.54795	-0.909244	1.82731	1.82249
2.02071	2.62431	0.483355	2.44913	2.01774	2.6228	0.780234	1.74228	1.16282	-0.473372	1.47294	1.68193	1.92641	-1.17366	0.452436	2.62699	0.775785	0.0543169	1.11997	1.61994	1.5459	-0.857929	1.8315	1.8093
2.01466	2.62116	0.488941	2.38885	2.01169	2.61962	0.784229	1.71798	1.1618	-0.405595	1.47681	1.66792	1.92375	-1.12655	0.458484	2.61103	0.776034	0.164963	1.1237	1.60468	1.54399	-0.803861	1.83566	1.79384
2.00861	2.61795	0.494379	2.3205	2.00565	2.61633	0.788162	1.68885	1.16094	-0.333836	1.48064	1.65109	1.92121	-1.07744	0.464486	2.58665	0.776546	0.282984	1.12738	1.58597	1.5422	-0.747066	1.83978	1.77616
2.00258	2.61461	0.49965	2.24454	1.99962	2.61289	0.792022	1.65507	1.16026	-0.258287	1.48443	1.63157	1.91878	-1.0264	0.470421	2.55369	0.77734	0.408063	1.13102	1.56384	1.54054	-0.687603	1.84386	1.75634
1.99655	2.61115	0.504737	2.16138	1.99359	2.60939	0.7958	1.61679	1.15975	-0.179112	1.48817	1.60944	1.91647	-0.973448	0.476271	2.51217	0.77843	0.539863	1.1346	1.53849	1.53902	-0.625586	1.84788	1.73435
