Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
386  Points		383  Points		387  Points		374  Points		366  Points		352  Points		143  Points		384  Points		380  Points		366  Points		174  Points		131  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
2.05979	2.50451	0.44848	7.98503	2.06271	2.50447	0.767709	13.599	1.26665	22.3071	1.50011	26.3334	2.0303	36.5824	0.420996	9.10207	0.851184	14.7939	1.1225	19.7264	1.65691	28.9646	1.90127	33.9696
2.05408	2.5046	0.455037	7.78207	2.057	2.50456	0.772551	13.1474	1.26352	21.3831	1.50527	25.3953	2.02753	35.0744	0.424023	8.95063	0.849053	14.1878	1.12737	19.0399	1.65368	27.7872	1.90611	32.7076
2.04839	2.50471	0.46162	7.59494	2.0513	2.50465	0.777419	12.7304	1.26051	20.5304	1.5104	24.5271	2.02479	33.6825	0.427887	8.7698	0.847064	13.6291	1.13225	18.4051	1.65051	26.6989	1.91094	31.5417
2.04272	2.50484	0.468211	7.42164	2.04562	2.50477	0.782304	12.344	1.25762	19.7414	1.51551	23.7212	2.02207	32.3938	0.432607	8.56562	0.845229	13.1128	1.13712	17.8161	1.64743	25.6901	1.91577	30.4612
2.03706	2.50499	0.474795	7.26046	2.03995	2.50491	0.787195	11.9848	1.25485	19.0095	1.52059	22.9711	2.01938	31.1975	0.438202	8.34419	0.843561	12.6346	1.142	17.2682	1.64443	24.7527	1.92058	29.457
2.03141	2.50515	0.481356	7.10992	2.0343	2.50506	0.792082	11.65	1.25222	18.3289	1.52564	22.2711	2.01673	30.0842	0.444685	8.11126	0.842073	12.191	1.14685	16.757	1.64153	23.8796	1.92538	28.5212
2.02578	2.50534	0.487877	6.96873	2.02866	2.50524	0.796956	11.3369	1.24972	17.6948	1.53065	21.6162	2.01412	29.0455	0.45122	7.89804	0.840778	11.7788	1.15169	16.2788	1.63872	23.0645	1.93015	27.647
2.02017	2.50554	0.494341	6.83576	2.02304	2.50544	0.801807	11.0434	1.24737	17.1027	1.53563	21.0021	2.01156	28.0745	0.457789	7.70197	0.83969	11.3952	1.1565	15.8305	1.636	22.3021	1.9349	26.8283
2.01457	2.50577	0.500733	6.71005	2.01743	2.50565	0.806626	10.7676	1.24516	16.5489	1.54056	20.425	2.00906	27.1647	0.464377	7.52085	0.838823	11.0378	1.16128	15.4093	1.6334	21.5875	1.93962	26.0601
2.00899	2.50602	0.507034	6.59071	2.01184	2.50589	0.811402	10.5077	1.24311	16.03	1.54545	19.8816	2.00662	26.3109	0.470968	7.35282	0.838191	10.7045	1.16602	15.0125	1.6309	20.9166	1.94431	25.3376
2.00342	2.50629	0.51323	6.47698	2.00627	2.50615	0.815523	10.293	1.24122	15.5432	1.55029	19.3689	2.00425	25.5081	0.477544	7.19625	0.837842	10.4321	1.17072	14.6381	1.62852	20.2858	1.94896	24.6567
1.99787	2.50658	0.519303	6.36819	2.00071	2.50643	0.819	10.118	1.2395	15.0857	1.55507	18.8843	2.00195	24.752	0.48409	7.04977	0.837701	10.2124	1.17536	14.2841	1.62625	19.6916	1.95357	24.014
1.99234	2.5069	0.525237	6.26372	1.99517	2.50673	0.821848	9.9785	1.23794	14.6553	1.5598	18.4255	1.99974	24.0388	0.490589	6.91215	0.837697	10.0389	1.17995	13.9488	1.62412	19.1312	1.95813	23.4062
1.98682	2.50724	0.531017	6.16306	1.98964	2.50706	0.824082	9.87129	1.23657	14.2498	1.56447	17.9903	1.9976	23.365	0.497025	6.78233	0.837768	9.9067	1.18448	13.6305	1.62211	18.602	1.96264	22.8305
1.98133	2.5076	0.536627	6.06573	1.98414	2.50742	0.825712	9.79414	1.23538	13.8673	1.56908	17.5768	1.99556	22.7278	0.503381	6.65938	0.837864	9.81222	1.18895	13.328	1.62023	18.1015	1.9671	22.2842
1.97585	2.50799	0.542052	5.97132	1.97865	2.50779	0.82675	9.7455	1.23438	13.5063	1.57361	17.1835	1.99362	22.1242	0.50964	6.54248	0.837944	9.75292	1.19334	13.0399	1.6185	17.6277	1.9715	21.7651
1.97039	2.50841	0.54728	5.87946	1.97318	2.50819	0.828236	9.67653	1.23358	13.1651	1.57807	16.8087	1.99177	21.5519	0.515787	6.43089	0.838087	9.66926	1.19765	12.7652	1.61691	17.1786	1.97583	21.2711
1.96494	2.50885	0.552297	5.78984	1.96773	2.50862	0.829839	9.60281	1.23298	12.8425	1.58246	16.4511	1.99003	21.0086	0.521804	6.32398	0.838278	9.58038	1.20188	12.5028	1.61547	16.7526	1.9801	20.8003
1.95952	2.50931	0.557094	5.70219	1.96229	2.50907	0.832003	9.50458	1.23258	12.5371	1.58676	16.1094	1.98841	20.4922	0.527675	6.22117	0.8386	9.46286	1.20602	12.2518	1.61418	16.3481	1.98429	20.3511
1.95411	2.50981	0.561661	5.61629	1.95688	2.50955	0.834708	9.38355	1.2324	12.2477	1.59098	15.7825	1.9869	20.0011	0.533386	6.12196	0.839113	9.31958	1.21007	12.0114	1.61305	15.9636	1.98841	19.9219
1.94872	2.51033	0.565991	5.53195	1.95148	2.51006	0.837931	9.2417	1.23243	11.9735	1.59511	15.4694	1.98552	19.5334	0.53892	6.02589	0.839891	9.15396	1.21403	11.7808	1.61208	15.5978	1.99245	19.5113
1.94335	2.51087	0.570079	5.44902	1.9461	2.51059	0.841639	9.0812	1.23269	11.7134	1.59915	15.1691	1.98426	19.0877	0.544265	5.93259	0.841032	8.96982	1.21788	11.5594	1.61127	15.2496	1.9964	19.118
1.938	2.51145	0.573923	5.36739	1.94074	2.51115	0.845792	8.90432	1.23316	11.4665	1.60309	14.8808	1.98313	18.6627	0.549405	5.8417	0.842652	8.77125	1.22163	11.3464	1.61064	14.9178	2.00026	18.7409
1.93267	2.51205	0.577523	5.28697	1.9354	2.51174	0.849828	8.73463	1.23386	11.232	1.60694	14.6037	1.98214	18.2569	0.554332	5.75294	0.844613	8.58545	1.22526	11.1414	1.61018	14.6015	2.00403	18.3788
1.92736	2.51268	0.580881	5.20771	1.93008	2.51236	0.853739	8.57155	1.23479	11.0092	1.61068	14.3371	1.98129	17.8693	0.559033	5.66605	0.84692	8.41161	1.22879	10.9439	1.60989	14.2997	2.0077	18.0309
1.92207	2.51334	0.584001	5.12957	1.92478	2.513	0.857518	8.41456	1.23595	10.7974	1.61431	14.0803	1.98059	17.4988	0.563501	5.58082	0.849578	8.24897	1.2322	10.7533	1.60979	14.0116	2.01126	17.6963
1.9168	2.51404	0.586891	5.05255	1.91949	2.51368	0.861161	8.26321	1.23715	10.6213	1.61784	13.8326	1.98004	17.1444	0.567731	5.49709	0.852589	8.09681	1.23508	10.5925	1.60986	13.7364	2.01473	17.374
1.91154	2.51476	0.589557	4.97664	1.91423	2.51438	0.86466	8.11707	1.2383	10.4771	1.62126	13.5937	1.97963	16.8052	0.571717	5.41471	0.855954	7.95446	1.23746	10.4592	1.61012	13.4733	2.01808	17.0634
1.90631	2.51551	0.592011	4.90188	1.90899	2.51512	0.86801	7.97576	1.23935	10.3617	1.62456	13.3629	1.97939	16.4803	0.575459	5.3336	0.859669	7.82128	1.23938	10.3514	1.61056	13.2217	2.02132	16.7638
1.9011	2.51629	0.594263	4.82829	1.90376	2.51588	0.871207	7.83894	1.24025	10.2729	1.62776	13.1397	1.9793	16.1689	0.578957	5.25367	0.863731	7.69665	1.24087	10.2678	1.61119	12.981	2.02445	16.4744
1.8959	2.5171	0.596327	4.75589	1.89856	2.51668	0.874248	7.7063	1.24094	10.2089	1.63083	12.9239	1.97937	15.8704	0.582215	5.17488	0.868131	7.58001	1.24195	10.2071	1.612	12.7505	2.02746	16.1948
1.89072	2.51794	0.598215	4.68474	1.89337	2.5175	0.877129	7.57758	1.24139	10.1686	1.6338	12.7148	1.97961	15.584	0.585238	5.09721	0.87286	7.47079	1.24263	10.1686	1.613	12.5297	2.03035	15.9244
1.88557	2.51881	0.599941	4.61487	1.8882	2.51836	0.879848	7.45252	1.24207	10.1113	1.63664	12.5123	1.98001	15.309	0.588033	5.02065	0.877908	7.36847	1.24359	10.1137	1.61418	12.3181	2.03312	15.6627
1.88043	2.51971	0.60152	4.54632	1.88306	2.51925	0.882405	7.3309	1.24283	10.0501	1.63938	12.3159	1.98057	15.045	0.590609	4.94522	0.883261	7.27256	1.24463	10.0548	1.61554	12.1151	2.03577	15.4092
1.87531	2.52065	0.602964	4.47912	1.87793	2.52017	0.884799	7.21252	1.24392	9.96853	1.642	12.1254	1.9813	14.7913	0.592977	4.87094	0.888905	7.18257	1.24602	9.97566	1.61708	11.9204	2.0383	15.1635
1.87021	2.52161	0.604288	4.41331	1.87282	2.52112	0.88703	7.09721	1.24536	9.86802	1.64451	11.9405	1.98219	14.5474	0.595149	4.79785	0.894824	7.09806	1.24773	9.87728	1.61879	11.7335	2.04071	14.9253
1.86513	2.52261	0.605507	4.34892	1.86773	2.5221	0.889099	6.98482	1.24722	9.7503	1.64691	11.7609	1.98325	14.3128	0.597138	4.72597	0.901003	7.01861	1.24974	9.76077	1.62068	11.5539	2.043	14.694
1.86007	2.52364	0.606631	4.28597	1.86265	2.52311	0.89101	6.8752	1.24955	9.61732	1.64921	11.5864	1.98447	14.087	0.598956	4.65535	0.907424	6.94382	1.25202	9.62738	1.62274	11.3814	2.04517	14.4695
1.85502	2.5247	0.607675	4.22448	1.8576	2.52415	0.892764	6.76824	1.25241	9.47118	1.6514	11.4168	1.98585	13.8696	0.600619	4.58603	0.91407	6.87332	1.25453	9.47851	1.62496	11.2154	2.04722	14.2514
1.84999	2.52578	0.60865	4.16446	1.85256	2.52522	0.894366	6.66381	1.25548	9.33156	1.6535	11.2518	1.98739	13.6602	0.60214	4.51804	0.920923	6.80675	1.25693	9.33392	1.62734	11.0558	2.04916	14.0394
1.84498	2.5269	0.609568	4.10591	1.84754	2.52633	0.895819	6.56182	1.25874	9.19807	1.65551	11.0913	1.98909	13.4584	0.603532	4.45142	0.927966	6.7438	1.25923	9.19344	1.62953	10.9215	2.05099	13.8332
1.83999	2.52805	0.610438	4.04885	1.84254	2.52746	0.897129	6.4622	1.2622	9.07035	1.65719	10.955	1.99093	13.2638	0.60481	4.3862	0.935181	6.68414	1.26142	9.0569	1.63149	10.8104	2.05271	13.6327
1.83501	2.52923	0.611167	4.00033	1.83755	2.52862	0.8983	6.36485	1.26583	8.94807	1.65858	10.8413	1.99292	13.0761	0.605988	4.32241	0.942549	6.62751	1.26352	8.92415	1.63317	10.7209	2.05434	13.4375
1.83005	2.53044	0.611771	3.95986	1.83258	2.52982	0.89934	6.26971	1.26963	8.83089	1.65969	10.749	1.99505	12.8948	0.607077	4.26006	0.950054	6.57362	1.26554	8.79506	1.63453	10.6515	2.05586	13.2476
1.8251	2.53167	0.612261	3.927	1.82763	2.53104	0.900254	6.17673	1.27359	8.71851	1.66056	10.6771	1.99732	12.7198	0.608091	4.19918	0.957677	6.52224	1.26748	8.66951	1.63556	10.6012	2.0573	13.0626
1.82016	2.53293	0.612644	3.90141	1.82269	2.53229	0.901048	6.08583	1.2777	8.61063	1.66118	10.6248	1.99972	12.5507	0.60904	4.13978	0.965402	6.47313	1.26935	8.54739	1.63622	10.5694	2.05865	12.8825
1.81524	2.53422	0.612923	3.88282	1.81776	2.53356	0.901729	5.99697	1.28195	8.50699	1.66158	10.5916	2.00225	12.3871	0.609937	4.08186	0.973211	6.42607	1.27116	8.42863	1.63719	10.5241	2.05993	12.707
1.81033	2.53553	0.613101	3.87101	1.81284	2.53486	0.902305	5.9101	1.28632	8.40732	1.66214	10.5443	2.00489	12.2289	0.610791	4.02541	0.981087	6.38086	1.27292	8.31313	1.63825	10.4754	2.06113	12.536
1.80543	2.53687	0.613357	3.85418	1.80793	2.53618	0.902781	5.82519	1.29082	8.31137	1.66274	10.4933	2.00765	12.0758	0.611613	3.97045	0.989011	6.3373	1.27465	8.20084	1.63972	10.4103	2.06228	12.3694
1.80054	2.53822	0.613634	3.83605	1.80304	2.53753	0.903166	5.74217	1.29543	8.21891	1.66356	10.4246	2.01051	11.9275	0.612411	3.91696	0.996968	6.2952	1.27635	8.09169	1.64163	10.3294	2.06337	12.2069
1.79565	2.5396	0.61401	3.8117	1.79815	2.53889	0.903465	5.66103	1.30013	8.12972	1.66456	10.3391	2.01348	11.7837	0.613194	3.86493	1.00494	6.2544	1.27805	7.98563	1.64399	10.2339	2.06441	12.0486
1.79077	2.54098	0.614486	3.78138	1.79327	2.54027	0.903686	5.58172	1.30491	8.04358	1.66576	10.2376	2.01653	11.6444	0.613969	3.81434	1.0129	6.21473	1.27976	7.88264	1.64684	10.1249	2.06541	11.8943
1.78589	2.54238	0.615064	3.74543	1.78839	2.54167	0.903835	5.50419	1.30977	7.96029	1.66714	10.121	2.01966	11.5091	0.614744	3.76518	1.02084	6.17601	1.28149	7.78268	1.6502	10.0036	2.06638	11.7439
1.78101	2.54379	0.615749	3.70425	1.78351	2.54307	0.90392	5.42843	1.31468	7.87967	1.66869	9.99043	2.02288	11.3778	0.615527	3.71744	1.02874	6.13811	1.28326	7.68573	1.65365	9.88627	2.06734	11.5972
1.77612	2.5452	0.616549	3.65828	1.77862	2.54448	0.903947	5.35439	1.31965	7.80155	1.67022	9.86335	2.02573	11.2665	0.616322	3.67108	1.03658	6.10087	1.28509	7.59177	1.65719	9.77263	2.06827	11.4542
1.77123	2.5466	0.617368	3.61366	1.77373	2.54589	0.903921	5.28205	1.32465	7.72574	1.67174	9.73961	2.02821	11.1737	0.617135	3.62609	1.04433	6.06414	1.287	7.50081	1.66081	9.66247	2.06909	11.3325
1.76632	2.548	0.618213	3.57039	1.76883	2.54729	0.903849	5.21136	1.32968	7.65208	1.67326	9.61916	2.03028	11.0984	0.617972	3.58244	1.05197	6.02777	1.28901	7.41284	1.66449	9.55562	2.06979	11.2309
1.76139	2.54937	0.619087	3.52842	1.76391	2.54867	0.903737	5.1423	1.33472	7.58043	1.67479	9.50193	2.03193	11.0398	0.618838	3.54011	1.05949	5.99164	1.29114	7.32787	1.66823	9.4519	2.07036	11.1483
1.75643	2.55072	0.619996	3.48773	1.75897	2.55004	0.90359	5.07484	1.33976	7.51064	1.67635	9.38785	2.03315	10.9972	0.619736	3.49906	1.06686	5.95559	1.29342	7.24592	1.67203	9.35114	2.07083	11.0839
1.75144	2.55203	0.620943	3.4483	1.754	2.55136	0.903413	5.00894	1.34479	7.44257	1.67793	9.27686	2.03393	10.9702	0.620672	3.45928	1.07406	5.91951	1.29587	7.16699	1.67586	9.25317	2.07117	11.037
1.74641	2.55328	0.621931	3.41009	1.74899	2.55265	0.903213	4.94457	1.3498	7.3761	1.67957	9.16891	2.03506	10.9316	0.621648	3.42072	1.08105	5.88326	1.29851	7.09111	1.67972	9.15784	2.07139	11.0073
1.74133	2.55447	0.622963	3.37308	1.74394	2.55387	0.902993	4.8817	1.35478	7.31109	1.68125	9.06394	2.0363	10.89	0.622668	3.38338	1.08783	5.84673	1.30137	7.01828	1.68361	9.065	2.07171	10.9648
1.73619	2.55558	0.624044	3.33723	1.73883	2.55503	0.902759	4.82031	1.3597	7.24744	1.683	8.96191	2.03799	10.8341	0.623734	3.34721	1.09437	5.8098	1.30447	6.94854	1.68752	8.97453	2.07206	10.919
