Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5		Asym6	
401  Points		397  Points		401  Points		388  Points		374  Points		363  Points		353  Points		396  Points		394  Points		378  Points		362  Points		173  Points		126  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
2.20422	2.41896	0.346115	888.55	2.20464	2.41896	0.692225	1232.27	1.02489	634.585	1.38446	972.208	2.20211	2.75243	0.346168	286.264	0.683253	492.489	1.03836	669.148	1.36652	604.464	1.73055	2243.36	2.04979	1114.46
2.19863	2.41895	0.346401	128.443	2.19904	2.41895	0.69238	241.319	1.02484	261.276	1.38456	371.054	2.19859	2.75598	0.346604	98.5607	0.683182	184.906	1.03851	269.104	1.36648	299.136	1.73061	562.104	2.04979	494.321
2.19306	2.41895	0.34711	69.3621	2.19347	2.41895	0.692743	133.824	1.02476	164.492	1.38476	229.31	2.19518	2.75969	0.347463	59.66	0.683047	113.801	1.0388	168.458	1.36643	198.739	1.73074	321.328	2.04978	317.595
2.18749	2.41897	0.348238	47.6274	2.1879	2.41897	0.69331	92.6398	1.02464	120.02	1.38505	165.95	2.19187	2.76355	0.348737	42.8874	0.682852	82.177	1.03922	122.638	1.36635	148.793	1.73093	224.984	2.04976	233.952
2.18195	2.41902	0.349773	36.3623	2.18236	2.41901	0.694079	70.8871	1.02449	94.4701	1.38544	130.044	2.18867	2.76755	0.350414	33.5683	0.682599	64.2935	1.03977	96.4418	1.36626	118.905	1.7312	173.103	2.04975	185.181
2.17642	2.41907	0.351703	29.4892	2.17683	2.41907	0.695045	57.4478	1.02431	77.8826	1.38591	106.929	2.18555	2.7717	0.35248	27.6537	0.682293	52.7914	1.04044	79.4916	1.36615	99.0129	1.73153	140.679	2.04973	153.236
2.17091	2.41915	0.354011	24.871	2.17132	2.41915	0.696201	48.3267	1.02411	66.2449	1.38646	90.806	2.18253	2.77599	0.354919	23.577	0.681938	44.7709	1.04124	67.6298	1.36603	84.8195	1.73192	118.497	2.04971	130.691
2.16541	2.41925	0.35668	21.563	2.16582	2.41924	0.69754	41.7351	1.02388	57.6289	1.3871	78.9211	2.17959	2.78041	0.357711	20.6042	0.681541	38.8584	1.04215	58.8666	1.36589	74.183	1.73237	102.367	2.0497	113.929
2.15994	2.41937	0.359687	19.0829	2.16034	2.41936	0.699053	36.7518	1.02364	50.9927	1.38782	69.7985	2.17673	2.78496	0.360833	18.3458	0.68111	34.3189	1.04317	52.1298	1.36575	65.9152	1.73288	90.1109	2.0497	100.978
2.15448	2.4195	0.363012	17.1587	2.15488	2.41949	0.700731	32.8545	1.02338	45.7244	1.38861	62.5764	2.17394	2.78963	0.364265	16.5757	0.680652	30.7238	1.04429	46.7906	1.36562	59.3043	1.73345	80.4835	2.0497	90.6713
2.14903	2.41966	0.366629	15.6255	2.14943	2.41965	0.702563	29.7247	1.02313	41.4406	1.38947	56.7176	2.17123	2.79442	0.36798	15.1537	0.680177	27.8062	1.04551	42.456	1.36548	53.8977	1.73407	72.7214	2.04971	82.2741
2.14361	2.41984	0.370515	14.3773	2.14401	2.41983	0.704539	27.1571	1.02287	37.8892	1.39039	51.8697	2.16858	2.79933	0.371955	13.9882	0.679695	25.3914	1.04682	38.8673	1.36535	49.3941	1.73473	66.3308	2.04974	75.3011
2.1382	2.42004	0.374643	13.3428	2.1386	2.42002	0.706647	25.0136	1.02263	34.8975	1.39137	47.7923	2.166	2.80435	0.376163	13.0169	0.679217	23.36	1.04821	35.8478	1.36524	45.5849	1.73544	60.9779	2.04979	69.4185
2.13281	2.42026	0.378988	12.4726	2.13321	2.42024	0.708873	23.1977	1.0224	32.3431	1.3924	44.3154	2.16348	2.80949	0.380579	12.1959	0.678755	21.6278	1.04967	33.2724	1.36515	42.3213	1.73618	56.4291	2.04986	64.3893
2.12744	2.42051	0.383524	11.7311	2.12784	2.42049	0.711205	21.64	1.02221	30.1371	1.39347	41.3156	2.16103	2.81473	0.385177	11.4934	0.678323	20.1337	1.0512	31.0499	1.36509	39.4943	1.73696	52.5159	2.04996	60.0406
