Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
388  Points		391  Points		388  Points		383  Points		370  Points		362  Points		155  Points		391  Points		380  Points		367  Points		338  Points		161  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
2.20474	2.49813	0.346289	167.899	2.20171	2.49789	0.692222	2049.39	1.21274	545.195	1.38452	818.425	2.02139	4434.17	0.346315	156.771	0.808512	456.218	1.03835	1150.25	1.61696	732.697	1.73059	1625.63
2.19856	2.49765	0.346913	79.3872	2.19552	2.49741	0.692402	261.761	1.21241	267.534	1.38489	346.301	2.02085	731.328	0.346967	76.8232	0.808299	198.132	1.03858	323.533	1.61644	358.075	1.73099	513.349
2.19237	2.49717	0.347979	52.1139	2.18934	2.49693	0.69286	139.899	1.21187	177.194	1.38555	219.702	2.01958	398.289	0.348061	51.0067	0.807923	126.495	1.03907	188.322	1.61559	236.832	1.73181	304.93
2.18619	2.49669	0.349479	38.8973	2.18315	2.49645	0.693594	95.5369	1.21111	132.411	1.3865	160.961	2.01769	273.472	0.349589	38.285	0.807386	92.8629	1.03981	132.884	1.61441	176.843	1.73301	216.986
2.18001	2.49621	0.351401	31.1193	2.17698	2.49597	0.694597	72.6008	1.21016	105.654	1.38773	127.066	2.01528	208.073	0.351537	30.7325	0.806695	73.324	1.0408	102.721	1.61293	141.034	1.73459	168.503
2.17383	2.49573	0.353731	26.0106	2.1708	2.49549	0.695866	58.6005	1.20901	87.8555	1.38922	105.016	2.01247	167.806	0.353892	25.7451	0.805857	60.5489	1.04203	83.7666	1.61119	117.23	1.73652	137.802
2.16765	2.49525	0.356451	22.4086	2.16462	2.49501	0.697391	49.1739	1.20769	75.1578	1.39097	89.5319	2.00936	140.512	0.356637	22.2156	0.804882	51.5402	1.0435	70.7596	1.60921	100.254	1.73876	116.625
2.16148	2.49477	0.359543	19.7397	2.15845	2.49453	0.699164	42.4005	1.20621	65.6401	1.39296	78.0659	2.00602	120.789	0.359752	19.5934	0.803779	44.8438	1.04519	61.2854	1.60702	87.5348	1.74129	101.142
2.15531	2.49429	0.362986	17.688	2.15229	2.49406	0.701176	37.3027	1.20459	58.239	1.39518	69.2369	2.00253	105.87	0.363216	17.5737	0.802562	39.6692	1.0471	54.0804	1.60465	77.6469	1.74407	89.3308
2.14915	2.49381	0.366759	16.0655	2.14612	2.49358	0.703415	33.3304	1.20284	52.3179	1.39761	62.2314	1.99892	94.1888	0.36701	15.9739	0.801241	35.5495	1.04921	48.4192	1.60214	69.7388	1.74708	80.027
