Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
386  Points		381  Points		386  Points		374  Points		366  Points		342  Points		132  Points		381  Points		379  Points		366  Points		173  Points		126  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
2.20092	2.53171	0.346114	0.12722	2.20212	2.53267	0.69223	0.115151	1.38429	-0.697708	1.40932	0.6995	2.07661	-0.0839385	0.34612	0.142264	2.20059	2.08407	1.03837	0.221772	1.7304	-0.189899	1.879	0.175718
2.19508	2.52954	0.346407	0.226563	2.19627	2.53045	0.692495	0.191634	1.38268	-0.977384	1.41093	1.0002	2.07642	-0.116125	0.346448	0.241559	2.19578	2.07996	1.03888	0.343219	1.72996	-0.251792	1.8794	0.250972
2.18925	2.52508	0.347159	0.423957	2.19044	2.52598	0.693114	0.343519	1.37978	-1.41483	1.41393	1.47829	2.07607	-0.180094	0.347235	0.438809	2.19099	2.07241	1.03996	0.579461	1.72924	-0.373166	1.88015	0.399392
2.18343	2.52048	0.348364	0.618135	2.18461	2.52145	0.694081	0.492601	1.37615	-1.65558	1.41775	1.75677	2.07558	-0.242991	0.348473	0.632698	2.18622	2.06595	1.04156	0.799992	1.72824	-0.488983	1.88124	0.542861
2.17762	2.51582	0.350012	0.807712	2.1788	2.51678	0.695387	0.637616	1.37214	-1.78201	1.42204	1.91836	2.07495	-0.30448	0.350154	0.821843	2.18146	2.06036	1.04365	1.00097	1.72698	-0.598012	1.88266	0.680021
2.17182	2.51105	0.352091	0.991455	2.173	2.51198	0.697023	0.777646	1.36793	-1.84759	1.42661	2.01778	2.07418	-0.364249	0.352266	1.00509	2.17671	2.05547	1.04618	1.18062	1.72548	-0.699247	1.88438	0.809686
2.16603	2.50611	0.354587	1.16829	2.16721	2.50714	0.698976	0.911882	1.36361	-1.87987	1.43135	2.08334	2.07327	-0.421971	0.354793	1.18137	2.17197	2.05112	1.0491	1.33896	1.72376	-0.792001	1.8864	0.931101
2.16025	2.50107	0.357483	1.3374	2.16143	2.50214	0.701231	1.03965	1.35925	-1.89287	1.43622	2.12934	2.07223	-0.477429	0.357718	1.34988	2.16724	2.04724	1.05236	1.477	1.72183	-0.875921	1.88868	1.04385
