Sym0		Asym0		Sym1		Sym2		Asym1		Asym2	
369  Points		370  Points		242  Points		153  Points		317  Points		173  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.250445	5.36709	0.0989997	3.78561	0.425516	1.66443	0.594706	4.33272	0.356291	4.88384	0.717911	0.350882
0.254482	5.24442	0.101141	3.79347	0.426844	1.82712	0.598012	4.3581	0.359534	4.89933	0.71819	0.383319
0.258424	5.11822	0.102915	3.79968	0.428296	1.99326	0.601337	4.38294	0.362306	4.91129	0.718494	0.416706
0.262269	4.98898	0.10432	3.80431	0.429876	2.16228	0.604681	4.40742	0.364603	4.92041	0.718824	0.451098
0.266015	4.85708	0.105354	3.80751	0.431586	2.33384	0.608043	4.43145	0.366422	4.92698	0.71918	0.486602
0.269659	4.72307	0.106017	3.80955	0.433427	2.50751	0.611423	4.45501	0.367762	4.9316	0.719564	0.523074
0.273201	4.58754	0.106969	3.81254	0.435401	2.68262	0.614821	4.47817	0.368619	4.93441	0.719976	0.560585
0.276639	4.45103	0.108005	3.81554	0.437509	2.85847	0.618236	4.50091	0.369853	4.93828	0.720417	0.599099
0.279973	4.31427	0.109416	3.81941	0.43975	3.03451	0.621669	4.52334	0.371195	4.94224	0.720888	0.638631
0.283203	4.17799	0.111202	3.82425	0.442126	3.21005	0.625118	4.54531	0.373022	4.94698	0.721389	0.679212
0.286329	4.04278	0.113365	3.82973	0.444634	3.38426	0.628584	4.56693	0.375336	4.95257	0.721921	0.720725
0.289354	3.90943	0.115906	3.83564	0.447275	3.55657	0.632066	4.58828	0.378136	4.9584	0.722485	0.763294
0.292277	3.77853	0.118826	3.84186	0.449682	3.70467	0.635565	4.60918	0.381425	4.9639	0.723082	0.806812
0.295103	3.65066	0.121751	3.84757	0.451811	3.82901	0.639079	4.6298	0.385204	4.96861	0.723713	0.851328
0.297832	3.52652	0.12468	3.85276	0.453624	3.93026	0.642609	4.65015	0.388985	4.97154	0.724378	0.896854
0.300468	3.4066	0.127613	3.85742	0.455091	4.00918	0.646154	4.67014	0.392767	4.97274	0.725077	0.943323
0.303015	3.29127	0.130549	3.86163	0.456188	4.06653	0.649714	4.68982	0.39655	4.97222	0.725813	0.990783
0.305475	3.18089	0.133488	3.86544	0.456898	4.10297	0.653289	4.70929	0.400332	4.96999	0.726585	1.03915
