Sym0		Asym0		Sym1		Sym2		Asym1		Asym2		Sym0		Asym0		Sym1		Sym2		Asym1		Asym2	
360  Points		362  Points		289  Points		175  Points		308  Points		175  Points		360  Points		362  Points		289  Points		175  Points		308  Points		175  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.105287	7.24583	0.0225981	2.8555	0.439998	-0.477496	0.705941	1.82264	0.364155	2.42929	0.879482	-1.14736	0.105287	7.24583	0.0225981	2.8555	0.439998	-0.477496	0.705941	1.82264	0.364155	2.42929	0.879482	-1.14736
0.109833	7.22589	0.0244214	2.94848	0.439698	-0.476788	0.707107	1.88763	0.365707	2.51191	0.878753	-1.17285	0.109833	7.22589	0.0244214	2.94848	0.439698	-0.476788	0.707107	1.88763	0.365707	2.51191	0.878753	-1.17285
0.114365	7.20471	0.0263023	3.03885	0.439399	-0.473526	0.708312	1.95102	0.367311	2.59177	0.878009	-1.19579	0.114365	7.20471	0.0263023	3.03885	0.439399	-0.473526	0.708312	1.95102	0.367311	2.59177	0.878009	-1.19579
0.118884	7.18233	0.0282391	3.1267	0.439103	-0.467544	0.709558	2.01283	0.368963	2.6688	0.877251	-1.21625	0.118884	7.18233	0.0282391	3.1267	0.439103	-0.467544	0.709558	2.01283	0.368963	2.6688	0.877251	-1.21625
0.123388	7.15865	0.0302304	3.21201	0.438811	-0.458947	0.710841	2.07301	0.370664	2.74303	0.876481	-1.23425	0.123388	7.15865	0.0302304	3.21201	0.438811	-0.458947	0.710841	2.07301	0.370664	2.74303	0.876481	-1.23425
0.127877	7.13356	0.0322743	3.29474	0.438526	-0.447511	0.712162	2.13166	0.37241	2.81445	0.8757	-1.24983	0.127877	7.13356	0.0322743	3.29474	0.438526	-0.447511	0.712162	2.13166	0.37241	2.81445	0.8757	-1.24983
0.13235	7.10707	0.0343695	3.37504	0.438249	-0.433222	0.713519	2.18868	0.374199	2.88311	0.874911	-1.26295	0.13235	7.10707	0.0343695	3.37504	0.438249	-0.433222	0.713519	2.18868	0.374199	2.88311	0.874911	-1.26295
0.136806	7.07917	0.0365144	3.45286	0.437982	-0.416051	0.714912	2.24404	0.376032	2.94904	0.874114	-1.27377	0.136806	7.07917	0.0365144	3.45286	0.437982	-0.416051	0.714912	2.24404	0.376032	2.94904	0.874114	-1.27377
0.141244	7.04977	0.0387074	3.52833	0.437726	-0.395831	0.716338	2.29795	0.377904	3.01213	0.873311	-1.28226	0.141244	7.04977	0.0387074	3.52833	0.437726	-0.395831	0.716338	2.29795	0.377904	3.01213	0.873311	-1.28226
0.145662	7.01868	0.040947	3.60147	0.437485	-0.372556	0.717798	2.35014	0.379816	3.0726	0.872503	-1.2886	0.145662	7.01868	0.040947	3.60147	0.437485	-0.372556	0.717798	2.35014	0.379816	3.0726	0.872503	-1.2886
0.150061	6.98594	0.0432319	3.67226	0.437258	-0.346211	0.719291	2.40075	0.381764	3.13042	0.871692	-1.2927	0.150061	6.98594	0.0432319	3.67226	0.437258	-0.346211	0.719291	2.40075	0.381764	3.13042	0.871692	-1.2927
0.154439	6.95152	0.0455605	3.74083	0.43705	-0.316661	0.720815	2.44983	0.383748	3.18555	0.870879	-1.2946	0.154439	6.95152	0.0455605	3.74083	0.43705	-0.316661	0.720815	2.44983	0.383748	3.18555	0.870879	-1.2946
