Sym0		Asym0		Sym1		Sym2		Asym1		Asym2		Sym0		Asym0		Sym1		Sym2		Asym1		Asym2	
360  Points		362  Points		289  Points		175  Points		308  Points		175  Points		360  Points		362  Points		289  Points		175  Points		308  Points		175  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.109833	7.37639	0.0244214	1.57071	0.439698	29.449	0.707107	47.123	0.365707	25.0585	0.878753	60.5012	0.109833	7.37639	0.0244214	1.57071	0.439698	29.449	0.707107	47.123	0.365707	25.0585	0.878753	60.5012
0.114365	7.36988	0.0263023	1.62599	0.439399	28.2408	0.708312	45.3068	0.367311	24.1298	0.878009	57.944	0.114365	7.36988	0.0263023	1.62599	0.439399	28.2408	0.708312	45.3068	0.367311	24.1298	0.878009	57.944
0.118884	7.36303	0.0282391	1.68047	0.439103	27.1266	0.709558	43.6333	0.368963	23.2778	0.877251	55.5896	0.118884	7.36303	0.0282391	1.68047	0.439103	27.1266	0.709558	43.6333	0.368963	23.2778	0.877251	55.5896
0.123388	7.35584	0.0302304	1.73414	0.438811	26.096	0.710841	42.0866	0.370664	22.4936	0.876481	53.4146	0.123388	7.35584	0.0302304	1.73414	0.438811	26.096	0.710841	42.0866	0.370664	22.4936	0.876481	53.4146
0.127877	7.34828	0.0322743	1.787	0.438526	25.1399	0.712162	40.6528	0.37241	21.7697	0.8757	51.3995	0.127877	7.34828	0.0322743	1.787	0.438526	25.1399	0.712162	40.6528	0.37241	21.7697	0.8757	51.3995
0.13235	7.34035	0.0343695	1.83905	0.438249	24.2507	0.713519	39.3204	0.374199	21.0996	0.874911	49.5271	0.13235	7.34035	0.0343695	1.83905	0.438249	24.2507	0.713519	39.3204	0.374199	21.0996	0.874911	49.5271
0.136806	7.33204	0.0365144	1.89028	0.437982	23.4218	0.714912	38.079	0.376032	20.4776	0.874114	47.7829	0.136806	7.33204	0.0365144	1.89028	0.437982	23.4218	0.714912	38.079	0.376032	20.4776	0.874114	47.7829
0.141244	7.32334	0.0387074	1.9407	0.437726	22.6474	0.716338	36.9198	0.377904	19.8989	0.873311	46.1542	0.141244	7.32334	0.0387074	1.9407	0.437726	22.6474	0.716338	36.9198	0.377904	19.8989	0.873311	46.1542
0.145662	7.31423	0.040947	1.99031	0.437485	21.9224	0.717798	35.8349	0.379816	19.3593	0.872503	44.6299	0.145662	7.31423	0.040947	1.99031	0.437485	21.9224	0.717798	35.8349	0.379816	19.3593	0.872503	44.6299
0.150061	7.3047	0.0432319	2.03911	0.437258	21.2425	0.719291	34.8175	0.381764	18.8549	0.871692	43.2003	0.150061	7.3047	0.0432319	2.03911	0.437258	21.2425	0.719291	34.8175	0.381764	18.8549	0.871692	43.2003
0.154439	7.29475	0.0455605	2.08711	0.43705	20.6036	0.720815	33.8617	0.383748	18.3826	0.870879	41.857	0.154439	7.29475	0.0455605	2.08711	0.43705	20.6036	0.720815	33.8617	0.383748	18.3826	0.870879	41.857
0.158794	7.28435	0.0479315	2.13431	0.436861	20.0023	0.722369	32.962	0.385766	17.9395	0.870065	40.5924	0.158794	7.28435	0.0479315	2.13431	0.436861	20.0023	0.722369	32.962	0.385766	17.9395	0.870065	40.5924
0.163126	7.27349	0.0503434	2.18071	0.436693	19.4357	0.723952	32.1138	0.387817	17.5229	0.869252	39.3998	0.163126	7.27349	0.0503434	2.18071	0.436693	19.4357	0.723952	32.1138	0.387817	17.5229	0.869252	39.3998
0.167434	7.26216	0.052795	2.22633	0.43655	18.9009	0.725564	31.3128	0.389897	17.1307	0.868442	38.2734	0.167434	7.26216	0.052795	2.22633	0.43655	18.9009	0.725564	31.3128	0.389897	17.1307	0.868442	38.2734
0.171716	7.25034	0.0552849	2.27117	0.436432	18.3955	0.727203	30.5552	0.392007	16.7609	0.867634	37.2078	0.171716	7.25034	0.0552849	2.27117	0.436432	18.3955	0.727203	30.5552	0.392007	16.7609	0.867634	37.2078
0.17597	7.23801	0.0578119	2.31523	0.436342	17.9173	0.728868	29.8377	0.394144	16.4115	0.866831	36.1982	0.17597	7.23801	0.0578119	2.31523	0.436342	17.9173	0.728868	29.8377	0.394144	16.4115	0.866831	36.1982
0.180196	7.22516	0.0603748	2.35854	0.436283	17.4645	0.730559	29.1572	0.396307	16.0809	0.866034	35.2405	0.180196	7.22516	0.0603748	2.35854	0.436283	17.4645	0.730559	29.1572	0.396307	16.0809	0.866034	35.2405
0.184393	7.21177	0.0629722	2.40109	0.436257	17.035	0.732275	28.5109	0.398495	15.7678	0.865243	34.3308	0.184393	7.21177	0.0629722	2.40109	0.436257	17.035	0.732275	28.5109	0.398495	15.7678	0.865243	34.3308
0.188557	7.19783	0.0656032	2.4429	0.436265	16.6275	0.734014	27.8963	0.400706	15.4708	0.864461	33.4657	0.188557	7.19783	0.0656032	2.4429	0.436265	16.6275	0.734014	27.8963	0.400706	15.4708	0.864461	33.4657
0.192689	7.1833	0.0682665	2.48397	0.436311	16.2405	0.735777	27.3113	0.402938	15.1886	0.863687	32.642	0.192689	7.1833	0.0682665	2.48397	0.436311	16.2405	0.735777	27.3113	0.402938	15.1886	0.863687	32.642
0.196786	7.16819	0.0709611	2.52432	0.436397	15.8726	0.737561	26.7537	0.405191	14.9202	0.862923	31.8568	0.196786	7.16819	0.0709611	2.52432	0.436397	15.8726	0.737561	26.7537	0.405191	14.9202	0.862923	31.8568
0.200847	7.15247	0.0736858	2.56396	0.436525	15.5226	0.739366	26.2218	0.407462	14.6647	0.862171	31.1077	0.200847	7.15247	0.0736858	2.56396	0.436525	15.5226	0.739366	26.2218	0.407462	14.6647	0.862171	31.1077
0.204871	7.13611	0.0764397	2.60289	0.436698	15.1894	0.741191	25.7136	0.409751	14.421	0.861431	30.3922	0.204871	7.13611	0.0764397	2.60289	0.436698	15.1894	0.741191	25.7136	0.409751	14.421	0.861431	30.3922
0.208854	7.11911	0.0792217	2.64113	0.436919	14.8722	0.743035	25.2279	0.412056	14.1885	0.860703	29.7081	0.208854	7.11911	0.0792217	2.64113	0.436919	14.8722	0.743035	25.2279	0.412056	14.1885	0.860703	29.7081
0.212797	7.10143	0.082031	2.67869	0.437189	14.5699	0.744898	24.763	0.414376	13.9663	0.85999	29.0536	0.212797	7.10143	0.082031	2.67869	0.437189	14.5699	0.744898	24.763	0.414376	13.9663	0.85999	29.0536
0.216696	7.08307	0.0848665	2.71558	0.437512	14.2816	0.746779	24.3177	0.416709	13.7538	0.859292	28.4268	0.216696	7.08307	0.0848665	2.71558	0.437512	14.2816	0.746779	24.3177	0.416709	13.7538	0.859292	28.4268
0.22055	7.06401	0.0877274	2.75181	0.43789	14.0068	0.748677	23.8908	0.419055	13.5502	0.85861	27.826	0.22055	7.06401	0.0877274	2.75181	0.43789	14.0068	0.748677	23.8908	0.419055	13.5502	0.85861	27.826
0.224357	7.04422	0.0906127	2.7874	0.438325	13.7446	0.75059	23.4812	0.421412	13.3552	0.857946	27.2497	0.224357	7.04422	0.0906127	2.7874	0.438325	13.7446	0.75059	23.4812	0.421412	13.3552	0.857946	27.2497
0.228115	7.02369	0.0935216	2.82234	0.438822	13.4943	0.752519	23.0879	0.423779	13.1681	0.857298	26.6965	0.228115	7.02369	0.0935216	2.82234	0.438822	13.4943	0.752519	23.0879	0.423779	13.1681	0.857298	26.6965
0.231822	7.0024	0.0964534	2.85667	0.439381	13.2555	0.754462	22.7098	0.426155	12.9884	0.85667	26.1652	0.231822	7.0024	0.0964534	2.85667	0.439381	13.2555	0.754462	22.7098	0.426155	12.9884	0.85667	26.1652
0.235476	6.98034	0.0994071	2.89038	0.440006	13.0274	0.756419	22.3462	0.428539	12.8157	0.856061	25.6544	0.235476	6.98034	0.0994071	2.89038	0.440006	13.0274	0.756419	22.3462	0.428539	12.8157	0.856061	25.6544
0.239076	6.95749	0.102382	2.92348	0.440699	12.8097	0.758389	21.9962	0.430929	12.6496	0.855473	25.1631	0.239076	6.95749	0.102382	2.92348	0.440699	12.8097	0.758389	21.9962	0.430929	12.6496	0.855473	25.1631
0.242619	6.93384	0.105378	2.956	0.441463	12.6019	0.760372	21.6591	0.433325	12.4896	0.854906	24.6902	0.242619	6.93384	0.105378	2.956	0.441463	12.6019	0.760372	21.6591	0.433325	12.4896	0.854906	24.6902
0.246103	6.90939	0.108393	2.98794	0.442301	12.4034	0.762366	21.3342	0.435725	12.3354	0.854361	24.2348	0.246103	6.90939	0.108393	2.98794	0.442301	12.4034	0.762366	21.3342	0.435725	12.3354	0.854361	24.2348
0.249527	6.88412	0.111428	3.0193	0.443214	12.2138	0.76437	21.0208	0.438128	12.1868	0.853839	23.796	0.249527	6.88412	0.111428	3.0193	0.443214	12.2138	0.76437	21.0208	0.438128	12.1868	0.853839	23.796
0.252889	6.85802	0.11448	3.05011	0.444206	12.0329	0.766386	20.7183	0.440534	12.0433	0.85334	23.3729	0.252889	6.85802	0.11448	3.05011	0.444206	12.0329	0.766386	20.7183	0.440534	12.0433	0.85334	23.3729
0.256187	6.8311	0.117551	3.08037	0.445278	11.8601	0.76841	20.4262	0.442942	11.9046	0.852867	22.9649	0.256187	6.8311	0.117551	3.08037	0.445278	11.8601	0.76841	20.4262	0.442942	11.9046	0.852867	22.9649
0.25942	6.80336	0.120639	3.1101	0.446433	11.6952	0.770444	20.1439	0.445349	11.7706	0.852418	22.571	0.25942	6.80336	0.120639	3.1101	0.446433	11.6952	0.770444	20.1439	0.445349	11.7706	0.852418	22.571
0.262587	6.77479	0.123744	3.13929	0.447672	11.5378	0.772485	19.8709	0.447756	11.641	0.851995	22.1907	0.262587	6.77479	0.123744	3.13929	0.447672	11.5378	0.772485	19.8709	0.447756	11.641	0.851995	22.1907
0.265685	6.7454	0.126864	3.16798	0.448997	11.3876	0.774535	19.6068	0.450162	11.5155	0.851599	21.8234	0.265685	6.7454	0.126864	3.16798	0.448997	11.3876	0.774535	19.6068	0.450162	11.5155	0.851599	21.8234
0.268714	6.71521	0.13	3.19615	0.45041	11.2443	0.776591	19.3512	0.452565	11.3938	0.851231	21.4683	0.268714	6.71521	0.13	3.19615	0.45041	11.2443	0.776591	19.3512	0.452565	11.3938	0.851231	21.4683
0.271673	6.68423	0.133151	3.22383	0.451913	11.1076	0.778654	19.1035	0.454964	11.2759	0.85089	21.1251	0.271673	6.68423	0.133151	3.22383	0.451913	11.1076	0.778654	19.1035	0.454964	11.2759	0.85089	21.1251
0.274561	6.65248	0.136316	3.25102	0.453506	10.9773	0.780722	18.8636	0.45736	11.1615	0.850579	20.7931	0.274561	6.65248	0.136316	3.25102	0.453506	10.9773	0.780722	18.8636	0.45736	11.1615	0.850579	20.7931
0.277378	6.61997	0.139495	3.27774	0.45519	10.853	0.782796	18.6309	0.45975	11.0505	0.850297	20.4718	0.277378	6.61997	0.139495	3.27774	0.45519	10.853	0.782796	18.6309	0.45975	11.0505	0.850297	20.4718
0.280123	6.58675	0.142688	3.30399	0.456966	10.7346	0.784874	18.4052	0.462135	10.9426	0.850045	20.1609	0.280123	6.58675	0.142688	3.30399	0.456966	10.7346	0.784874	18.4052	0.462135	10.9426	0.850045	20.1609
0.282797	6.55284	0.145893	3.32978	0.458835	10.6218	0.786956	18.1862	0.464512	10.8377	0.849824	19.8598	0.282797	6.55284	0.145893	3.32978	0.458835	10.6218	0.786956	18.1862	0.464512	10.8377	0.849824	19.8598
0.2854	6.51827	0.149111	3.35512	0.460797	10.5143	0.789042	17.9735	0.466882	10.7356	0.849635	19.5681	0.2854	6.51827	0.149111	3.35512	0.460797	10.5143	0.789042	17.9735	0.466882	10.7356	0.849635	19.5681
0.287931	6.48308	0.152341	3.38002	0.462851	10.412	0.791131	17.7668	0.469244	10.6363	0.849478	19.2855	0.287931	6.48308	0.152341	3.38002	0.462851	10.412	0.791131	17.7668	0.469244	10.6363	0.849478	19.2855
0.290393	6.44732	0.155582	3.40449	0.464998	10.3145	0.793223	17.566	0.471597	10.5396	0.849353	19.0115	0.290393	6.44732	0.155582	3.40449	0.464998	10.3145	0.793223	17.566	0.471597	10.5396	0.849353	19.0115
0.292785	6.41103	0.158835	3.42854	0.467236	10.2217	0.795316	17.3707	0.47394	10.4453	0.849262	18.7459	0.292785	6.41103	0.158835	3.42854	0.467236	10.2217	0.795316	17.3707	0.47394	10.4453	0.849262	18.7459
0.29511	6.37426	0.162099	3.45218	0.469564	10.1334	0.797411	17.1808	0.476272	10.3534	0.849205	18.4883	0.29511	6.37426	0.162099	3.45218	0.469564	10.1334	0.797411	17.1808	0.476272	10.3534	0.849205	18.4883
0.297369	6.33706	0.165372	3.47541	0.471982	10.0493	0.799507	16.9959	0.478593	10.2637	0.849182	18.2384	0.297369	6.33706	0.165372	3.47541	0.471982	10.0493	0.799507	16.9959	0.478593	10.2637	0.849182	18.2384
0.299562	6.29949	0.168656	3.49824	0.47416	9.97942	0.801603	16.8159	0.480902	10.1761	0.849195	17.9959	0.299562	6.29949	0.168656	3.49824	0.47416	9.97942	0.801603	16.8159	0.480902	10.1761	0.849195	17.9959
0.301693	6.26159	0.17195	3.52069	0.476069	9.92216	0.803699	16.6406	0.483198	10.0906	0.849243	17.7605	0.301693	6.26159	0.17195	3.52069	0.476069	9.92216	0.803699	16.6406	0.483198	10.0906	0.849243	17.7605
0.303501	6.22834	0.175253	3.54275	0.477684	9.87637	0.805795	16.4698	0.485189	10.0176	0.849327	17.5319	0.303501	6.22834	0.175253	3.54275	0.477684	9.87637	0.805795	16.4698	0.485189	10.0176	0.849327	17.5319
0.305007	6.19987	0.178564	3.56443	0.478982	9.84115	0.807891	16.3033	0.486877	9.95658	0.849447	17.31	0.305007	6.19987	0.178564	3.56443	0.478982	9.84115	0.807891	16.3033	0.486877	9.95658	0.849447	17.31
0.306228	6.17625	0.181885	3.58575	0.47995	9.81578	0.809985	16.141	0.488268	9.90684	0.849605	17.0944	0.306228	6.17625	0.181885	3.58575	0.47995	9.81578	0.809985	16.141	0.488268	9.90684	0.849605	17.0944
0.307179	6.15754	0.185214	3.60671	0.480574	9.79978	0.812077	15.9826	0.489363	9.86798	0.8498	16.8849	0.307179	6.15754	0.185214	3.60671	0.480574	9.79978	0.812077	15.9826	0.489363	9.86798	0.8498	16.8849
0.30787	6.14376	0.18855	3.62732	0.48148	9.7771	0.814167	15.8281	0.490166	9.83966	0.850034	16.6813	0.30787	6.14376	0.18855	3.62732	0.48148	9.7771	0.814167	15.8281	0.490166	9.83966	0.850034	16.6813
0.308308	6.13494	0.191895	3.64758	0.482474	9.75285	0.816255	15.6772	0.490679	9.82166	0.850305	16.4835	0.308308	6.13494	0.191895	3.64758	0.482474	9.75285	0.816255	15.6772	0.490679	9.82166	0.850305	16.4835
0.308934	6.12224	0.195247	3.66751	0.483842	9.72056	0.818341	15.5299	0.491415	9.79592	0.850616	16.2911	0.308934	6.12224	0.195247	3.66751	0.483842	9.72056	0.818341	15.5299	0.491415	9.79592	0.850616	16.2911
0.309608	6.10844	0.198606	3.6871	0.4856	9.68082	0.820423	15.386	0.492214	9.76815	0.850965	16.1041	0.309608	6.10844	0.198606	3.6871	0.4856	9.68082	0.820423	15.386	0.492214	9.76815	0.850965	16.1041
0.310514	6.08966	0.201972	3.70636	0.487764	9.63434	0.822501	15.2454	0.493296	9.73071	0.851354	15.9222	0.310514	6.08966	0.201972	3.70636	0.487764	9.63434	0.822501	15.2454	0.493296	9.73071	0.851354	15.9222
0.311643	6.0659	0.205344	3.72531	0.490355	9.58193	0.824576	15.108	0.49466	9.6839	0.851783	15.7452	0.311643	6.0659	0.205344	3.72531	0.490355	9.58193	0.824576	15.108	0.49466	9.6839	0.851783	15.7452
