Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
425  Points		527  Points		425  Points		405  Points		352  Points		253  Points		457  Points		400  Points		345  Points		216  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.279509	731.298	0.00033941	0.113512	0.27951	535.242	0.441191	2289.61	0.559017	2365.13	0.838525	15298.8	0.139763	293.742	0.419267	514.886	0.698772	1283.57	0.882385	1140.65
0.279519	212.739	0.000582843	0.148618	0.279521	192.255	0.4412	392.391	0.559026	478.596	0.838529	850	0.139831	99.347	0.419283	240.141	0.698779	473.397	0.882392	517.448
0.279538	124.483	0.000890674	0.183513	0.279542	117.179	0.44122	214.592	0.559045	266.244	0.838538	437.148	0.139965	59.8346	0.41931	156.595	0.698791	290.221	0.882406	334.628
0.279568	87.9892	0.00126206	0.218155	0.279573	84.2773	0.441251	147.685	0.559075	184.425	0.838552	294.24	0.140165	42.8523	0.419349	116.183	0.698809	209.257	0.882425	247.27
0.279608	68.0477	0.00169601	0.2525	0.279614	65.8072	0.441295	112.59	0.559117	141.079	0.838573	221.751	0.140431	33.4154	0.419399	92.3569	0.698833	163.616	0.88245	196.084
0.279657	55.4801	0.00219134	0.286503	0.279666	53.9824	0.441349	90.978	0.559169	114.237	0.838599	177.922	0.140762	27.4161	0.419461	76.6452	0.698863	134.322	0.882481	162.458
0.279718	46.8352	0.00274678	0.320129	0.279728	45.7641	0.441416	76.3317	0.559232	95.9804	0.838631	148.562	0.141157	23.2703	0.419535	65.5066	0.698899	113.928	0.882518	138.679
0.279788	40.5251	0.00336106	0.353352	0.279799	39.7212	0.441494	65.7518	0.559307	82.7594	0.838669	127.522	0.141615	20.2375	0.419619	57.1988	0.69894	98.9123	0.88256	120.974
