Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
420  Points		526  Points		420  Points		402  Points		349  Points		249  Points		451  Points		398  Points		340  Points		199  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.283965	0.340202	0.0247559	1.55266	0.283854	0.336018	0.459731	0.304477	0.563332	0.336772	0.840759	0.174841	0.155285	1.34053	0.423713	0.347048	0.701109	0.183264	0.913305	0.14138
0.284288	0.352134	0.0262156	1.58012	0.284173	0.347924	0.460019	0.315221	0.563651	0.348793	0.840925	0.181171	0.156553	1.37955	0.424043	0.359436	0.701282	0.189923	0.913439	0.146542
0.284622	0.363986	0.0277003	1.60632	0.284459	0.358252	0.460318	0.326014	0.563982	0.360823	0.841097	0.187531	0.157856	1.41693	0.424383	0.371834	0.701463	0.196577	0.913578	0.15174
0.284966	0.375825	0.0292088	1.63133	0.28471	0.367052	0.460627	0.336761	0.564323	0.372799	0.841274	0.19388	0.159193	1.45268	0.424735	0.384179	0.701649	0.203221	0.913722	0.157009
0.285322	0.387637	0.03074	1.6552	0.284923	0.374363	0.460945	0.347488	0.564676	0.384739	0.841458	0.200205	0.160563	1.48686	0.425099	0.396491	0.701841	0.209915	0.913871	0.1622
0.285689	0.399397	0.0322931	1.67796	0.285093	0.380084	0.461274	0.358176	0.56504	0.396681	0.841647	0.206557	0.161963	1.51954	0.425474	0.408811	0.70204	0.216566	0.914024	0.167383
0.286066	0.411124	0.0338667	1.69961	0.28522	0.384411	0.461613	0.368859	0.565416	0.408553	0.841843	0.212887	0.163394	1.55076	0.425861	0.421072	0.702245	0.223202	0.914183	0.172621
0.286455	0.42286	0.0354601	1.72028	0.285303	0.387055	0.461962	0.379531	0.565802	0.420358	0.842044	0.219177	0.164853	1.58061	0.426259	0.433289	0.702456	0.22981	0.914346	0.177823
0.286854	0.43454	0.0370723	1.74002	0.285422	0.390775	0.46232	0.390182	0.566199	0.432177	0.842251	0.225531	0.166339	1.60912	0.426668	0.445493	0.702673	0.236434	0.914514	0.183028
0.287264	0.446182	0.0387024	1.75883	0.285552	0.395104	0.462689	0.400863	0.566607	0.443949	0.842464	0.231866	0.167852	1.6363	0.427089	0.457668	0.702896	0.24309	0.914687	0.188238
0.287686	0.457819	0.0403497	1.77677	0.285733	0.40085	0.463067	0.41146	0.567026	0.455702	0.842683	0.238165	0.169388	1.66231	0.427521	0.469786	0.703126	0.249737	0.914865	0.193457
0.288117	0.469374	0.0420132	1.79388	0.285964	0.407978	0.463455	0.422033	0.567456	0.467416	0.842908	0.244464	0.170949	1.68718	0.427964	0.481865	0.703362	0.256365	0.915047	0.198694
0.28856	0.480913	0.0436924	1.81024	0.286249	0.416705	0.463853	0.432631	0.567897	0.47905	0.843139	0.250762	0.172532	1.71089	0.428419	0.493938	0.703604	0.262958	0.915235	0.203896
0.289014	0.492418	0.0453864	1.82581	0.286592	0.4269	0.464261	0.443208	0.568349	0.490674	0.843375	0.25706	0.174137	1.73355	0.428885	0.505999	0.703852	0.26955	0.915427	0.209099
0.289478	0.503929	0.0470946	1.84069	0.286995	0.438572	0.464679	0.453742	0.568811	0.502277	0.843618	0.263357	0.175763	1.75521	0.429362	0.517963	0.704106	0.276144	0.915625	0.214305
0.289953	0.51538	0.0488163	1.85494	0.287409	0.450231	0.465107	0.464264	0.569285	0.513836	0.843866	0.269653	0.177408	1.77589	0.42985	0.529879	0.704366	0.28274	0.915827	0.219517
0.290438	0.526781	0.0505511	1.86849	0.287834	0.46181	0.465544	0.474759	0.569769	0.52531	0.84412	0.275945	0.179072	1.79568	0.430349	0.541845	0.704633	0.289339	0.916034	0.224741
0.290934	0.538158	0.052298	1.88144	0.28827	0.473386	0.465992	0.485204	0.570264	0.536757	0.84438	0.282231	0.180754	1.81462	0.430793	0.552211	0.704905	0.295947	0.916245	0.229915
0.291441	0.549486	0.0540569	1.89388	0.288716	0.484923	0.466449	0.495693	0.570769	0.548227	0.844646	0.288504	0.182453	1.83269	0.431179	0.56094	0.705184	0.302496	0.916462	0.235136
0.291958	0.56079	0.0558271	1.90573	0.289173	0.496405	0.466915	0.506124	0.571285	0.559595	0.844918	0.294752	0.184169	1.84993	0.431502	0.568248	0.705469	0.309076	0.916684	0.240379
