Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3		Asym4	
349  Points		387  Points		350  Points		320  Points		246  Points		346  Points		314  Points		249  Points		143  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.328441	-0.645807	0.045447	1.96694	0.925685	2.00207	0.425577	1.52546	0.710477	0.186069	0.206481	1.66825	0.531505	0.0807026	0.777494	0.428422	0.889058	0.282944
0.327691	-0.627248	0.0477809	1.99326	0.923328	1.99857	0.427381	1.53537	0.7107	0.192654	0.208467	1.70107	0.531603	0.0854397	0.778005	0.439614	0.889398	0.292763
0.326963	-0.608146	0.0501451	2.01828	0.920974	1.99515	0.429196	1.54485	0.710931	0.199305	0.21049	1.73206	0.531707	0.0903729	0.77853	0.450645	0.889748	0.302658
0.326258	-0.588546	0.052538	2.04204	0.918625	1.99182	0.431022	1.55384	0.71117	0.206014	0.212549	1.76132	0.531816	0.0954787	0.779067	0.461428	0.890111	0.312634
0.325576	-0.568463	0.0549583	2.06473	0.91628	1.98854	0.432859	1.56238	0.711416	0.212842	0.214642	1.78884	0.531932	0.100783	0.779617	0.472009	0.890485	0.322699
0.324918	-0.547999	0.0574046	2.0863	0.913938	1.98542	0.434705	1.57053	0.711671	0.219686	0.216766	1.81484	0.532054	0.106264	0.78018	0.482329	0.890872	0.332867
0.324284	-0.527066	0.0598757	2.10682	0.9116	1.9824	0.43656	1.57826	0.711934	0.226635	0.21892	1.83933	0.532182	0.111954	0.780754	0.492422	0.89127	0.343097
0.323675	-0.505707	0.0623705	2.12639	0.909266	1.97943	0.438425	1.58567	0.712206	0.233648	0.221101	1.86234	0.532317	0.11784	0.78134	0.502283	0.89168	0.353449
0.323092	-0.48401	0.0648877	2.14503	0.906934	1.97665	0.440298	1.59272	0.712485	0.240717	0.223309	1.88407	0.53246	0.123972	0.781938	0.511896	0.892103	0.363899
0.322535	-0.46193	0.0674263	2.16281	0.904607	1.97395	0.442179	1.59941	0.712773	0.247897	0.225542	1.90445	0.53261	0.130304	0.782547	0.521307	0.892538	0.374399
