Sym0		Asym0		Sym1		Sym2		Asym1		Asym2	
473  Points		492  Points		473  Points		206  Points		388  Points		129  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.309344	1.79795	0.0803321	2.25627	0.298586	2.53799	0.457393	7.95685	0.422779	7.14435	0.558999	5.05439
0.310975	1.70821	0.0824337	2.25524	0.300864	2.36302	0.464833	8.0098	0.429403	7.07102	0.563732	5.10577
0.312527	1.62914	0.0845345	2.25429	0.302989	2.20757	0.472318	8.05176	0.435955	6.99153	0.568513	5.15801
0.314011	1.55941	0.0866344	2.25341	0.304977	2.06989	0.479837	8.08382	0.442431	6.90586	0.573343	5.21144
0.315433	1.49794	0.0887334	2.25253	0.306846	1.94817	0.487381	8.10684	0.448824	6.81399	0.578224	5.26636
0.316802	1.44385	0.0908317	2.25173	0.308608	1.84069	0.494943	8.12169	0.455128	6.7158	0.583156	5.32303
0.318124	1.39617	0.0929293	2.25092	0.310276	1.74587	0.502515	8.12905	0.461338	6.6114	0.588143	5.38166
0.319404	1.35413	0.095026	2.25015	0.311861	1.66231	0.510091	8.12956	0.467447	6.50089	0.593185	5.44245
0.320647	1.31721	0.0971222	2.24947	0.313373	1.58867	0.517664	8.12377	0.473451	6.38439	0.598284	5.50551
0.321858	1.28477	0.0992177	2.24877	0.314821	1.52376	0.525228	8.11212	0.479344	6.26214	0.603443	5.57092
0.323041	1.25621	0.101313	2.24812	0.316213	1.46655	0.53278	8.09504	0.48512	6.13446	0.608665	5.63867
0.324199	1.23123	0.103407	2.24754	0.317554	1.41615	0.540313	8.07282	0.490775	6.00177	0.61395	5.70869
0.325335	1.20942	0.105501	2.24696	0.318851	1.37177	0.547823	8.04582	0.496304	5.86451	0.619302	5.78084
0.326453	1.19039	0.107594	2.24638	0.32011	1.33273	0.555305	8.0143	0.501703	5.7232	0.624722	5.8549
0.327553	1.17386	0.109686	2.24583	0.321335	1.29838	0.562756	7.9785	0.506968	5.57842	0.630212	5.93057
0.32864	1.15956	0.111779	2.24533	0.32253	1.26816	0.570172	7.93862	0.512098	5.43089	0.635773	6.00744
0.329714	1.1473	0.11387	2.24487	0.323698	1.24171	0.577549	7.89482	0.517088	5.28127	0.641407	6.08515
0.330778	1.13684	0.115962	2.24441	0.324843	1.21855	0.584883	7.84728	0.521939	5.13029	0.647112	6.16323
0.331833	1.128	0.118053	2.24397	0.325969	1.19833	0.592172	7.79621	0.52605	4.99814	0.652891	6.24108
0.33288	1.12064	0.120143	2.24356	0.327076	1.18075	0.599411	7.7417	0.529471	4.88549	0.658742	6.31827
0.333921	1.11465	0.122233	2.24318	0.328169	1.16552	0.606597	7.68386	0.53224	4.79254	0.664664	6.39429
0.334957	1.10984	0.124323	2.2428	0.329248	1.15241	0.613729	7.62282	0.534392	4.71923	0.670657	6.4686
0.335989	1.10607	0.126412	2.24247	0.330316	1.1412	0.620802	7.55868	0.535954	4.66549	0.676718	6.54078
0.337018	1.10331	0.128502	2.24211	0.331375	1.13164	0.627814	7.49156	0.536944	4.6312	0.682845	6.61034
0.338045	1.10144	0.13059	2.24176	0.332425	1.12368	0.634761	7.42156	0.538354	4.58212	0.689036	6.67688
0.33907	1.10041	0.132679	2.24147	0.333468	1.11713	0.641643	7.34871	0.53987	4.52907	0.695287	6.7401
0.340095	1.1001	0.134767	2.24118	0.334506	1.11177	0.648455	7.2731	0.541903	4.45733	0.701595	6.79966
0.34112	1.10045	0.136855	2.24085	0.33554	1.10755	0.655195	7.19491	0.544428	4.36741	0.707957	6.85536
0.342146	1.10143	0.138943	2.24057	0.33657	1.10442	0.661862	7.11412	0.547413	4.26008	0.714369	6.907
