Minima		Zeros		Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
8  Points		7  Points		468  Points		491  Points		467  Points		170  Points		120  Points		362  Points		131  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
				0.28052	5.29443	0.0600634	2.2686	0.254586	6.46004	0.386806	5.57118	0.489808	5.11855	0.336397	7.42275	0.508319	4.43161
				0.28533	5.03068	0.0621765	2.26752	0.260501	6.23146	0.392082	5.754	0.494653	5.27969	0.343313	7.4219	0.512479	4.49884
				0.289894	4.76752	0.0642887	2.26643	0.266198	5.99116	0.397528	5.93566	0.499646	5.43606	0.350227	7.41711	0.516702	4.564
				0.294214	4.50802	0.0663997	2.2653	0.271665	5.74101	0.403142	6.11345	0.504783	5.58746	0.357134	7.40849	0.520984	4.62725
				0.298294	4.25497	0.0685098	2.26415	0.276895	5.4834	0.40892	6.28505	0.510058	5.73373	0.364032	7.39609	0.525324	4.68855
				0.302143	4.01085	0.0706187	2.26295	0.281883	5.22118	0.414854	6.44845	0.515467	5.87474	0.370916	7.37992	0.52972	4.74809
				0.305768	3.77763	0.0727266	2.2618	0.286624	4.95729	0.420936	6.60195	0.521005	6.01049	0.377784	7.35997	0.534172	4.8061
				0.309182	3.55678	0.0748334	2.26072	0.29112	4.69482	0.427156	6.74445	0.526667	6.141	0.384631	7.33632	0.538676	4.86256
				0.312396	3.34923	0.0769392	2.25962	0.295373	4.43688	0.433503	6.87528	0.532448	6.26631	0.390578	7.31271	0.543232	4.91769
				0.315423	3.15555	0.0790439	2.25856	0.299388	4.18611	0.439967	6.99405	0.538344	6.38649	0.395632	7.29031	0.54784	4.97164
				0.318276	2.9759	0.0811478	2.25756	0.303173	3.94481	0.446536	7.10076	0.544349	6.50166	0.399799	7.27019	0.552497	5.02452
				0.320968	2.81004	0.0832506	2.25654	0.306738	3.71489	0.453199	7.19568	0.550459	6.61197	0.403085	7.25333	0.557202	5.0766
				0.323512	2.65747	0.0853526	2.2556	0.310095	3.49765	0.459944	7.27925	0.556669	6.71753	0.405496	7.24021	0.561956	5.12788
				0.32592	2.51762	0.0874537	2.25468	0.313256	3.29399	0.466763	7.35206	0.562976	6.81856	0.407037	7.23156	0.566758	5.17858
				0.328203	2.38976	0.0895539	2.25379	0.316233	3.10424	0.473644	7.41469	0.569375	6.91515	0.409249	7.21879	0.571606	5.22887
				0.330373	2.27306	0.0916534	2.25297	0.31904	2.92839	0.480579	7.46795	0.575862	7.00747	0.411649	7.20435	0.576501	5.2789
				0.332439	2.16681	0.0937521	2.2522	0.32169	2.76624	0.48756	7.51244	0.582433	7.09573	0.414905	7.18396	0.581443	5.32887
				0.334411	2.07009	0.0958501	2.25141	0.324195	2.6173	0.494578	7.54882	0.589084	7.17996	0.419009	7.15682	0.586431	5.37886
				0.336296	1.98213	0.0979474	2.25069	0.326567	2.48087	0.501626	7.57779	0.595812	7.26032	0.42395	7.12201	0.591465	5.42895
				0.338104	1.90223	0.100044	2.24999	0.328818	2.35622	0.508698	7.59991	0.602613	7.33703	0.429716	7.07835	0.596547	5.47933
				0.339841	1.82965	0.10214	2.24936	0.330958	2.24252	0.515788	7.61581	0.609483	7.4101	0.436286	7.02454	0.601676	5.53014
				0.341513	1.76376	0.104235	2.24874	0.332996	2.13894	0.522889	7.62593	0.61642	7.47962	0.442805	6.96672	0.606852	5.58138
				0.343127	1.70396	0.10633	2.24811	0.334943	2.04478	0.529998	7.63087	0.623421	7.54572	0.449268	6.90482	0.612076	5.63316
				0.344689	1.6497	0.108425	2.24753	0.336807	1.95913	0.536194	7.63131	0.630481	7.60848	0.455672	6.83879	0.617349	5.68553
				0.346201	1.60049	0.110518	2.24703	0.338594	1.88134	0.541476	7.62885	0.637598	7.66794	0.462011	6.76867	0.62267	5.73842
				0.347671	1.55585	0.112612	2.24652	0.340312	1.81069	0.545841	7.62502	0.644769	7.7241	0.468284	6.69443	0.628041	5.79189
				0.349101	1.51534	0.114704	2.24601	0.341968	1.74655	0.549291	7.62105	0.651991	7.77701	0.474486	6.61611	0.633463	5.84596
				0.350495	1.47864	0.116797	2.24553	0.343567	1.68833	0.551826	7.61737	0.659261	7.82673	0.480613	6.53381	0.638935	5.90042
				0.351856	1.44544	0.118889	2.24507	0.345114	1.63552	0.553448	7.61469	0.666576	7.87328	0.486661	6.44751	0.644458	5.95521
				0.353188	1.41536	0.12098	2.24466	0.346614	1.58763	0.555778	7.61071	0.673932	7.91651	0.492627	6.35741	0.650032	6.01022
				0.354493	1.3881	0.123071	2.24427	0.348072	1.54416	0.55831	7.60579	0.681327	7.95647	0.498507	6.26369	0.655657	6.06531
				0.355775	1.36354	0.125162	2.24389	0.349492	1.50477	0.56175	7.59829	0.688758	7.99317	0.504299	6.1664	0.661334	6.12033
				0.357034	1.34137	0.127253	2.24352	0.350876	1.46908	0.566096	7.58781	0.696222	8.02643	0.509998	6.06583	0.667062	6.17501
				0.358274	1.32135	0.129343	2.24315	0.352229	1.43676	0.571343	7.57333	0.703714	8.05626	0.515602	5.96222	0.67284	6.22914
				0.359496	1.30335	0.131433	2.24279	0.353554	1.4075	0.577485	7.55422	0.711234	8.08252	0.521108	5.85578	0.678669	6.28254
				0.360703	1.2872	0.133522	2.24249	0.354852	1.38103	0.584512	7.52962	0.718775	8.10508	0.526513	5.74686	0.684547	6.33501
				0.361895	1.27276	0.135611	2.2422	0.356127	1.35715	0.591515	7.50223	0.726336	8.12391	0.531816	5.63578	0.690473	6.38632
				0.363074	1.25985	0.1377	2.24187	0.357381	1.33557	0.598492	7.4722	0.733913	8.13872	0.537015	5.52282	0.696447	6.43621
				0.364242	1.24833	0.139789	2.24159	0.358616	1.31614	0.605439	7.43965	0.741502	8.14943	0.542107	5.40837	0.702467	6.48442
				0.3654	1.23816	0.141877	2.24135	0.359833	1.2987	0.612355	7.40465	0.749099	8.15585	0.547093	5.29281	0.70853	6.5309
				0.36655	1.22918	0.143965	2.24108	0.361036	1.28302	0.619237	7.36738	0.7567	8.15777	0.55197	5.17647	0.714636	6.57544
				0.367691	1.22133	0.146053	2.24083	0.362224	1.26903	0.626083	7.32791	0.7643	8.15502	0.556738	5.05974	0.71999	6.61248
				0.368825	1.2145	0.148141	2.2406	0.3634	1.2565	0.632891	7.28631	0.771896	8.1474	0.561398	4.94301	0.724577	6.64276
				0.369954	1.20859	0.150228	2.24037	0.364565	1.24537	0.63966	7.24262	0.779482	8.13479	0.565949	4.82656	0.728386	6.66683
				0.371078	1.20358	0.152315	2.24015	0.365721	1.23555	0.646387	7.1969	0.787054	8.1169	0.570392	4.71073	0.731408	6.68512
				0.372197	1.19936	0.154402	2.23989	0.366868	1.22691	0.653071	7.14925	0.794607	8.09371	0.574727	4.5959	0.733634	6.69825
				0.373312	1.19588	0.156489	2.23973	0.368007	1.21933	0.659709	7.09968	0.802136	8.0652	0.578956	4.48231	0.735062	6.70646
				0.374425	1.19311	0.158576	2.23953	0.36914	1.21276	0.6663	7.04823	0.809635	8.03134	0.583079	4.37022	0.737116	6.71797
				0.375536	1.19094	0.160662	2.23933	0.370267	1.20713	0.672843	6.99501	0.817101	7.99224	0.587099	4.2599	0.739354	6.73021
				0.376644	1.18939	0.162749	2.23919	0.371389	1.2023	0.679335	6.94001	0.824528	7.94811	0.591017	4.15153	0.742403	6.74628
				0.377752	1.1884	0.164835	2.23897	0.372507	1.19831	0.685775	6.88326	0.831912	7.8994	0.594835	4.04535	0.74627	6.76565
				0.378859	1.18789	0.166921	2.23879	0.373622	1.19507	0.692161	6.82478	0.839248	7.84659	0.598555	3.94146	0.75096	6.78774
				0.379965	1.18789	0.169007	2.23866	0.374734	1.19246	0.698492	6.76463	0.846533	7.7904	0.60218	3.83997	0.756482	6.81178
				0.381072	1.18827	0.171092	2.23853	0.375844	1.19046	0.704766	6.70291	0.852837	7.73921	0.605711	3.74107	0.76284	6.83679
				0.38218	1.18909	0.173178	2.23835	0.376953	1.18906	0.710982	6.63968	0.858179	7.69435	0.609151	3.64478	0.769221	6.85911
				0.383145	1.1901	0.175263	2.23819	0.37806	1.18821	0.717138	6.57485	0.862571	7.65673	0.612502	3.55115	0.775622	6.87866
				0.383969	1.19112	0.177348	2.23807	0.379167	1.18786	0.723234	6.5086	0.86603	7.6268	0.615768	3.46031	0.782039	6.89542
				0.384651	1.19219	0.179434	2.23794	0.380273	1.18794	0.729266	6.44101	0.868564	7.60464	0.61895	3.3722	0.788471	6.90941
				0.385191	1.19307	0.181519	2.2378	0.38138	1.18845	0.735236	6.37206	0.870182	7.5905	0.622052	3.28683	0.794914	6.92065
				0.385588	1.19372	0.183603	2.23769	0.382488	1.18937	0.74114	6.30184	0.872502	7.57034	0.625075	3.20427	0.801366	6.9292
				0.385842	1.1942	0.185688	2.23756	0.383596	1.19067	0.746978	6.23044	0.875018	7.54839	0.628023	3.12442	0.807826	6.93513
				0.386208	1.19497	0.187773	2.23743	0.384707	1.19231	0.75275	6.15798	0.878427	7.5188	0.630897	3.04729	0.814289	6.93842
				0.386606	1.19578	0.189857	2.23732	0.385818	1.19423	0.758453	6.08454	0.882719	7.48195	0.633701	2.97284	0.820755	6.93911
				0.387147	1.19687	0.191942	2.2372	0.386932	1.19643	0.764088	6.01017	0.887883	7.43836	0.636437	2.90104	0.82722	6.93726
				0.387833	1.1984	0.194026	2.2371	0.388048	1.19897	0.769652	5.93494	0.893901	7.3891	0.639107	2.83182	0.833681	6.93297
				0.388663	1.20044	0.19611	2.23697	0.389166	1.20173	0.775147	5.85898	0.90076	7.33538	0.641713	2.76509	0.840138	6.92628
				0.389639	1.20297	0.198195	2.23688	0.390287	1.20473	0.78057	5.78244	0.90757	7.28504	0.644259	2.70089	0.846588	6.91719
				0.390761	1.20605	0.200279	2.23683	0.391411	1.20794	0.785922	5.70538	0.914335	7.23852	0.646746	2.63909	0.853028	6.90575
				0.391886	1.20938	0.202363	2.23669	0.392538	1.21135	0.791201	5.62786	0.921058	7.19596	0.649177	2.57963	0.859456	6.89209
				0.393014	1.21284	0.204446	2.23659	0.393668	1.21495	0.796409	5.55002	0.927744	7.1574	0.651553	2.52243	0.86587	6.87621
				0.394146	1.21651	0.20653	2.23654	0.394802	1.21874	0.801543	5.47202	0.934395	7.12274	0.653877	2.46747	0.872269	6.85813
				0.395281	1.22036	0.208614	2.23644	0.395939	1.22264	0.806605	5.39384	0.941016	7.09171	0.656151	2.41464	0.87865	6.83799
				0.39642	1.22433	0.210698	2.23635	0.39708	1.22672	0.811594	5.31568	0.94761	7.06418	0.658376	2.36388	0.885011	6.81584
				0.397562	1.22848	0.212781	2.23627	0.398225	1.23095	0.81651	5.23763	0.95418	7.03984	0.660556	2.31513	0.89135	6.79165
				0.398709	1.23275	0.214865	2.2362	0.399374	1.23527	0.821354	5.15968	0.960728	7.01833	0.66269	2.26831	0.897666	6.76546
				0.39986	1.23716	0.216948	2.23612	0.400527	1.23973	0.826125	5.08203	0.967257	6.99929	0.664782	2.2234	0.903957	6.73742
				0.401014	1.24167	0.219031	2.23601	0.401684	1.24431	0.830824	5.00472	0.97377	6.98242	0.666833	2.18029	0.910221	6.70755
				0.402173	1.24623	0.221115	2.23595	0.402845	1.24898	0.835451	4.92783	0.980268	6.96746	0.668845	2.13889	0.916456	6.67587
				0.403337	1.25093	0.223198	2.23589	0.404011	1.25369	0.840006	4.85148	0.986753	6.95397	0.670819	2.09914	0.922661	6.64246
				0.404504	1.25577	0.225281	2.23582	0.405181	1.25854	0.844491	4.7757	0.993226	6.94174	0.672757	2.06107	0.928833	6.60737
				0.405677	1.26061	0.227364	2.23575	0.406356	1.26349	0.848905	4.70056	0.999688	6.93046	0.67466	2.02457	0.934973	6.57067
				0.406853	1.26552	0.229447	2.23568	0.407536	1.26842	0.85325	4.62608	1.00614	6.92499	0.676529	1.9895	0.941077	6.53236
				0.408035	1.27057	0.23153	2.23564	0.40872	1.27344	0.857525	4.5524			0.678367	1.95593	0.947145	6.49255
				0.409221	1.27562	0.233613	2.23555	0.409909	1.27856	0.861733	4.47956			0.680174	1.92373	0.953175	6.4513
				0.410412	1.28072	0.235696	2.23551	0.411102	1.28372	0.865872	4.40751			0.681951	1.89283	0.959166	6.40866
				0.411607	1.2859	0.237779	2.23545	0.412301	1.28893	0.869946	4.3364			0.683701	1.86329	0.965117	6.36468
				0.412808	1.29112	0.239861	2.23538	0.413504	1.29414	0.873953	4.26624			0.685424	1.83496	0.971026	6.31943
				0.414013	1.29638	0.241944	2.23535	0.414712	1.29942	0.877895	4.19703			0.68712	1.80777	0.976893	6.27296
				0.415223	1.30164	0.244027	2.23526	0.415925	1.30473	0.881774	4.12884			0.688792	1.78171	0.982715	6.22538
				0.416439	1.30698	0.246109	2.23521	0.417143	1.31006	0.885589	4.06164			0.69044	1.75682	0.988493	6.17676
				0.417659	1.31232	0.248192	2.23519	0.418367	1.3154	0.889342	3.99552			0.692066	1.73295	0.994225	6.12707
				0.418884	1.31767	0.250274	2.2351	0.419595	1.32077	0.893034	3.93046			0.693669	1.71007	0.99991	6.07648
				0.420114	1.32305	0.252356	2.23506	0.420828	1.32621	0.896666	3.86647			0.695252	1.68815	1.00555	6.051
				0.421349	1.32845	0.254439	2.23504	0.422066	1.33157	0.900239	3.8036			0.696815	1.6672		
				0.42259	1.33386	0.256521	2.23496	0.423309	1.33699	0.903754	3.74177			0.698359	1.64712		
				0.423835	1.33928	0.258603	2.23492	0.424557	1.34245	0.907211	3.68108			0.699884	1.62789		
				0.425085	1.34473	0.260686	2.23489	0.42581	1.34785	0.910613	3.62152			0.701392	1.60949		
				0.426341	1.35017	0.262768	2.23485	0.427069	1.3533	0.913959	3.56306			0.702883	1.5919		
				0.427601	1.3556	0.26485	2.23479	0.428332	1.35873	0.917252	3.5057			0.704359	1.57505		
				0.428867	1.36102	0.266932	2.23476	0.429601	1.36416	0.920492	3.44949			0.705818	1.55894		
				0.430137	1.36644	0.269014	2.23471	0.430874	1.36962	0.92368	3.39435			0.707264	1.54356		
				0.431413	1.3719	0.271096	2.23464	0.432153	1.37502	0.926817	3.34031			0.708695	1.52883		
				0.432694	1.3773	0.273178	2.23465	0.433436	1.38043	0.929904	3.2874			0.710112	1.51473		
				0.433979	1.38271	0.27526	2.23461	0.434725	1.38589	0.932943	3.23556			0.711517	1.50128		
				0.43527	1.38817	0.277342	2.23452	0.436019	1.39125	0.935933	3.18481			0.71291	1.48843		
				0.436566	1.39353	0.279424	2.23452	0.437317	1.39664	0.938877	3.13516			0.714291	1.47615		
				0.437867	1.39892	0.281506	2.23451	0.438621	1.40205	0.941775	3.08657			0.71566	1.4644		
				0.439173	1.40429	0.283588	2.23444	0.43993	1.40739	0.944629	3.03898			0.717019	1.45319		
				0.440484	1.40961	0.28567	2.2344	0.441244	1.41273	0.947438	2.99244			0.718368	1.44252		
				0.441799	1.41498	0.287752	2.23438	0.442562	1.41804	0.950205	2.94698			0.719707	1.43228		
				0.44312	1.4203	0.289833	2.23433	0.443886	1.42333	0.95293	2.90254			0.721037	1.42255		
				0.444446	1.4256	0.291915	2.23431	0.445215	1.42865	0.955613	2.85904			0.722358	1.41333		
				0.445777	1.43085	0.293997	2.23426	0.446548	1.43391	0.958257	2.81656			0.723671	1.40447		
				0.447112	1.43611	0.296078	2.23424	0.447887	1.43914	0.960862	2.77507			0.724975	1.39601		
				0.448453	1.44138	0.29816	2.23423	0.44923	1.44439	0.963428	2.73455			0.726272	1.38801		
				0.449798	1.44658	0.300241	2.23418	0.450578	1.44958	0.965957	2.69495			0.727562	1.38038		
				0.451148	1.45177	0.302323	2.23416	0.451931	1.45477	0.96845	2.65626			0.728844	1.37312		
				0.452503	1.45694	0.304405	2.23412	0.453289	1.45993	0.970907	2.61853			0.73012	1.36624		
				0.453863	1.46208	0.306486	2.23409	0.454651	1.46504	0.973329	2.58168			0.73139	1.35968		
				0.455228	1.46722	0.308568	2.23408	0.456019	1.47012	0.975718	2.54572			0.732654	1.35347		
				0.456597	1.47228	0.310649	2.23404	0.457391	1.47522	0.978073	2.5106			0.733912	1.34755		
				0.457971	1.47733	0.31273	2.23402	0.458768	1.48027	0.980396	2.47637			0.735165	1.34195		
				0.45935	1.48239	0.314812	2.23401	0.460149	1.48528	0.982687	2.44296			0.736413	1.33666		
				0.460733	1.4874	0.316893	2.23396	0.461535	1.49027	0.984948	2.41037			0.737656	1.33167		
				0.462122	1.49237	0.318975	2.23391	0.462926	1.49523	0.987179	2.37858			0.738894	1.32694		
				0.463514	1.4973	0.321056	2.23388	0.464322	1.50019	0.98938	2.34756			0.740128	1.32242		
