Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
451  Points		491  Points		158  Points		129  Points		109  Points		282  Points		139  Points		111  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.26122	6.45772	0.0545171	2.27195	0.357114	4.45155	0.585471	2.67372	0.627017	3.49229	0.271267	6.59413	0.490508	3.82447	0.743726	2.52896
0.267184	6.3424	0.0566338	2.27181	0.358601	4.48303	0.588013	2.78343	0.630305	3.56719	0.27743	6.63328	0.494105	3.89535	0.746109	2.58784
0.273038	6.22198	0.0587503	2.27149	0.360639	4.5257	0.590657	2.89366	0.633664	3.64198	0.283628	6.66835	0.497767	3.96445	0.748548	2.64598
0.278778	6.09673	0.0608665	2.27096	0.363245	4.57958	0.593405	3.00416	0.637092	3.71678	0.289856	6.69965	0.501492	4.03176	0.75104	2.70344
0.284399	5.96694	0.062982	2.27025	0.366437	4.6446	0.596255	3.1148	0.640589	3.79154	0.296112	6.72732	0.505279	4.09732	0.753585	2.76021
0.289897	5.83302	0.0650968	2.26946	0.370239	4.72082	0.599209	3.22534	0.644157	3.86633	0.302391	6.75155	0.509127	4.16119	0.756183	2.81625
0.295268	5.69542	0.0672109	2.26855	0.374678	4.80837	0.602265	3.33553	0.647794	3.94129	0.308692	6.77264	0.513033	4.22338	0.758833	2.87165
0.30051	5.55462	0.069324	2.26759	0.379199	4.89616	0.605424	3.44516	0.651501	4.01636	0.315012	6.79065	0.516997	4.28397	0.761534	2.92635
0.305619	5.4113	0.0714363	2.26663	0.383801	4.98425	0.608685	3.55397	0.655278	4.09164	0.321346	6.80577	0.520496	4.33558	0.764286	2.98029
0.310593	5.26609	0.0735477	2.2656	0.388486	5.07272	0.612047	3.66173	0.659125	4.16728	0.327693	6.81817	0.523512	4.37861	0.767088	3.03354
0.315431	5.1196	0.075658	2.26453	0.393254	5.16145	0.615508	3.76812	0.663043	4.24327	0.334051	6.82788	0.526028	4.41361	0.769939	3.08613
0.320133	4.97258	0.0777674	2.26352	0.398104	5.25031	0.619068	3.87287	0.667032	4.31965	0.340416	6.83512	0.528032	4.44088	0.772838	3.13799
0.324697	4.82576	0.0798758	2.26251	0.403037	5.33924	0.622725	3.97581	0.671092	4.39653	0.346787	6.83991	0.529513	4.46064	0.775786	3.18911
0.329125	4.67977	0.0819833	2.26152	0.408053	5.42787	0.626477	4.07657	0.675225	4.47398	0.353162	6.84231	0.530464	4.47327	0.778781	3.23959
0.333417	4.53522	0.0840899	2.26056	0.413151	5.51594	0.630321	4.1749	0.679429	4.55206	0.359537	6.84244	0.531836	4.49126	0.781823	3.28935
0.337576	4.39277	0.0861956	2.25956	0.418332	5.60312	0.634256	4.27062	0.683707	4.63086	0.365912	6.84039	0.533334	4.51061	0.78491	3.33839
0.341603	4.25295	0.0883004	2.25862	0.423592	5.68893	0.638279	4.36342	0.688058	4.71038	0.372284	6.83617	0.535381	4.53663	0.788043	3.38675
0.345501	4.11621	0.0904043	2.25775	0.428932	5.77304	0.642387	4.45314	0.692484	4.79069	0.37865	6.82985	0.537987	4.56904	0.791221	3.4344
0.349273	3.98298	0.0925074	2.25687	0.43435	5.85501	0.646033	4.52871	0.696985	4.87191	0.38501	6.82149	0.541163	4.60771	0.794443	3.48144
0.352923	3.8535	0.0946097	2.256	0.439842	5.93448	0.64919	4.59107	0.701562	4.95402	0.391361	6.81112	0.544922	4.65211	0.797708	3.52776
0.356454	3.72812	0.0967112	2.25519	0.445408	6.01102	0.651832	4.64105	0.706217	5.037	0.397702	6.79873	0.54928	4.70197	0.801017	3.57337
0.35987	3.60708	0.098812	2.25446	0.451043	6.08437	0.653941	4.67962	0.710948	5.12094	0.40403	6.7844	0.553683	4.7507	0.804367	3.61838
