Minima		Zeros		Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
8  Points		7  Points		459  Points		490  Points		459  Points		136  Points		108  Points		318  Points		117  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.423083	5.47464	0.423067	5.46423	0.000726261	9.63126	0.000635241	0.705644	0.000141279	9.63136	0.27961	0.367521	0.458662	0.0454619	0.139966	0.849831	0.419283	0.181573
0.0273907	79.3387	0.0270884	65.4029	0.00969966	9.63002	0.00129269	0.819292	0.00911477	9.63019	0.279952	0.496851	0.458704	0.0811867	0.140758	1.15864	0.419452	0.273633
0.184359	73.5693	0.187229	59.7088	0.0186707	9.62642	0.0021619	1.03689	0.0180861	9.62671	0.280536	0.754324	0.458813	0.152912	0.142125	1.76587	0.419793	0.457454
0.555708	11.774	0.556955	11.783	0.0276374	9.62055	0.00322483	1.23392	0.0270531	9.62097	0.281358	1.00904	0.458989	0.225318	0.144048	2.34914	0.420305	0.640599
0.887269	13.388	0.887493	13.3967	0.0365976	9.61233	0.00446117	1.40882	0.0360137	9.61295	0.282416	1.26022	0.459233	0.298718	0.146502	2.90265	0.420987	0.822832
0.406505	10.8533	0.408471	10.8653	0.045549	9.60167	0.00585001	1.56153	0.0449658	9.60248	0.283706	1.50704	0.459546	0.373522	0.149457	3.42217	0.421838	1.0039
0.744698	12.7053	0.745336	11.8011	0.0544892	9.58856	0.00737091	1.69286	0.0539069	9.58951	0.285224	1.74865	0.459929	0.450035	0.152879	3.90539	0.422857	1.18351
0.771223	12.7716			0.0634162	9.57288	0.00900446	1.80419	0.0628348	9.57398	0.286964	1.98431	0.460385	0.528572	0.156734	4.35145	0.424043	1.36147
				0.0723273	9.55449	0.0107328	1.89744	0.0717469	9.55574	0.288921	2.21349	0.460914	0.609474	0.160988	4.76059	0.425394	1.53757
				0.0812199	9.53323	0.0125401	1.97481	0.0806408	9.5347	0.291089	2.43558	0.46152	0.693056	0.165605	5.13409	0.426908	1.71149
				0.0900914	9.50895	0.0144127	2.03836	0.0895138	9.51065	0.29346	2.65007	0.462206	0.779727	0.170554	5.47378	0.428583	1.88305
				0.0989388	9.48148	0.0163384	2.09002	0.0983629	9.48334	0.296027	2.85654	0.462973	0.869792	0.175805	5.78182	0.430417	2.05214
				0.107759	9.45056	0.0183072	2.13175	0.107185	9.45269	0.298783	3.05465	0.463826	0.96357	0.181328	6.06049	0.432407	2.21858
				0.116549	9.41597	0.0203107	2.16533	0.115977	9.41832	0.301719	3.24426	0.464769	1.06148	0.187098	6.31225	0.434551	2.38211
				0.125305	9.37733	0.0220793	2.18897	0.124735	9.37998	0.304828	3.42522	0.465804	1.16384	0.19309	6.5395	0.436846	2.54261
				0.134022	9.3344	0.0236006	2.20556	0.133455	9.33737	0.308102	3.59743	0.466937	1.27092	0.199284	6.74432	0.439289	2.70001
				0.142698	9.28677	0.0248665	2.21714	0.142134	9.29001	0.311532	3.76103	0.468173	1.38313	0.205658	6.92888	0.441877	2.8541
				0.151327	9.234	0.0258717	2.22519	0.150766	9.23761	0.31511	3.91618	0.469515	1.50078	0.212195	7.09506	0.444607	3.00481
				0.159905	9.17563	0.0266131	2.23042	0.159347	9.17978	0.318829	4.06315	0.470969	1.62415	0.218879	7.2446	0.447476	3.15205
				0.168425	9.11111	0.0270884	2.23348	0.166779	9.1245	0.322681	4.20241	0.472541	1.75355	0.225694	7.3791	0.450481	3.29574
				0.176882	9.03986	0.0277728	2.23763	0.173077	9.07346	0.32666	4.3345	0.474237	1.88925	0.232629	7.49986	0.453618	3.43582
				0.18527	8.96122	0.0285181	2.24166	0.178258	9.02839	0.330758	4.46012	0.476062	2.03136	0.23967	7.60823	0.456883	3.57227
				0.193581	8.87447	0.0295337	2.2465	0.182335	8.9908	0.334971	4.58003	0.478022	2.18009	0.246806	7.70536	0.460274	3.705
				0.201807	8.77884	0.030821	2.25178	0.185322	8.96196	0.339292	4.69527	0.480124	2.3356	0.254028	7.79218	0.463787	3.83402
				0.209939	8.67348	0.0323816	2.25706	0.187229	8.94286	0.34372	4.80688	0.482374	2.4978	0.261326	7.86958	0.467418	3.95932
				0.217969	8.55755	0.0342163	2.26184	0.189962	8.91461	0.348249	4.91612	0.484778	2.66663	0.268692	7.93838	0.471165	4.08088
				0.225885	8.43019	0.0363258	2.26584	0.192923	8.88291	0.35288	5.02438	0.487343	2.84199	0.276118	7.99924	0.475023	4.19876
				0.233677	8.29047	0.0384385	2.26857	0.196933	8.83785	0.357612	5.13302	0.490074	3.0236	0.283597	8.05277	0.478989	4.31294
				0.241333	8.13752	0.0405531	2.27034	0.201974	8.77768	0.362445	5.24351	0.492977	3.21103	0.291123	8.09955	0.483059	4.42344
				0.248841	7.97063	0.042669	2.2713	0.208024	8.69994	0.367383	5.35727	0.496057	3.40381	0.29869	8.14	0.487231	4.53033
				0.256186	7.78926	0.0447854	2.27163	0.215049	8.60142	0.372428	5.47557	0.49932	3.60136	0.306291	8.17454	0.491501	4.63366
				0.263355	7.593	0.0469019	2.27151	0.223008	8.4781	0.377586	5.59952	0.502768	3.80295	0.313922	8.20356	0.495866	4.73347
				0.270335	7.38184	0.0490181	2.27097	0.230847	8.34295	0.382862	5.72996	0.506406	4.00779	0.321578	8.22733	0.500321	4.8299
				0.27711	7.1561	0.0511336	2.27022	0.238554	8.19491	0.388263	5.86719	0.510236	4.21496	0.329253	8.24614	0.504866	4.92298
				0.283669	6.91657	0.0532484	2.2693	0.246117	8.03326	0.393795	6.01121	0.51426	4.42355	0.336944	8.26027	0.509495	5.01277
				0.289999	6.66458	0.0553622	2.26825	0.253523	7.85722	0.399464	6.16148	0.518479	4.63258	0.344645	8.26984	0.514206	5.0994
				0.296088	6.40199	0.0574751	2.26711	0.260758	7.6664	0.405276	6.31686	0.522893	4.84111	0.352354	8.27506	0.518997	5.18294
				0.301928	6.13104	0.0595867	2.26588	0.267809	7.46066	0.411235	6.47587	0.5275	5.04817	0.360065	8.27606	0.523864	5.26352
				0.307512	5.85435	0.0616973	2.26464	0.27466	7.24016	0.417343	6.63662	0.532299	5.25274	0.367775	8.27293	0.528805	5.34125
				0.312837	5.57496	0.0638066	2.26339	0.2813	7.00558	0.423601	6.79707	0.537288	5.45411	0.375481	8.2658	0.533817	5.41622
