Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym3	
460  Points		492  Points		460  Points		145  Points		113  Points		104  Points		326  Points		123  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.285256	8.46802	0.0523519	1.82206	0.252949	8.7257	0.391205	11.6085	0.522547	15.2405	0.633152	18.7813	0.333913	9.94152	0.508648	15.1466
0.291039	8.40716	0.0544673	1.83614	0.25974	8.68095	0.396637	11.453	0.526934	14.9619	0.636989	18.387	0.339356	9.89956	0.513112	14.867
0.296595	8.34312	0.0565818	1.84934	0.266352	8.63314	0.402204	11.3095	0.531493	14.7024	0.640903	18.0154	0.343859	9.8662	0.517649	14.6042
0.30192	8.276	0.0586954	1.86173	0.272776	8.58216	0.407909	11.1771	0.536224	14.4605	0.644891	17.6649	0.34742	9.84061	0.522255	14.3568
0.30701	8.20595	0.060808	1.87338	0.278998	8.52795	0.413754	11.055	0.541123	14.235	0.648951	17.3337	0.35004	9.82223	0.526929	14.1236
0.311864	8.13317	0.0629195	1.88434	0.28501	8.47048	0.419738	10.9425	0.546187	14.0245	0.653084	17.0205	0.351716	9.81064	0.531669	13.9034
0.316486	8.0579	0.0650298	1.89467	0.290802	8.40977	0.425859	10.8388	0.551413	13.8279	0.657287	16.724	0.354126	9.79423	0.536472	13.6953
0.320878	7.98041	0.0671391	1.90443	0.296368	8.34586	0.432113	10.7432	0.556796	13.6441	0.661558	16.4429	0.356745	9.77669	0.541336	13.4985
0.325046	7.901	0.0692472	1.91366	0.301702	8.27886	0.438495	10.6551	0.562332	13.4722	0.665897	16.1761	0.360306	9.75334	0.54626	13.312
0.328998	7.81997	0.0713543	1.92239	0.306802	8.20892	0.444999	10.5738	0.568016	13.3112	0.670303	15.9228	0.364809	9.72457	0.551242	13.1351
0.332743	7.73763	0.0734603	1.93067	0.311666	8.13625	0.451617	10.4986	0.573844	13.1604	0.674773	15.6819	0.370252	9.69085	0.556279	12.9673
0.336291	7.6543	0.0755653	1.93852	0.316297	8.06108	0.458341	10.429	0.579809	13.019	0.679308	15.4527	0.37663	9.65266	0.561372	12.8078
0.339652	7.57026	0.0776693	1.94598	0.320699	7.98368	0.465163	10.3645	0.585906	12.8864	0.683905	15.2344	0.383938	9.61047	0.566517	12.6562
0.342837	7.48581	0.0797723	1.95308	0.324876	7.90435	0.472074	10.3046	0.592131	12.7618	0.688563	15.0263	0.391231	9.56984	0.571715	12.5119
0.345858	7.40119	0.0818744	1.95984	0.328837	7.82338	0.478161	10.2557	0.598478	12.6447	0.693283	14.8278	0.398505	9.53059	0.576963	12.3744
0.348725	7.31666	0.0839756	1.96629	0.332591	7.74109	0.483394	10.2163	0.604941	12.5345	0.698062	14.6383	0.405759	9.49254	0.582261	12.2434
0.351448	7.23243	0.086076	1.97244	0.336147	7.65779	0.48775	10.1851	0.611515	12.4307	0.7029	14.4573	0.412987	9.45554	0.587608	12.1184
0.354039	7.14868	0.0881756	1.97831	0.339515	7.57378	0.49121	10.1614	0.618194	12.3329	0.707797	14.2843	0.420187	9.41946	0.593003	11.9991
0.356507	7.06559	0.0902744	1.98393	0.342708	7.48933	0.493763	10.1444	0.624974	12.2406	0.712751	14.1188	0.427356	9.38417	0.598446	11.8852
0.358862	6.98331	0.0923725	1.98931	0.345735	7.40472	0.4954	10.1337	0.631849	12.1535	0.717761	13.9604	0.43449	9.34954	0.603935	11.7763
0.361111	6.90194	0.0944698	1.99446	0.348608	7.32019	0.497759	10.1185	0.638814	12.0712	0.722829	13.8087	0.441585	9.31546	0.609472	11.6722
0.363264	6.82161	0.0965666	1.9994	0.351337	7.23594	0.500329	10.1024	0.645863	11.9932	0.727952	13.6634	0.448639	9.28184	0.615055	11.5726
0.365327	6.7424	0.0986627	2.00414	0.353934	7.15217	0.503833	10.0811	0.652993	11.9194	0.733132	13.5241	0.455649	9.24858	0.620683	11.4774
0.367309	6.66437	0.100758	2.00869	0.356407	7.06905	0.508281	10.0549	0.660197	11.8494	0.738367	13.3906	0.462609	9.21559	0.626358	11.3861
0.369215	6.5876	0.102853	2.01306	0.358766	6.98672	0.513679	10.0245	0.667471	11.7829	0.743657	13.2624	0.469518	9.18278	0.632079	11.2988
0.371052	6.51212	0.104948	2.01727	0.361019	6.90532	0.520036	9.99024	0.67481	11.7197	0.749004	13.1395	0.476371	9.15009	0.637846	11.2151
0.372825	6.43796	0.107041	2.02132	0.363176	6.82494	0.527357	9.95276	0.682209	11.6595	0.754407	13.0214	0.483166	9.11743	0.643659	11.1349
0.374539	6.36516	0.109135	2.02522	0.365243	6.74568	0.534703	9.91701	0.689663	11.6022	0.759867	12.9081	0.489898	9.08475	0.649518	11.058
0.376199	6.29372	0.111228	2.02898	0.367228	6.66761	0.542067	9.88281	0.697168	11.5474	0.765385	12.7992	0.496565	9.05198	0.655424	10.9843
0.37781	6.22366	0.11332	2.0326	0.369137	6.59078	0.549444	9.84999	0.704718	11.4951	0.770961	12.6947	0.503162	9.01906	0.661375	10.9136
0.379375	6.15498	0.115413	2.0361	0.370976	6.51524	0.556829	9.8184	0.712308	11.445	0.776597	12.5943	0.509686	8.98594	0.667373	10.8459
0.380899	6.08767	0.117504	2.03948	0.372752	6.44103	0.564219	9.78791	0.719933	11.3969	0.782294	12.4978	0.516134	8.95257	0.673417	10.7808
0.382384	6.02174	0.119596	2.04275	0.374468	6.36817	0.57161	9.75839	0.727588	11.3506	0.788054	12.4052	0.522503	8.9189	0.678721	10.7263
0.383834	5.95717	0.121687	2.0459	0.376131	6.29667	0.578997	9.72975	0.735267	11.3061	0.793879	12.3163	0.52879	8.88491	0.683271	10.6814
0.385251	5.89394	0.123777	2.04896	0.377744	6.22655	0.586378	9.70188	0.742965	11.2631	0.799771	12.2309	0.534991	8.85055	0.687052	10.6453
0.386639	5.83204	0.125867	2.05191	0.379311	6.15782	0.593749	9.67469	0.750677	11.2215	0.805732	12.1489	0.541104	8.8158	0.690053	10.6173
0.387999	5.77146	0.127958	2.05477	0.380836	6.09046	0.601107	9.64812	0.758395	11.1812	0.811767	12.0704	0.547126	8.78062	0.692267	10.5971
0.389335	5.71216	0.130047	2.05755	0.382323	6.02447	0.60845	9.62209	0.766114	11.1419	0.817878	11.9951	0.553054	8.745	0.693687	10.5844
0.390648	5.65413	0.132137	2.06024	0.383774	5.95984	0.615775	9.59653	0.773828	11.1037	0.824068	11.9229	0.558886	8.70891	0.695733	10.5662
0.39194	5.59735	0.134226	2.06284	0.385193	5.89655	0.62308	9.5714	0.78153	11.0662	0.830342	11.8539	0.56462	8.67236	0.697961	10.5468
0.393213	5.54179	0.136315	2.06537	0.386582	5.8346	0.630362	9.54662	0.789215	11.0295	0.836704	11.7879	0.570254	8.63533	0.701001	10.5208
0.394468	5.48743	0.138403	2.06783	0.387943	5.77396	0.637619	9.52217	0.796875	10.9935	0.843157	11.7249	0.575787	8.59781	0.704861	10.4886
0.395708	5.43424	0.140492	2.07021	0.38928	5.71461	0.644849	9.49799	0.803525	10.9624	0.849706	11.6649	0.581218	8.55981	0.70955	10.4507
0.396933	5.3822	0.14258	2.07253	0.390594	5.65653	0.65205	9.47404	0.809172	10.9362	0.856356	11.6077	0.586544	8.52133	0.715081	10.4077
0.398144	5.33128	0.144668	2.07478	0.391886	5.5997	0.65922	9.45029	0.813825	10.9147	0.86311	11.5534	0.591766	8.48238	0.721467	10.3602
0.399344	5.28146	0.146756	2.07697	0.39316	5.54409	0.666357	9.42669	0.817493	10.8977	0.869971	11.5018	0.596883	8.44298	0.727894	10.3145
0.400533	5.2327	0.148843	2.0791	0.394416	5.48967	0.673459	9.40323	0.820183	10.8853	0.876944	11.4529	0.601895	8.40313	0.734361	10.2705
0.401713	5.185	0.150931	2.08117	0.395656	5.43644	0.680525	9.37987	0.821901	10.8773	0.884029	11.4066	0.606802	8.36285	0.740866	10.2282
0.402883	5.13832	0.153018	2.08319	0.396882	5.38435	0.687553	9.35658	0.824367	10.866	0.891229	11.3629	0.611604	8.32217	0.747407	10.1875
0.404046	5.09263	0.155105	2.08516	0.398094	5.33338	0.694541	9.33334	0.827041	10.8536	0.898544	11.3217	0.616302	8.28111	0.753983	10.1483
0.405202	5.04792	0.157192	2.08707	0.399294	5.28351	0.701487	9.31012	0.830667	10.8368	0.905972	11.2828	0.620896	8.23969	0.760592	10.1104
0.406351	5.00416	0.159278	2.08893	0.400484	5.23472	0.70839	9.2869	0.835235	10.8157	0.913514	11.2462	0.625388	8.19793	0.767232	10.0739
