Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
480  Points		498  Points		263  Points		194  Points		175  Points		130  Points		390  Points		213  Points		173  Points		127  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.140795	5.14042	0.0387694	2.16535	0.30124	1.54671	0.437628	1.2992	0.575107	1.17049	0.847944	0.709242	0.18447	3.45934	0.438189	1.37805	0.709205	0.78049	0.849384	0.59602
0.145575	5.11895	0.0407937	2.17918	0.302701	1.59116	0.438862	1.35065	0.576215	1.20785	0.848616	0.733551	0.186463	3.50276	0.439493	1.42074	0.709944	0.806743	0.849949	0.618085
0.150334	5.09614	0.04283	2.19145	0.304204	1.63531	0.440144	1.40259	0.577357	1.24491	0.849311	0.757777	0.188905	3.55311	0.440837	1.46292	0.710708	0.832881	0.850535	0.640243
0.155071	5.07184	0.0446134	2.201	0.305749	1.67923	0.441476	1.45503	0.578534	1.28175	0.850028	0.781987	0.191813	3.60927	0.442219	1.50464	0.711496	0.858935	0.851142	0.662513
0.159785	5.04593	0.0461394	2.20827	0.307334	1.72296	0.442856	1.50784	0.579746	1.31829	0.850768	0.80609	0.195205	3.67021	0.44364	1.54589	0.712309	0.884824	0.85177	0.684934
0.164474	5.01844	0.0474049	2.21381	0.308959	1.76672	0.444285	1.5611	0.580991	1.35454	0.85153	0.830053	0.198652	3.72752	0.4451	1.58665	0.713145	0.910601	0.852419	0.707437
0.169136	4.98923	0.0484077	2.21796	0.310626	1.81056	0.445765	1.61474	0.58227	1.39049	0.852315	0.853957	0.202151	3.7814	0.446597	1.62686	0.714006	0.936299	0.853088	0.730031
0.173771	4.95814	0.0491462	2.22077	0.312111	1.84894	0.447294	1.6687	0.583582	1.42613	0.853122	0.877813	0.205698	3.83204	0.448131	1.66657	0.71489	0.961842	0.853779	0.752734
0.178375	4.92511	0.0496193	2.22251	0.313402	1.88181	0.448874	1.723	0.584927	1.46153	0.853951	0.901576	0.209291	3.87959	0.449702	1.70576	0.715798	0.98722	0.854491	0.775581
0.182948	4.89002	0.0503001	2.22492	0.314487	1.90921	0.450505	1.77763	0.586305	1.49659	0.854802	0.925224	0.212927	3.92431	0.45131	1.74445	0.716729	1.01249	0.855224	0.798569
0.187487	4.85274	0.0510408	2.22738	0.315356	1.93114	0.452187	1.83246	0.587716	1.53133	0.855675	0.94879	0.216604	3.9663	0.452953	1.78265	0.717685	1.03761	0.855979	0.821621
