Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
261  Points		395  Points		261  Points		217  Points		133  Points		327  Points		223  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.430039	-0.489158	0.0647681	3.1798	0.430039	-0.489194	0.547376	2.71695	0.92125	0.548309	0.282888	3.29468	0.691573	0.467902
0.429682	-0.449334	0.067197	3.20521	0.429682	-0.449376	0.54945	2.73629	0.921672	0.562197	0.28411	3.31497	0.691934	0.481212
0.429355	-0.408708	0.0696446	3.22936	0.429356	-0.40876	0.551539	2.75522	0.922105	0.57616	0.285665	3.33998	0.692305	0.494645
0.42906	-0.367283	0.0721103	3.2523	0.42906	-0.367357	0.553642	2.77372	0.922549	0.590092	0.287561	3.36941	0.692687	0.508146
0.428796	-0.325069	0.0745928	3.27412	0.428797	-0.325187	0.555759	2.7918	0.923003	0.604052	0.289805	3.40264	0.693079	0.521782
0.428565	-0.282085	0.0770917	3.2949	0.428566	-0.2822	0.55789	2.80955	0.923468	0.618067	0.292408	3.43929	0.693481	0.535599
0.428367	-0.238276	0.0796059	3.31457	0.428367	-0.238386	0.560034	2.82695	0.923943	0.632104	0.295038	3.47443	0.693893	0.549508
0.428203	-0.193627	0.0821346	3.33336	0.428203	-0.193726	0.562191	2.84397	0.92443	0.646185	0.297694	3.50806	0.694317	0.563512
0.428073	-0.148102	0.0846774	3.35121	0.428073	-0.14818	0.564361	2.86062	0.924927	0.660263	0.300375	3.54021	0.694751	0.577706
0.427977	-0.101726	0.0872333	3.36816	0.427977	-0.10185	0.566543	2.87696	0.925434	0.674336	0.303081	3.571	0.695196	0.592009
0.427918	-0.0544533	0.0898019	3.38429	0.427923	-0.0607643	0.568738	2.89306	0.925953	0.688487	0.305809	3.60043	0.695652	0.606443
0.427894	-0.00628376	0.0923824	3.39961	0.427899	-0.025097	0.570945	2.90882	0.926482	0.702707	0.308558	3.62856	0.696118	0.621048
0.427908	0.0428715	0.0949743	3.4142	0.427894	0.00471896	0.573163	2.92421	0.927022	0.716883	0.311329	3.6555	0.696596	0.635727
0.42796	0.0930115	0.0975769	3.42802	0.4279	0.0284657	0.575394	2.93937	0.927572	0.731152	0.31412	3.68121	0.697086	0.650552
