Sym0		Asym0		Sym1		Sym2		Asym1		Asym2	
291  Points		388  Points		291  Points		232  Points		339  Points		226  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.455183	13.43	0.0794944	2.23223	0.886617	5.5827	0.645874	18.797	0.357633	10.5723	0.840855	24.561
0.4546	13.1506	0.0819902	2.25942	0.88381	5.58881	0.647889	18.4919	0.358732	10.5029	0.840236	24.0677
0.45404	12.8825	0.084505	2.28614	0.880982	5.59484	0.649914	18.1986	0.359542	10.4527	0.839624	23.5934
0.453504	12.6252	0.0870381	2.31239	0.878133	5.60079	0.651949	17.9164	0.360062	10.421	0.839019	23.1369
0.452993	12.378	0.0895892	2.33818	0.875263	5.60665	0.653993	17.6448	0.360811	10.376	0.838423	22.6974
0.452506	12.1405	0.0921575	2.36351	0.872372	5.61244	0.656045	17.3832	0.361627	10.3278	0.837836	22.274
0.452046	11.9121	0.0947424	2.3884	0.869461	5.61814	0.658106	17.131	0.362739	10.2633	0.837258	21.8657
0.451612	11.6924	0.0973434	2.41286	0.86653	5.62376	0.660175	16.8877	0.364152	10.1836	0.836689	21.4718
0.451206	11.481	0.0999601	2.43689	0.86358	5.62931	0.662251	16.6529	0.365867	10.0899	0.83613	21.0916
0.450828	11.2774	0.102592	2.4605	0.860609	5.63477	0.664335	16.4261	0.36789	9.98355	0.835581	20.7244
0.450479	11.0813	0.105238	2.4837	0.85762	5.64016	0.666425	16.2069	0.370224	9.86592	0.835042	20.3695
0.45016	10.8924	0.107899	2.50651	0.854612	5.64548	0.668523	15.995	0.372571	9.75279	0.834515	20.0265
0.449872	10.7102	0.110573	2.52892	0.851586	5.65072	0.670626	15.79	0.374931	9.64392	0.833999	19.6946
0.449615	10.5346	0.11326	2.55095	0.848542	5.65589	0.672736	15.5915	0.377302	9.53908	0.833495	19.3735
0.44939	10.3652	0.11596	2.5726	0.845481	5.66099	0.674852	15.3993	0.379685	9.43803	0.833002	19.0626
0.449199	10.2017	0.118672	2.59388	0.842402	5.66601	0.676973	15.2131	0.382078	9.34058	0.832523	18.7614
0.449041	10.0439	0.121397	2.6148	0.839307	5.67098	0.679099	15.0325	0.384482	9.24655	0.832055	18.4695
0.448919	9.89164	0.124133	2.63536	0.836195	5.67587	0.681231	14.8574	0.386894	9.15574	0.831601	18.1866
0.448831	9.74459	0.12688	2.65558	0.833067	5.68071	0.683367	14.6875	0.389316	9.068	0.83116	17.9121
0.448781	9.60257	0.129639	2.67546	0.829924	5.68548	0.685508	14.5225	0.391746	8.98318	0.830732	17.6459
0.448768	9.4654	0.132407	2.69501	0.826766	5.69019	0.687653	14.3623	0.394184	8.90112	0.830319	17.3875
0.448793	9.33287	0.135186	2.71423	0.823593	5.69485	0.689802	14.2066	0.396629	8.82169	0.829919	17.1365
0.448857	9.20483	0.137975	2.73313	0.820406	5.69945	0.691954	14.0553	0.399081	8.74476	0.829535	16.8928
0.448962	9.0811	0.140774	2.75172	0.817205	5.70399	0.694111	13.9081	0.40154	8.67022	0.829165	16.656
0.449108	8.96154	0.143581	2.77	0.81399	5.70849	0.69627	13.765	0.404004	8.59795	0.82881	16.4259
0.449296	8.84598	0.146398	2.78799	0.810763	5.71293	0.698433	13.6257	0.406474	8.52784	0.82847	16.2021
0.449528	8.7343	0.149223	2.80568	0.807523	5.71733	0.700599	13.49	0.408949	8.45979	0.828146	15.9845
0.449803	8.62636	0.152057	2.82308	0.80427	5.72169	0.702767	13.3579	0.411428	8.39372	0.827838	15.7727
0.450124	8.52204	0.154899	2.8402	0.801006	5.726	0.704938	13.2292	0.413912	8.32952	0.827546	15.5667
0.450491	8.42123	0.157749	2.85705	0.79773	5.73027	0.707111	13.1038	0.416399	8.26712	0.82727	15.3662
0.450905	8.3238	0.160606	2.87363	0.794444	5.7345	0.709286	12.9815	0.41889	8.20644	0.827011	15.1709
