Sym0		Asym0		Sym1		Sym2		Asym1		Asym2	
477  Points		492  Points		478  Points		257  Points		405  Points		144  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.289729	1.7409	0.0826897	2.25771	0.278614	2.51499	0.422386	7.29879	0.394277	6.5929	0.537328	4.29818
0.291309	1.65503	0.0847927	2.25669	0.28087	2.33821	0.429222	7.36973	0.400393	6.53213	0.541355	4.34649
0.292813	1.57974	0.0868948	2.25567	0.282971	2.18112	0.436119	7.42857	0.406449	6.4659	0.545427	4.39602
0.294252	1.51384	0.0889959	2.25476	0.284934	2.04215	0.443065	7.47652	0.412441	6.394	0.549546	4.44703
0.295634	1.45615	0.0910963	2.25386	0.286776	1.91964	0.45005	7.51455	0.418364	6.31649	0.553714	4.49977
0.296966	1.40567	0.0931957	2.25294	0.288511	1.81183	0.457067	7.54367	0.424211	6.23332	0.557931	4.55456
0.298253	1.36161	0.0952944	2.25211	0.290152	1.71721	0.464107	7.5647	0.429979	6.1444	0.562201	4.61162
0.299503	1.32316	0.0973923	2.25133	0.291711	1.63427	0.471163	7.57828	0.435661	6.04983	0.566524	4.6711
0.300719	1.28961	0.0994895	2.25057	0.293197	1.56156	0.478228	7.58507	0.441252	5.94969	0.570905	4.73317
0.301906	1.26046	0.101586	2.24983	0.294621	1.49792	0.485297	7.58553	0.446747	5.84418	0.575344	4.79789
0.303068	1.23511	0.103682	2.24909	0.295989	1.44222	0.492363	7.58009	0.452142	5.73343	0.579845	4.8653
0.304207	1.21319	0.105777	2.24843	0.297308	1.39354	0.499422	7.5692	0.457431	5.61776	0.58441	4.93531
0.305328	1.19434	0.107871	2.2478	0.298585	1.35099	0.506468	7.55315	0.46261	5.49753	0.589041	5.00787
0.306433	1.17809	0.109965	2.2472	0.299826	1.31387	0.513496	7.53217	0.467675	5.37309	0.593742	5.08274
0.307524	1.16428	0.112059	2.2466	0.301034	1.28157	0.520503	7.50655	0.472622	5.24505	0.598513	5.15968
0.308603	1.15261	0.114152	2.24601	0.302214	1.25345	0.527484	7.47647	0.477449	5.11386	0.603356	5.23835
