Minima		Zeros		Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
8  Points		7  Points		475  Points		493  Points		474  Points		220  Points		129  Points		390  Points		143  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
				0.262823	4.75275	0.0558504	2.27122	0.237012	6.02206	0.362985	4.84353	0.453594	5.02766	0.320699	6.83268	0.49548	3.79843
				0.267128	4.48886	0.0579663	2.27073	0.24252	5.79511	0.367599	5.06167	0.458337	5.15186	0.327066	6.83288	0.499047	3.85736
				0.271188	4.22783	0.0600816	2.27008	0.24781	5.55573	0.372417	5.27769	0.463194	5.27142	0.333432	6.82925	0.502668	3.91459
				0.275006	3.97295	0.0621963	2.26927	0.252872	5.30571	0.377434	5.48826	0.46816	5.38648	0.339792	6.82183	0.506341	3.97023
				0.278591	3.72723	0.0643102	2.26829	0.257697	5.0478	0.382643	5.69041	0.473231	5.49713	0.346143	6.81067	0.510066	4.02438
				0.281951	3.49316	0.066423	2.26728	0.262278	4.7851	0.388037	5.88171	0.478403	5.60344	0.352483	6.79574	0.51384	4.07717
				0.2851	3.27258	0.068535	2.26627	0.266613	4.52115	0.393603	6.0604	0.483673	5.70562	0.358807	6.77701	0.517663	4.12876
				0.288049	3.06667	0.070646	2.26517	0.270703	4.25957	0.39933	6.22523	0.489035	5.80377	0.365111	6.7545	0.521534	4.17929
				0.290814	2.87606	0.0727559	2.26408	0.274551	4.00372	0.405203	6.3756	0.494487	5.89805	0.371393	6.72822	0.525451	4.22886
				0.293409	2.70093	0.0748648	2.26298	0.278164	3.75674	0.41121	6.51132	0.500025	5.98868	0.377648	6.69807	0.529414	4.2776
				0.295847	2.54088	0.0769727	2.26188	0.281551	3.52115	0.417336	6.63261	0.505647	6.07584	0.383874	6.664	0.533422	4.32579
				0.298143	2.39532	0.0790796	2.26078	0.284725	3.29884	0.423569	6.74005	0.511347	6.15962	0.390066	6.62603	0.537474	4.37354
				0.30031	2.26351	0.0811854	2.25972	0.287698	3.09112	0.429896	6.83432	0.517124	6.24023	0.396221	6.58407	0.541571	4.421
				0.302361	2.14445	0.0832903	2.25871	0.290485	2.89863	0.436304	6.91622	0.522975	6.3179	0.402335	6.53803	0.545713	4.46837
				0.304306	2.03723	0.0853943	2.2577	0.293099	2.72157	0.442783	6.98663	0.528897	6.39267	0.408404	6.48798	0.549898	4.51581
				0.306157	1.94078	0.0874973	2.25671	0.295556	2.55968	0.449323	7.04644	0.534887	6.46472	0.413653	6.44105	0.554127	4.56351
				0.307923	1.85415	0.0895994	2.25574	0.297869	2.41242	0.455914	7.09649	0.540943	6.53425	0.418097	6.39858	0.558401	4.61159
