Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
476  Points		491  Points		475  Points		230  Points		129  Points		395  Points		143  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.273741	3.75967	0.0662244	2.26706	0.253437	5.10956	0.37832	5.76222	0.462291	5.5266	0.34114	6.85031	0.506082	3.95827
0.277124	3.50948	0.0683361	2.26599	0.257488	4.86737	0.383788	5.96735	0.46749	5.63035	0.347517	6.83652	0.509795	4.0113
0.280281	3.27416	0.0704468	2.26487	0.261892	4.58739	0.38944	6.15732	0.472783	5.72983	0.353879	6.81875	0.513556	4.06308
0.283225	3.05519	0.0725564	2.26376	0.266036	4.30913	0.395261	6.33113	0.478166	5.82529	0.360223	6.79698	0.517366	4.11369
0.285974	2.85332	0.0746651	2.26269	0.269922	4.03647	0.401237	6.48834	0.483637	5.91689	0.366545	6.7711	0.521222	4.16329
0.288542	2.6687	0.0767727	2.26157	0.273558	3.77314	0.407352	6.6291	0.489192	6.00482	0.37284	6.74109	0.525124	4.21208
0.290947	2.50096	0.0788793	2.26046	0.276953	3.52228	0.41359	6.75387	0.494827	6.08933	0.379106	6.707	0.529071	4.26023
0.293203	2.34938	0.0809848	2.25943	0.280121	3.2861	0.419937	6.86345	0.500539	6.17054	0.385338	6.66863	0.533062	4.3079
0.295325	2.21293	0.0830895	2.25837	0.283076	3.06621	0.426379	6.95883	0.506325	6.24866	0.391532	6.62594	0.537098	4.35534
0.297326	2.09054	0.0851931	2.25736	0.285834	2.8635	0.432904	7.04106	0.512182	6.32389	0.397685	6.57894	0.541178	4.40275
0.29922	1.98104	0.0872958	2.25642	0.288412	2.67799	0.439499	7.11117	0.518109	6.39634	0.403791	6.52749	0.545302	4.45026
0.301018	1.88325	0.0893976	2.25543	0.290825	2.50936	0.446155	7.17016	0.524101	6.46625	0.409848	6.47154	0.54947	4.49819
0.302729	1.79601	0.0914986	2.25454	0.293088	2.35692	0.45286	7.219	0.530158	6.53371	0.41585	6.41099	0.553684	4.54673
0.304364	1.71827	0.0935987	2.25365	0.295216	2.2197	0.459607	7.25861	0.536276	6.5989	0.421794	6.34584	0.557943	4.59599
0.305931	1.64907	0.095698	2.2528	0.297224	2.09663	0.466386	7.28978	0.542454	6.66197	0.427675	6.27611	0.562248	4.64616
0.307437	1.5875	0.0977966	2.25201	0.299123	1.9865	0.47319	7.31324	0.54869	6.72291	0.433489	6.20168	0.5666	4.69751
0.308889	1.53277	0.0998944	2.25125	0.300926	1.88807	0.480013	7.32967	0.554982	6.78197	0.439231	6.12272	0.571001	4.7501
0.310293	1.48409	0.101992	2.25054	0.302641	1.8003	0.486848	7.33961	0.561327	6.83921	0.444174	6.05024	0.575452	4.80409
0.311655	1.44088	0.104088	2.24979	0.30428	1.72213	0.49369	7.3436	0.567726	6.89467	0.448339	5.98575	0.579953	4.85956
0.312978	1.40256	0.106184	2.24911	0.30585	1.65251	0.500532	7.34212	0.574175	6.94845	0.45175	5.93055	0.584507	4.9166
0.314268	1.36856	0.108279	2.24848	0.30736	1.59056	0.507371	7.33559	0.580673	7.00065	0.454423	5.88577	0.589115	4.97523
