Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym3	
472  Points		493  Points		472  Points		204  Points		131  Points		121  Points		380  Points		143  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.25359	5.4898	0.0520172	2.27156	0.226129	6.4529	0.358156	4.37642	0.455875	4.34862	0.614455	3.09964	0.305693	6.73941	0.488019	3.65656
0.258601	5.26395	0.0541337	2.27169	0.232063	6.28019	0.362312	4.54808	0.459993	4.4904	0.617374	3.16611	0.311978	6.74999	0.491456	3.72066
0.263399	5.03192	0.0562503	2.27153	0.237831	6.09496	0.366631	4.7255	0.464242	4.62887	0.620354	3.23137	0.318271	6.75689	0.494952	3.78288
0.267978	4.79615	0.0583665	2.27105	0.243421	5.89772	0.371117	4.90668	0.468619	4.7638	0.623395	3.29546	0.324568	6.76013	0.498505	3.84337
0.272336	4.55928	0.0604821	2.27041	0.248821	5.68927	0.375774	5.08917	0.473119	4.89501	0.626495	3.35838	0.330867	6.75988	0.502113	3.90224
0.276473	4.32395	0.0625971	2.26965	0.254022	5.47097	0.380601	5.27045	0.47774	5.0223	0.629653	3.42021	0.337165	6.75614	0.505776	3.95948
0.280393	4.09271	0.0647114	2.26875	0.259015	5.24456	0.385595	5.44815	0.482478	5.14563	0.632868	3.48088	0.343457	6.74905	0.509491	4.01522
0.2841	3.86804	0.0668247	2.26779	0.263795	5.01212	0.390753	5.62007	0.487328	5.26498	0.636139	3.5404	0.348933	6.74015	0.513258	4.06957
0.287601	3.65191	0.0689371	2.26676	0.268355	4.77611	0.396067	5.78425	0.492288	5.38028	0.639465	3.59887	0.353595	6.73049	0.517075	4.12261
0.290905	3.44589	0.0710486	2.26566	0.272694	4.53927	0.401531	5.9391	0.497354	5.49157	0.642845	3.65627	0.357445	6.72115	0.52094	4.17448
0.294022	3.25124	0.073159	2.2646	0.276813	4.30417	0.407134	6.08356	0.502521	5.59893	0.646278	3.71262	0.360485	6.7129	0.524853	4.22529
0.296963	3.0687	0.0752684	2.26356	0.280715	4.07343	0.412867	6.21686	0.507787	5.70239	0.649763	3.7679	0.362717	6.70639	0.528813	4.2751
0.29974	2.89867	0.0773768	2.26245	0.284404	3.8494	0.418719	6.33864	0.513147	5.80202	0.6533	3.82222	0.364145	6.7019	0.532819	4.32413
0.302364	2.74112	0.0794842	2.26135	0.287888	3.63405	0.424678	6.44883	0.518598	5.89801	0.656886	3.87561	0.366195	6.69502	0.536871	4.37246
0.304848	2.59587	0.0815906	2.26032	0.291175	3.42899	0.430735	6.54763	0.524137	5.99046	0.660521	3.92799	0.368422	6.68726	0.540967	4.42019
0.307201	2.46248	0.0836961	2.25929	0.294277	3.23535	0.436879	6.63537	0.529761	6.0794	0.664205	3.9795	0.371446	6.67601	0.545107	4.46745
0.309436	2.34036	0.0858006	2.25827	0.297204	3.05383	0.4431	6.71255	0.535466	6.16501	0.667937	4.03015	0.375262	6.66059	0.549292	4.51443
0.311562	2.22889	0.0879041	2.25731	0.299968	2.88484	0.449387	6.77984	0.541249	6.24737	0.671715	4.07995	0.379866	6.64018	0.55352	4.56123
0.31359	2.12732	0.0900068	2.2564	0.30258	2.72839	0.455733	6.8378	0.547107	6.32663	0.675539	4.12903	0.385247	6.6139	0.557791	4.60796
0.315526	2.03493	0.0921087	2.25546	0.305052	2.58413	0.462129	6.88707	0.553038	6.4029	0.679409	4.1773	0.391394	6.58062	0.562106	4.65484
0.317381	1.95099	0.0942096	2.25459	0.307395	2.45169	0.468566	6.92827	0.559038	6.47625	0.683323	4.22485	0.397509	6.54391	0.566465	4.70187
0.319162	1.87482	0.0963098	2.25376	0.30962	2.33054	0.475039	6.96224	0.565105	6.54679	0.687281	4.27182	0.403588	6.50376	0.570867	4.74919
0.320875	1.80576	0.0984092	2.25293	0.311738	2.21994	0.480702	6.98635	0.571237	6.61462	0.691283	4.31816	0.409628	6.46007	0.575314	4.79696
0.322527	1.74315	0.100508	2.25219	0.313757	2.11916	0.485544	7.00302	0.577431	6.67983	0.695328	4.3639	0.415626	6.41277	0.579806	4.84519
0.324123	1.6864	0.102606	2.25142	0.315686	2.02749	0.489556	7.0143	0.583684	6.74251	0.699415	4.40923	0.421577	6.36195	0.584343	4.89404
0.325669	1.6351	0.104703	2.2507	0.317535	1.94427	0.492732	7.02173	0.589995	6.80266	0.703544	4.4541	0.42748	6.30757	0.588925	4.94355
0.32717	1.58867	0.1068	2.25005	0.319309	1.86871	0.495069	7.02631	0.59636	6.86035	0.707715	4.49859	0.433331	6.24954	0.593555	4.99365
0.32863	1.54663	0.108896	2.24936	0.321017	1.80017	0.496565	7.0288	0.602778	6.91567	0.711927	4.54282	0.439126	6.1879	0.598231	5.04447
0.330052	1.50863	0.110991	2.24872	0.322664	1.73814	0.498718	7.03196	0.609247	6.96867	0.71618	4.58683	0.444861	6.12273	0.602954	5.09601
