Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
464  Points		493  Points		186  Points		140  Points		117  Points		337  Points		154  Points		123  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00216952	7.46865	6.0939e-005	0.262213	0.279509	0.0851005	0.501695	0.0760349	0.55904	0.111232	0.139881	0.51724	0.419291	0.131262	0.698771	0.0307818
0.00912802	7.46755	0.000305241	0.360594	0.279588	0.156884	0.501766	0.106141	0.559143	0.156193	0.140363	0.708	0.419413	0.183298	0.6988	0.0612399
0.0160845	7.46463	0.000732866	0.553931	0.279801	0.300236	0.501893	0.166578	0.559331	0.246033	0.1412	1.08516	0.419632	0.287332	0.698885	0.122146
0.0230375	7.4601	0.00133743	0.739261	0.280148	0.443021	0.502077	0.227392	0.559602	0.335698	0.142385	1.45211	0.419948	0.391103	0.699028	0.182946
0.0299855	7.45389	0.0021104	0.914512	0.280627	0.584962	0.502317	0.288669	0.559956	0.425087	0.143906	1.80609	0.420361	0.494567	0.699226	0.243683
0.036927	7.44602	0.00304152	1.07803	0.281238	0.725801	0.502615	0.350578	0.560394	0.514143	0.14575	2.14484	0.42087	0.597638	0.699482	0.304366
0.0438604	7.43644	0.00411918	1.22869	0.281979	0.865244	0.50297	0.41324	0.560914	0.602754	0.147903	2.46668	0.421475	0.700143	0.699793	0.36494
0.050784	7.42519	0.00533105	1.36602	0.28285	1.00307	0.503385	0.476819	0.561517	0.690838	0.150347	2.77058	0.422175	0.802102	0.700162	0.425444
0.0576964	7.41213	0.00666462	1.48989	0.283848	1.13911	0.503859	0.541356	0.562202	0.778458	0.153065	3.05605	0.422969	0.903406	0.700586	0.485808
0.0645957	7.39723	0.0081073	1.60058	0.284973	1.27306	0.504393	0.606929	0.562968	0.865515	0.156041	3.32297	0.423858	1.00391	0.701067	0.545965
0.0714803	7.38045	0.00964713	1.69871	0.286221	1.4048	0.50499	0.673769	0.563814	0.951883	0.159257	3.57159	0.42484	1.10364	0.701604	0.606
