Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
465  Points		492  Points		184  Points		137  Points		118  Points		344  Points		150  Points		120  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.240562	5.95224	0.0541753	2.27209	0.358361	4.17708	0.527435	3.22429	0.611215	2.91247	0.258526	6.10252	0.482319	3.37507	0.736421	2.15229
0.24605	5.82466	0.0562925	2.2725	0.360768	4.2367	0.530493	3.34097	0.613959	2.97749	0.264231	6.14173	0.485494	3.43872	0.73845	2.20376
0.251416	5.69151	0.0584098	2.27256	0.362696	4.28426	0.53366	3.45781	0.616763	3.04185	0.269971	6.17675	0.488727	3.50093	0.740527	2.25469
0.256655	5.55317	0.0605271	2.27234	0.364128	4.3196	0.536936	3.57458	0.619627	3.10544	0.275741	6.20782	0.492017	3.56169	0.742651	2.30507
0.261763	5.41008	0.0626441	2.2719	0.36505	4.3424	0.540321	3.69101	0.62255	3.16839	0.281538	6.23517	0.495364	3.62102	0.744822	2.35486
0.266736	5.26292	0.0647606	2.27131	0.366384	4.37515	0.543814	3.80684	0.625531	3.2308	0.287359	6.25907	0.498765	3.67898	0.747039	2.40413
0.27157	5.11237	0.0668764	2.27061	0.367846	4.41105	0.547415	3.92189	0.62857	3.29262	0.293201	6.27959	0.502219	3.73557	0.749302	2.45285
0.276263	4.95916	0.0689916	2.26979	0.369853	4.46033	0.551122	4.03582	0.631667	3.35394	0.299061	6.29692	0.505725	3.79088	0.75161	2.50099
0.280811	4.80419	0.0711059	2.2689	0.372424	4.52296	0.554935	4.14841	0.63482	3.41476	0.304935	6.31122	0.509283	3.84497	0.753962	2.54858
0.285215	4.64835	0.0732194	2.26794	0.375581	4.59938	0.558852	4.25948	0.63803	3.47517	0.310821	6.32262	0.51289	3.89784	0.756359	2.59563
0.289473	4.49254	0.075332	2.26695	0.379352	4.68967	0.562872	4.36867	0.641296	3.53528	0.316716	6.33118	0.516546	3.9496	0.758799	2.64214
0.293586	4.33772	0.0774437	2.26598	0.383769	4.79381	0.566993	4.47581	0.644617	3.59506	0.322618	6.33703	0.52025	4.00025	0.761282	2.68805
0.297556	4.18468	0.0795544	2.26495	0.388284	4.89795	0.571212	4.58073	0.647995	3.65458	0.328525	6.34032	0.524	4.04984	0.763808	2.73343
0.301384	4.03424	0.0816641	2.26392	0.392896	5.00155	0.575529	4.68311	0.651427	3.71398	0.334433	6.34101	0.527796	4.09848	0.766376	2.77827
0.305073	3.88724	0.083773	2.26296	0.397604	5.10399	0.579939	4.78278	0.654915	3.77331	0.34034	6.33927	0.531637	4.14617	0.768985	2.82255
0.308627	3.7442	0.0858809	2.26193	0.402407	5.20455	0.584441	4.87959	0.658458	3.83265	0.346245	6.33515	0.535522	4.19306	0.771635	2.86628
0.31205	3.60562	0.0879878	2.26095	0.407302	5.30258	0.589031	4.97329	0.662057	3.89208	0.352145	6.32861	0.538943	4.23325	0.774326	2.90951
0.315346	3.47201	0.0900939	2.26001	0.412288	5.39755	0.593708	5.06373	0.665711	3.95168	0.358038	6.31978	0.541885	4.26705	0.777057	2.95223
0.31852	3.34374	0.0921991	2.25907	0.41736	5.48891	0.598467	5.15072	0.66942	4.01163	0.363922	6.30874	0.544335	4.29463	0.779827	2.99438
0.321576	3.22093	0.0943035	2.25816	0.422516	5.57608	0.603306	5.23408	0.673186	4.07199	0.369794	6.29541	0.546283	4.31638	0.782636	3.036
0.324521	3.10371	0.0964069	2.25726	0.42775	5.6587	0.60822	5.31365	0.677008	4.13287	0.375652	6.27985	0.547722	4.33212	0.785484	3.07712
0.32736	2.99216	0.0985096	2.25641	0.43306	5.73653	0.613207	5.3893	0.680887	4.19441	0.381495	6.26215	0.548646	4.3422	0.78837	3.11774
0.330097	2.88634	0.100612	2.25558	0.43844	5.80931	0.618263	5.46091	0.684824	4.25679	0.387321	6.24227	0.549977	4.35672	0.791294	3.15784
