Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3		Asym4	
359  Points		393  Points		358  Points		318  Points		259  Points		345  Points		332  Points		260  Points		158  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.312276	-0.796239	0.0462348	1.97845	0.92231	2.11843	0.406605	1.64372	0.708519	0.0874715	0.205254	1.63438	0.527906	-0.0981528	0.710812	0.652642	0.886707	0.161932
0.311351	-0.773157	0.0485822	2.00448	0.919817	2.1123	0.408546	1.6495	0.708624	0.0915609	0.206948	1.66318	0.527791	-0.0965265	0.711591	0.669402	0.886901	0.168116
0.310454	-0.749699	0.0509594	2.02921	0.917331	2.10619	0.410493	1.65506	0.708735	0.0957846	0.208927	1.69451	0.527679	-0.0944459	0.712389	0.685784	0.887103	0.174405
0.309584	-0.725854	0.0533651	2.05276	0.914853	2.10011	0.412447	1.66039	0.70885	0.10013	0.210942	1.72409	0.527569	-0.0920424	0.713207	0.701775	0.887312	0.180757
0.308743	-0.701748	0.0557978	2.07516	0.912381	2.09397	0.414407	1.66548	0.708971	0.104574	0.21299	1.75191	0.527462	-0.0892129	0.714043	0.717351	0.887529	0.187236
0.30793	-0.677339	0.0582563	2.09653	0.909917	2.08783	0.416373	1.6704	0.709097	0.10914	0.215071	1.77809	0.527359	-0.085971	0.714898	0.732536	0.887754	0.193822
0.307146	-0.652545	0.0607394	2.11687	0.90746	2.08172	0.418344	1.67503	0.709228	0.113878	0.217181	1.80268	0.527259	-0.0823437	0.71577	0.747306	0.887986	0.200474
0.306392	-0.62742	0.0632458	2.13622	0.90501	2.07557	0.420321	1.67945	0.709365	0.118738	0.21932	1.82578	0.527164	-0.0782384	0.716659	0.761684	0.888226	0.207261
0.305667	-0.601998	0.0657745	2.15472	0.902568	2.06942	0.422303	1.68368	0.709508	0.123699	0.221485	1.84744	0.527075	-0.0737633	0.717565	0.775646	0.888474	0.214169
0.304973	-0.576204	0.0683245	2.17237	0.900133	2.06327	0.424289	1.68768	0.709656	0.128786	0.223674	1.86775	0.526991	-0.0689145	0.718488	0.789213	0.888731	0.221173
0.304309	-0.550104	0.0708948	2.18921	0.897705	2.05714	0.42628	1.69142	0.709811	0.134054	0.225887	1.88681	0.526912	-0.0636116	0.719426	0.802359	0.888996	0.228298
0.303676	-0.523686	0.0734846	2.20525	0.895284	2.05101	0.428276	1.69494	0.709972	0.139462	0.228122	1.90465	0.526841	-0.0579129	0.720379	0.815101	0.889269	0.235515
0.303075	-0.496923	0.0760927	2.22056	0.89287	2.04491	0.430275	1.69833	0.71014	0.145005	0.230376	1.9213	0.526776	-0.0517889	0.721347	0.827475	0.889551	0.242845
0.302505	-0.469837	0.0787185	2.23521	0.890464	2.0388	0.432279	1.70146	0.710314	0.150671	0.23265	1.93683	0.526719	-0.0452539	0.722329	0.839405	0.889841	0.250328
0.301968	-0.4424	0.0813611	2.2492	0.888065	2.03272	0.434286	1.70433	0.710495	0.156509	0.234942	1.9513	0.526669	-0.0383361	0.723325	0.850961	0.890141	0.257896
0.301462	-0.414625	0.0840199	2.26261	0.885673	2.02664	0.436037	1.7067	0.710683	0.162547	0.237249	1.96477	0.526628	-0.0310191	0.724335	0.862133	0.890449	0.265635
0.30099	-0.38654	0.0866941	2.27543	0.883288	2.02056	0.437532	1.70863	0.710878	0.168689	0.239573	1.97736	0.526596	-0.02327	0.725357	0.872833	0.890767	0.273495
0.300551	-0.358129	0.0893831	2.28767	0.88091	2.01455	0.43877	1.7101	0.711081	0.174968	0.24191	1.98896	0.526573	-0.015096	0.726392	0.883173	0.891094	0.281452
0.300146	-0.32936	0.0920862	2.2994	0.87854	2.00853	0.439749	1.71119	0.711291	0.181446	0.244261	1.99971	0.526561	-0.00658476	0.727439	0.893159	0.89143	0.289603
0.299775	-0.300239	0.0948028	2.31064	0.876176	2.00258	0.44047	1.71189	0.711508	0.188104	0.246623	2.00966	0.526558	0.00238098	0.728497	0.902732	0.891777	0.297847
0.299438	-0.270782	0.0975324	2.32139	0.87382	1.99661	0.440931	1.7124	0.711734	0.1949	0.248997	2.01877	0.526566	0.0117431	0.729567	0.911917	0.892132	0.306206
0.299137	-0.240944	0.100274	2.33169	0.87147	1.99068	0.441594	1.71312	0.711968	0.201829	0.251382	2.02717	0.526586	0.0214587	0.730647	0.920691	0.892498	0.314721
0.298871	-0.210786	0.103028	2.3416	0.869128	1.98483	0.442315	1.71378	0.71221	0.208947	0.253776	2.03485	0.526617	0.031588	0.731737	0.929085	0.892874	0.3234
0.29864	-0.180279	0.105794	2.35109	0.866792	1.97898	0.443296	1.71479	0.71246	0.216298	0.256178	2.04184	0.52666	0.0421054	0.732837	0.937082	0.893261	0.332264
0.298446	-0.149367	0.10857	2.36019	0.864463	1.97322	0.444538	1.7159	0.71272	0.223751	0.258588	2.04816	0.526708	0.0515893	0.733946	0.944729	0.893657	0.341201
0.298288	-0.118086	0.111357	2.36893	0.862141	1.96747	0.446041	1.71704	0.712988	0.231405	0.261006	2.05384	0.526757	0.0598404	0.735063	0.952038	0.894065	0.350286
0.298167	-0.0864316	0.114153	2.37733	0.859826	1.96177	0.447805	1.71834	0.713265	0.239242	0.263429	2.05892	0.526803	0.0668578	0.73619	0.958892	0.894483	0.359595
0.298084	-0.0543971	0.11696	2.38542	0.857517	1.95616	0.449831	1.71966	0.713552	0.247226	0.265858	2.0634	0.526843	0.0726062	0.737324	0.965423	0.894912	0.368984
0.298039	-0.0219687	0.119776	2.39317	0.855215	1.95058	0.451858	1.72072	0.713848	0.255431	0.268293	2.06732	0.526874	0.0768742	0.738465	0.9716	0.895353	0.378533
0.298031	0.00665237	0.122601	2.40063	0.852919	1.94505	0.453887	1.72158	0.714154	0.263783	0.270731	2.07071	0.526895	0.0795293	0.739614	0.977362	0.895805	0.388257
0.298048	0.0313069	0.125434	2.40777	0.85063	1.93963	0.455916	1.72227	0.714469	0.272358	0.273173	2.07358	0.526927	0.0834656	0.740769	0.982806	0.896268	0.39811
0.298078	0.0518892	0.128276	2.41465	0.848348	1.93428	0.457946	1.72272	0.714796	0.281085	0.275619	2.07596	0.526963	0.0878489	0.74193	0.98791	0.896743	0.408147
0.298112	0.0682502	0.131126	2.42132	0.846071	1.92901	0.459977	1.72298	0.715132	0.28997	0.278066	2.07785	0.527015	0.0938304	0.743097	0.992623	0.89723	0.418334
0.298143	0.0803931	0.133983	2.4277	0.843801	1.92381	0.462007	1.72304	0.715479	0.299096	0.280516	2.07924	0.527085	0.101551	0.74427	0.996997	0.897729	0.428673
0.298166	0.0881496	0.136848	2.43386	0.841537	1.91868	0.464038	1.72289	0.715837	0.308413	0.282967	2.08018	0.527178	0.111039	0.745447	1.00106	0.89824	0.439172
0.298202	0.0993432	0.13972	2.4398	0.839279	1.91362	0.466068	1.72252	0.716206	0.317893	0.285419	2.08069	0.527298	0.122497	0.746629	1.00478	0.898764	0.449841
0.298247	0.111674	0.142598	2.44547	0.837026	1.9087	0.468098	1.72197	0.716586	0.32755	0.287872	2.08077	0.52745	0.135914	0.747816	1.00813	0.899301	0.460634
0.298315	0.128478	0.145484	2.45095	0.83478	1.90392	0.470127	1.72125	0.716978	0.337416	0.290324	2.08044	0.527619	0.149764	0.749005	1.01117	0.89985	0.471599
0.298416	0.149897	0.148375	2.45626	0.832539	1.8992	0.472155	1.72027	0.717382	0.347479	0.292775	2.07972	0.527803	0.163939	0.750199	1.01387	0.900412	0.482762
0.298559	0.176031	0.151273	2.4614	0.830303	1.89459	0.474182	1.71909	0.717797	0.357719	0.295226	2.07856	0.528005	0.178425	0.751395	1.01627	0.900988	0.494028
0.298755	0.207076	0.154177	2.46633	0.828073	1.89013	0.476207	1.71776	0.718225	0.368165	0.297674	2.07706	0.528224	0.193284	0.752594	1.01835	0.901577	0.505428
0.299021	0.243233	0.157086	2.47106	0.825848	1.88582	0.47823	1.71618	0.718608	0.377396	0.300121	2.07518	0.528461	0.208551	0.753795	1.02011	0.902179	0.517022
0.299329	0.279916	0.160001	2.47561	0.823628	1.88159	0.480252	1.71444	0.718941	0.385371	0.302566	2.07292	0.528715	0.224168	0.754999	1.02158	0.902795	0.528784
0.29968	0.31719	0.162922	2.48003	0.821413	1.87754	0.482271	1.71251	0.719223	0.392059	0.305007	2.07036	0.528989	0.24007	0.756203	1.02275	0.903425	0.540663
0.300076	0.355126	0.165847	2.48432	0.819203	1.87367	0.484288	1.71034	0.719449	0.397392	0.307445	2.0674	0.529281	0.256334	0.757409	1.02363	0.90407	0.552702
0.300517	0.393723	0.168777	2.48843	0.816997	1.8699	0.486303	1.708	0.719617	0.401254	0.30988	2.06408	0.529593	0.272925	0.758461	1.02412	0.904728	0.564915
0.301004	0.43298	0.171712	2.4924	0.814796	1.86631	0.488314	1.70544	0.719725	0.403883	0.312311	2.06049	0.529925	0.289863	0.759358	1.02445	0.905401	0.577255
0.301538	0.47297	0.174652	2.49625	0.812598	1.86294	0.490322	1.70274	0.719882	0.407638	0.314737	2.05656	0.530276	0.307158	0.760099	1.0246	0.906089	0.589705
0.302119	0.513766	0.177596	2.49993	0.810405	1.85972	0.492328	1.69981	0.720055	0.411564	0.317158	2.0523	0.530649	0.324778	0.760686	1.02452	0.906791	0.6023
0.302749	0.555367	0.180544	2.50347	0.808215	1.85672	0.494329	1.6967	0.720292	0.417135	0.319574	2.04774	0.531042	0.342669	0.761117	1.02458	0.907508	0.615038
0.303428	0.597775	0.183497	2.50695	0.806028	1.85394	0.496327	1.69342	0.720596	0.424174	0.321985	2.0429	0.531456	0.36088	0.761393	1.02457	0.908241	0.627916
0.304158	0.641024	0.186453	2.51026	0.803845	1.85137	0.49832	1.68991	0.720972	0.432754	0.324389	2.03778	0.531892	0.379434	0.76179	1.02445	0.908988	0.640929
0.304939	0.685207	0.189413	2.51344	0.801664	1.84903	0.50031	1.68622	0.721421	0.442954	0.326788	2.03235	0.532351	0.398269	0.762221	1.02437	0.909751	0.654064
0.305773	0.730334	0.192377	2.51657	0.799487	1.84691	0.502295	1.68236	0.72195	0.454896	0.329179	2.02664	0.532831	0.417391	0.762807	1.02414	0.91053	0.667296
0.306661	0.776444	0.195345	2.51954	0.797311	1.84509	0.504275	1.67838	0.722493	0.466983	0.331564	2.02067	0.533334	0.43684	0.763549	1.02374	0.911324	0.68065
0.307603	0.823486	0.198316	2.52241	0.795138	1.84349	0.506251	1.67415	0.723051	0.479215	0.333942	2.01443	0.533861	0.456562	0.764444	1.02317	0.912134	0.694102
0.308602	0.871507	0.20129	2.52521	0.792966	1.8422	0.508221	1.6697	0.723623	0.491667	0.336312	2.0079	0.53441	0.476567	0.765495	1.02239	0.91296	0.707676
0.309657	0.920493	0.204268	2.52789	0.790796	1.84123	0.510186	1.66512	0.72421	0.504338	0.338675	2.00116	0.534984	0.496823	0.766699	1.02119	0.913693	0.719587
0.310771	0.970437	0.207249	2.53046	0.788626	1.84053	0.512146	1.66042	0.724812	0.517156	0.341029	1.9942	0.535582	0.517352	0.767902	1.01975	0.914328	0.729748
0.311945	1.02134	0.210232	2.53296	0.786458	1.84016	0.5141	1.65551	0.725429	0.53012	0.343375	1.98698	0.536203	0.538163	0.769103	1.01815	0.914859	0.738201
0.313178	1.07308	0.213219	2.53532	0.784289	1.84016	0.516048	1.65041	0.726061	0.543303	0.345713	1.97956	0.53685	0.559189	0.770302	1.01632	0.915283	0.744987
0.314474	1.12565	0.216208	2.53763	0.78212	1.84053	0.51799	1.64516	0.726709	0.55667	0.348041	1.9719	0.537521	0.580505	0.771498	1.0142	0.915598	0.749756
0.315832	1.17889	0.2192	2.5399	0.779951	1.84126	0.519926	1.63974	0.727373	0.570165	0.35036	1.964	0.538218	0.602003	0.772692	1.01197	0.9158	0.752962
0.317252	1.23272	0.22181	2.54175	0.77778	1.84235	0.521855	1.63418	0.728053	0.583797	0.35267	1.95595	0.53894	0.623738	0.773884	1.00954	0.916093	0.757704
0.318737	1.28702	0.224035	2.54333	0.775608	1.84387	0.523778	1.62847	0.728749	0.597644	0.354971	1.94772	0.539688	0.645739	0.775072	1.00685	0.916413	0.762553
0.320286	1.34161	0.225877	2.54457	0.773434	1.84582	0.525693	1.62261	0.729462	0.611673	0.357261	1.93928	0.540462	0.667872	0.776257	1.00405	0.916851	0.769366
0.321899	1.39629	0.227334	2.54548	0.771258	1.84818	0.527602	1.61657	0.730191	0.625828	0.359542	1.93066	0.541263	0.690217	0.777438	1.00107	0.917411	0.778035
0.323577	1.45084	0.228405	2.54612	0.769078	1.85107	0.529504	1.61044	0.730937	0.64012	0.361812	1.92193	0.542089	0.712779	0.778616	0.997934	0.918097	0.788405
0.325319	1.50514	0.229091	2.54662	0.766895	1.85442	0.531398	1.60415	0.7317	0.65459	0.364072	1.91302	0.542943	0.735486	0.77979	0.994681	0.918913	0.800665
0.327125	1.55892	0.230078	2.54725	0.764707	1.85821	0.533285	1.59771	0.73248	0.669186	0.366321	1.90398	0.543823	0.758339	0.780961	0.99126	0.919865	0.814816
0.328993	1.61192	0.23115	2.54787	0.762515	1.86255	0.535164	1.59115	0.733277	0.683881	0.368559	1.89482	0.54473	0.781337	0.782127	0.987682	0.920834	0.828995
0.330924	1.66398	0.232609	2.54885	0.760317	1.86743	0.537035	1.58447	0.734092	0.698736	0.370787	1.88547	0.545664	0.804519	0.783289	0.984025	0.921819	0.84319
0.332915	1.71484	0.234454	2.54992	0.758113	1.8728	0.538898	1.57772	0.734924	0.713744	0.373003	1.87611	0.546626	0.827791	0.784446	0.980256	0.922821	0.857428
0.334966	1.76436	0.236687	2.55122	0.755903	1.87878	0.540754	1.5708	0.735774	0.728829	0.375209	1.86663	0.547616	0.851183	0.785599	0.976393	0.92384	0.871688
0.337074	1.81238	0.239308	2.55267	0.753685	1.88532	0.542601	1.56378	0.736642	0.744025	0.377403	1.85706	0.548633	0.874671	0.786748	0.972448	0.924876	0.885923
0.339238	1.85869	0.242317	2.55434	0.751459	1.89239	0.54444	1.55669	0.737528	0.759387	0.379586	1.84748	0.549677	0.89817	0.787891	0.968425	0.925928	0.900218
0.341455	1.90316	0.245329	2.5559	0.749225	1.90008	0.54627	1.54948	0.738432	0.774795	0.381758	1.83778	0.55075	0.921785	0.78903	0.964326	0.926997	0.91447
0.343724	1.94575	0.248342	2.55735	0.746981	1.90835	0.548092	1.54225	0.739354	0.790299	0.383918	1.82806	0.55185	0.945495	0.790164	0.960152	0.928083	0.928664
0.346041	1.98643	0.251356	2.55873	0.744727	1.91721	0.549905	1.5349	0.740295	0.805925	0.386066	1.81837	0.552978	0.969214	0.791293	0.955978	0.929186	0.942902
0.348406	2.02507	0.254373	2.56011	0.742462	1.92665	0.55171	1.52741	0.741254	0.821611	0.388204	1.80861	0.554134	0.992903	0.792418	0.951803	0.930306	0.957089
0.350814	2.06172	0.257391	2.56139	0.740185	1.93667	0.553505	1.51993	0.742231	0.837364	0.390329	1.79886	0.555318	1.01661	0.793537	0.947519	0.931442	0.971214
0.353265	2.09633	0.26041	2.56258	0.737897	1.94727	0.555292	1.51242	0.743227	0.853188	0.392444	1.78919	0.556531	1.04037	0.794651	0.943253	0.932595	0.985307
0.355756	2.12895	0.263431	2.56376	0.735596	1.95842	0.55707	1.50479	0.744242	0.869046	0.394547	1.77949	0.557771	1.06404	0.79576	0.939032	0.933765	0.999349
0.358283	2.15965	0.266453	2.56483	0.733281	1.97012	0.558839	1.49716	0.745276	0.884959	0.396638	1.76987	0.559038	1.08763	0.796864	0.934761	0.934951	1.01329
0.360846	2.18848	0.269476	2.56584	0.730952	1.98237	0.560599	1.4895	0.746328	0.900935	0.398718	1.76034	0.560334	1.11122	0.797963	0.930538	0.936153	1.02718
0.363441	2.21553	0.2725	2.56678	0.728608	1.99508	0.56235	1.48179	0.747399	0.916907	0.400787	1.75085	0.561658	1.13473	0.799057	0.926303	0.937372	1.04101
0.366068	2.24088	0.275526	2.56765	0.72625	2.00827	0.564091	1.47409	0.748489	0.932913	0.402845	1.74149	0.563009	1.15809	0.800147	0.922134	0.938607	1.0547
0.368723	2.26454	0.278552	2.56849	0.723875	2.0219	0.565824	1.46636	0.749598	0.948972	0.404892	1.7322	0.564387	1.18139	0.801231	0.918036	0.939858	1.06832
0.371405	2.28663	0.28158	2.56928	0.721484	2.03591	0.567548	1.45861	0.750726	0.964985	0.406928	1.72305	0.565793	1.20453	0.80231	0.913972	0.941125	1.08184
0.374113	2.30726	0.284608	2.56997	0.719076	2.0503	0.569262	1.45093	0.751872	0.980975	0.408953	1.71408	0.567226	1.22753	0.803385	0.91	0.942407	1.09526
0.376844	2.32652	0.287637	2.5706	0.716651	2.06495	0.570968	1.44324	0.753038	0.997027	0.410968	1.70523	0.568687	1.25038	0.804455	0.906036	0.943706	1.10852
0.379597	2.3445	0.290667	2.57118	0.714209	2.0799	0.572664	1.43555	0.754222	1.013	0.412972	1.69656	0.570174	1.27301	0.805521	0.902186	0.94502	1.12164
0.38237	2.36125	0.293698	2.57168	0.711749	2.09508	0.574351	1.42793	0.755426	1.02893	0.414967	1.68809	0.571687	1.2955	0.806582	0.898467	0.94635	1.13468
0.385162	2.37684	0.296729	2.57212	0.709271	2.11041	0.57603	1.42035	0.756648	1.04485	0.416951	1.67979	0.573227	1.31776	0.807638	0.894813	0.947695	1.14753
0.387972	2.39137	0.29976	2.57252	0.706775	2.12585	0.577699	1.41279	0.757888	1.06071	0.418926	1.67168	0.574793	1.33981	0.808691	0.891265	0.949055	1.16026
0.390799	2.40494	0.302792	2.57287	0.70426	2.14135	0.579359	1.40531	0.759148	1.07652	0.420891	1.66382	0.576385	1.3616	0.809739	0.887843	0.95043	1.17285
0.393641	2.41758	0.305825	2.57308	0.701727	2.15689	0.581011	1.39795	0.760426	1.09222	0.422848	1.65619	0.578002	1.38315	0.810784	0.884521	0.951819	1.18522
0.396497	2.42936	0.308857	2.57329	0.699176	2.17236	0.582654	1.3906	0.761722	1.10788	0.424795	1.64883	0.579645	1.40444	0.811824	0.881358	0.953223	1.19745
0.399367	2.4403	0.31189	2.57344	0.696607	2.18771	0.584289	1.3833	0.763037	1.12343	0.426734	1.6417	0.581313	1.42541	0.812861	0.878312	0.954641	1.20953
0.402249	2.45053	0.314923	2.57351	0.69402	2.20296	0.585915	1.37618	0.76437	1.1389	0.428665	1.63484	0.583005	1.44615	0.813894	0.875397	0.956074	1.22144
