Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3		Asym4	
331  Points		373  Points		331  Points		316  Points		230  Points		344  Points		292  Points		216  Points		86  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.353553	-0.00762812	0.000159163	0.200551	1.00176	2.23593	0.469824	0.0408829	0.707107	0.00705142	0.176785	0.0796983	0.530332	0.00917306	0.883883	-0.0022098	0.939639	0.0258467
0.353544	-0.0122514	0.000395515	0.245053	0.999129	2.23901	0.469873	0.0587856	0.707115	0.011944	0.176879	0.123455	0.530342	0.0136369	0.883881	-0.00343011	0.939669	0.0360155
0.353524	-0.0215071	0.000736759	0.333515	0.996487	2.24525	0.469963	0.0945495	0.707135	0.0217145	0.177076	0.210634	0.530364	0.0224873	0.883875	-0.00584594	0.939724	0.056341
0.353493	-0.0306436	0.00118162	0.420789	0.993837	2.25171	0.470096	0.130188	0.707167	0.031441	0.177376	0.297028	0.530395	0.0313258	0.883867	-0.00826061	0.939802	0.0766308
0.353452	-0.0396146	0.00172857	0.506715	0.99118	2.25834	0.47027	0.165651	0.707209	0.0411529	0.177776	0.382364	0.530438	0.0402139	0.883856	-0.0105997	0.939904	0.096849
0.3534	-0.0484015	0.00237596	0.59097	0.988514	2.26509	0.470486	0.200907	0.707264	0.0509086	0.178277	0.466391	0.53049	0.0491276	0.883842	-0.0128609	0.94003	0.116924
0.353338	-0.0568932	0.0031215	0.673346	0.985841	2.27199	0.470743	0.235897	0.707329	0.0606789	0.178876	0.548899	0.530553	0.0580195	0.883825	-0.0150396	0.94018	0.136932
0.353266	-0.0651609	0.00396305	0.75365	0.983159	2.27905	0.471042	0.270574	0.707407	0.0704049	0.179571	0.62954	0.530627	0.0668679	0.883806	-0.0171264	0.940353	0.156881
0.353184	-0.0731268	0.00489787	0.831715	0.980469	2.28621	0.471381	0.304919	0.707495	0.0801891	0.18036	0.70813	0.530711	0.0757754	0.883785	-0.0191027	0.94055	0.176637
0.353093	-0.0806358	0.00592342	0.907424	0.977771	2.29343	0.471761	0.338891	0.707596	0.0899429	0.18124	0.784599	0.530805	0.0847283	0.883761	-0.0209313	0.940769	0.196226
0.352994	-0.0878168	0.00703669	0.98062	0.975063	2.30077	0.47218	0.372484	0.707707	0.0997095	0.182209	0.858727	0.530911	0.0936252	0.883736	-0.0226111	0.941012	0.215703
0.352886	-0.0945617	0.00823476	1.05128	0.972348	2.30819	0.472639	0.405613	0.707831	0.109501	0.183264	0.930372	0.531026	0.102557	0.883708	-0.0241395	0.941278	0.235027
0.352771	-0.1008	0.00951458	1.11935	0.969623	2.31564	0.473136	0.438253	0.707965	0.11927	0.184402	0.999467	0.531152	0.111558	0.883679	-0.0255119	0.941566	0.25412
0.352649	-0.106613	0.0108731	1.18476	0.96689	2.32315	0.473672	0.470427	0.708112	0.129068	0.18562	1.06603	0.531289	0.120477	0.883648	-0.0267185	0.941877	0.273043
0.35252	-0.111866	0.0123071	1.24751	0.964147	2.33068	0.474245	0.502037	0.70827	0.138847	0.186744	1.12193	0.531436	0.129454	0.883616	-0.02774	0.94221	0.291772
0.352385	-0.116586	0.0138135	1.3077	0.961396	2.33821	0.474855	0.533103	0.708439	0.148666	0.187746	1.16798	0.531594	0.138472	0.883583	-0.028538	0.942564	0.310261
0.352245	-0.120753	0.0153893	1.36523	0.958636	2.34572	0.475501	0.563667	0.70862	0.158489	0.188605	1.205	0.531763	0.1475	0.883549	-0.0291818	0.942941	0.328563
0.3521	-0.124325	0.0170314	1.42015	0.955867	2.35319	0.476183	0.593595	0.708813	0.168319	0.189303	1.23363	0.531942	0.156547	0.883514	-0.0295905	0.943339	0.346637
0.351952	-0.127368	0.0187367	1.47265	0.95309	2.36066	0.4769	0.622909	0.709017	0.178167	0.189827	1.25402	0.532132	0.165558	0.883479	-0.0298221	0.943758	0.364474
0.3518	-0.129791	0.0205025	1.52271	0.950303	2.36807	0.477652	0.651653	0.709233	0.188046	0.190167	1.267	0.532332	0.174645	0.883444	-0.0298457	0.944198	0.382057
0.351646	-0.131563	0.0223257	1.57039	0.947508	2.37541	0.478436	0.679772	0.70946	0.197918	0.190661	1.28554	0.532543	0.183737	0.883408	-0.0295999	0.944658	0.399425
0.35149	-0.132761	0.0242039	1.61581	0.944704	2.38268	0.479254	0.707298	0.709699	0.207774	0.191206	1.30514	0.532765	0.192838	0.883374	-0.0291816	0.945139	0.416584
0.351333	-0.133328	0.0261342	1.65897	0.941892	2.38984	0.480104	0.734153	0.70995	0.217671	0.191961	1.33137	0.532998	0.202033	0.88334	-0.0285648	0.94564	0.433469
0.351176	-0.133289	0.0281141	1.7001	0.939071	2.39691	0.480984	0.760396	0.710212	0.227578	0.192936	1.36366	0.533241	0.211194	0.883306	-0.0276973	0.946161	0.4501
0.351019	-0.132625	0.0301414	1.73921	0.936242	2.40387	0.481896	0.786002	0.710486	0.237503	0.194147	1.40142	0.533496	0.22036	0.883274	-0.0266216	0.946701	0.466518
0.350863	-0.131297	0.0322135	1.77635	0.933405	2.41069	0.482837	0.810994	0.710772	0.247467	0.195609	1.44396	0.533761	0.22961	0.883244	-0.025349	0.947261	0.482653
0.35071	-0.129373	0.0343283	1.81166	0.93056	2.41744	0.483807	0.835342	0.711069	0.257433	0.197339	1.4906	0.534037	0.238882	0.883215	-0.0238292	0.947839	0.498591
0.350558	-0.126844	0.0364836	1.84522	0.927707	2.42405	0.484806	0.859064	0.711379	0.267405	0.199122	1.53497	0.534324	0.248125	0.883188	-0.022108	0.948436	0.514281
0.350411	-0.12369	0.0386775	1.87712	0.924847	2.43046	0.485832	0.882192	0.7117	0.277388	0.200957	1.57705	0.534622	0.257454	0.883163	-0.0202037	0.949051	0.529693
0.350267	-0.119946	0.040908	1.90744	0.921979	2.43677	0.486885	0.904643	0.712032	0.287392	0.202839	1.61694	0.534931	0.266811	0.88314	-0.0180796	0.949684	0.544918
0.350128	-0.115608	0.0431734	1.93628	0.919103	2.44293	0.487964	0.926547	0.712377	0.297439	0.204768	1.65476	0.535251	0.276151	0.88312	-0.0157358	0.950335	0.559912
0.349994	-0.110666	0.0454719	1.96365	0.916221	2.44897	0.489069	0.947869	0.712734	0.3075	0.20674	1.69059	0.535582	0.285601	0.883103	-0.0132453	0.951004	0.574667
0.349867	-0.105176	0.0478018	1.98969	0.913331	2.45481	0.490199	0.968542	0.713102	0.317587	0.208752	1.72451	0.535924	0.295053	0.883089	-0.010535	0.95169	0.589161
0.349746	-0.099105	0.0501616	2.0145	0.910435	2.46049	0.491352	0.988648	0.713482	0.327654	0.210804	1.75659	0.536277	0.304508	0.883078	-0.0076045	0.952393	0.603428
