Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
479  Points		492  Points		480  Points		270  Points		136  Points		409  Points		154  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.263944	3.2967	0.0656756	2.2681	0.246575	4.59498	0.356861	5.3397	0.44406	5.34932	0.329328	6.49253	0.496127	3.50341
0.2669	3.05878	0.0677884	2.2672	0.248623	4.456	0.361948	5.57288	0.449081	5.428	0.335373	6.48135	0.499413	3.5501
0.269643	2.83913	0.0699003	2.2662	0.251123	4.28046	0.367245	5.78853	0.454175	5.50356	0.341406	6.46626	0.502743	3.59573
0.272191	2.63853	0.0720112	2.26515	0.254012	4.06987	0.372734	5.98537	0.459337	5.57623	0.347422	6.4472	0.506114	3.6404
0.27456	2.45699	0.0741211	2.26407	0.257217	3.82758	0.378398	6.16307	0.464565	5.64614	0.353419	6.4241	0.509526	3.68432
0.276769	2.29393	0.07623	2.26302	0.260655	3.55914	0.384219	6.32189	0.469858	5.71337	0.359393	6.39687	0.512979	3.72772
0.278834	2.14828	0.078338	2.26195	0.263849	3.30426	0.390178	6.4625	0.475212	5.77818	0.365339	6.36547	0.516472	3.77079
0.280772	2.01885	0.0804449	2.26086	0.266812	3.06585	0.396261	6.58602	0.480625	5.84063	0.371254	6.32986	0.520005	3.81371
0.282596	1.90427	0.0825509	2.25984	0.269562	2.84565	0.402451	6.69377	0.486095	5.90086	0.377134	6.28991	0.523579	3.8567
0.28432	1.80307	0.0846559	2.25882	0.272115	2.64443	0.408734	6.78694	0.49162	5.95906	0.382975	6.24553	0.527192	3.90006
0.285956	1.71389	0.0867599	2.2578	0.27449	2.46227	0.415097	6.86686	0.497199	6.01534	0.388772	6.19669	0.530846	3.94401
0.287514	1.63544	0.088863	2.25677	0.276703	2.29864	0.42153	6.93486	0.502829	6.06981	0.394522	6.14318	0.534541	3.98876
0.289004	1.56651	0.0909652	2.25582	0.278773	2.15252	0.42802	6.99205	0.508509	6.12258	0.400219	6.085	0.538279	4.03454
0.290433	1.50598	0.0930665	2.25494	0.280714	2.02262	0.434558	7.03941	0.514238	6.17376	0.40586	6.02212	0.542059	4.08164
0.29181	1.45289	0.095167	2.25403	0.282542	1.90758	0.441137	7.07789	0.520014	6.22355	0.411441	5.95436	0.545884	4.13028
0.29314	1.40642	0.0972667	2.25317	0.284269	1.806	0.447747	7.10834	0.525835	6.27199	0.416956	5.88182	0.549755	4.18062
0.29443	1.36576	0.0993656	2.25237	0.285907	1.71647	0.454383	7.13145	0.531701	6.31915	0.422401	5.80442	0.553674	4.23289
0.295685	1.33021	0.101464	2.25153	0.287467	1.63768	0.461036	7.14785	0.53761	6.3652	0.427772	5.72221	0.557643	4.28726
0.296909	1.29918	0.103561	2.25075	0.288959	1.56851	0.467702	7.1581	0.543562	6.41021	0.433064	5.63527	0.561663	4.34384
0.298106	1.27221	0.105658	2.25003	0.29039	1.50774	0.474374	7.16256	0.549555	6.45422	0.438272	5.54364	0.565737	4.40273
0.29928	1.24882	0.107754	2.24933	0.291768	1.4544	0.481048	7.16173	0.555588	6.49736	0.443394	5.44755	0.569867	4.46391
0.300433	1.22853	0.109849	2.24866	0.2931	1.40773	0.487719	7.15591	0.561662	6.53969	0.448423	5.34728	0.574055	4.52744
0.301569	1.21111	0.111944	2.24799	0.294391	1.36693	0.494383	7.14535	0.567774	6.58127	0.452729	5.25667	0.578304	4.59327
0.30269	1.19619	0.114038	2.24737	0.295647	1.33122	0.501034	7.13039	0.573925	6.62218	0.45634	5.17709	0.582614	4.66121
0.303798	1.18349	0.116132	2.2468	0.296872	1.30007	0.507669	7.11116	0.580114	6.6624	0.459284	5.10984	0.586989	4.73118
0.304895	1.17281	0.118225	2.24622	0.29807	1.273	0.514285	7.08786	0.58634	6.70204	0.461584	5.05592	0.59143	4.80285
0.305983	1.16391	0.120317	2.24564	0.299244	1.2495	0.520877	7.06067	0.592603	6.74111	0.46326	5.01556	0.595939	4.87596
0.307064	1.15657	0.122409	2.24513	0.300398	1.22915	0.527442	7.02974	0.598901	6.77956	0.464325	4.9896	0.600516	4.95025
0.308139	1.15067	0.124501	2.24465	0.301534	1.21161	0.533976	6.99519	0.605235	6.8175	0.465847	4.95208	0.605163	5.02529
0.309208	1.14614	0.126592	2.24416	0.302656	1.19662	0.540476	6.95714	0.611605	6.85491	0.467488	4.91083	0.60988	5.10068
