Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3		Asym4	
486  Points		495  Points		317  Points		169  Points		153  Points		425  Points		426  Points		202  Points		153  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.18828	6.15173	0.0432587	1.59001	0.301159	10.0621	0.384148	12.7097	0.58443	19.5962	0.239165	7.86432	0.236398	7.91946	0.451052	14.7189	0.675567	22.4362
0.193156	6.12462	0.0445416	1.60343	0.302851	9.81318	0.387232	12.4286	0.585989	19.0532	0.243786	7.77795	0.240999	7.82922	0.452893	14.3429	0.676381	21.789
0.197919	6.09557	0.046096	1.61905	0.304657	9.58241	0.390389	12.1661	0.58759	18.5436	0.248435	7.69749	0.245631	7.74528	0.454777	13.9898	0.67723	21.1807
0.20256	6.06448	0.0479233	1.63656	0.306584	9.36848	0.393615	11.9206	0.589233	18.0642	0.253112	7.62234	0.250292	7.667	0.456703	13.6576	0.678116	20.6079
0.207071	6.03128	0.0500242	1.65563	0.308641	9.17025	0.39691	11.6905	0.590917	17.6128	0.257811	7.55198	0.254978	7.59381	0.458669	13.3446	0.67904	20.0678
0.211443	5.99591	0.0521289	1.67368	0.310835	8.98668	0.400272	11.4746	0.592641	17.1869	0.262532	7.48594	0.259686	7.52522	0.460676	13.0492	0.680001	19.5577
0.215668	5.95831	0.0542366	1.69077	0.313175	8.81683	0.4037	11.2718	0.594405	16.7845	0.26727	7.42382	0.264414	7.46079	0.462722	12.7702	0.681001	19.0753
0.219741	5.91848	0.0563466	1.70697	0.315667	8.65984	0.40719	11.081	0.596208	16.4039	0.272023	7.36524	0.269158	7.40011	0.464806	12.5061	0.68204	18.6185
0.223654	5.87643	0.0584585	1.72234	0.318318	8.51493	0.410743	10.9013	0.59805	16.0433	0.276788	7.30987	0.273917	7.34285	0.466929	12.256	0.683119	18.1854
0.227405	5.8322	0.0605717	1.73692	0.321132	8.38133	0.414356	10.7318	0.599931	15.7013	0.280949	7.26401	0.278073	7.29548	0.469089	12.0188	0.684237	17.7743
0.23099	5.78588	0.0626859	1.75077	0.324114	8.25833	0.418028	10.5718	0.60185	15.3766	0.284501	7.22652	0.281621	7.2568	0.471286	11.7935	0.685396	17.3837
0.234407	5.73759	0.0648008	1.76394	0.327265	8.14526	0.421757	10.4206	0.603807	15.0679	0.287441	7.19657	0.284559	7.22593	0.473519	11.5794	0.686596	17.0121
0.237658	5.68746	0.0669161	1.77646	0.330585	8.04143	0.425541	10.2775	0.6058	14.7742	0.289767	7.17352	0.286883	7.20218	0.475788	11.3758	0.687837	16.6583
0.240746	5.6357	0.0690316	1.78839	0.334074	7.94619	0.42938	10.142	0.60783	14.4943	0.291477	7.15691	0.288593	7.18509	0.478093	11.1818	0.68912	16.3211
0.243674	5.58248	0.0711469	1.79975	0.337726	7.8589	0.433272	10.0136	0.609896	14.2275	0.292572	7.14643	0.289687	7.1743	0.480433	10.9969	0.690445	15.9994
0.246448	5.52805	0.073262	1.81058	0.341537	7.77894	0.437215	9.89169	0.611998	13.9729	0.294146	7.13155	0.291261	7.15899	0.482808	10.8205	0.691812	15.6923
0.249076	5.47262	0.0753768	1.82092	0.345502	7.70571	0.441208	9.77596	0.614136	13.7296	0.295857	7.11563	0.292972	7.14263	0.485218	10.6521	0.693223	15.3989
0.251565	5.41642	0.077491	1.83079	0.34961	7.63862	0.44525	9.66598	0.616308	13.497	0.298184	7.09438	0.295299	7.1208	0.487662	10.4911	0.694677	15.1183
