Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym3		Asym4	
484  Points		494  Points		484  Points		303  Points		159  Points		145  Points		421  Points		186  Points		144  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.190624	5.65132	0.0422664	2.24475	0.160873	6.16747	0.305789	2.02551	0.38379	3.41803	0.587173	1.85078	0.242174	5.27687	0.453518	2.16805	0.677379	0.887063
0.195832	5.52465	0.0438218	2.24939	0.166585	6.09024	0.307736	2.15988	0.387017	3.50908	0.588921	1.90142	0.247109	5.31387	0.455562	2.21948	0.678225	0.929545
0.200918	5.38716	0.0456501	2.25401	0.172222	6.00523	0.309814	2.30506	0.390328	3.59779	0.590716	1.95135	0.252076	5.34693	0.457654	2.26974	0.679111	0.972832
0.205871	5.23861	0.0477524	2.25834	0.177775	5.91178	0.312032	2.46101	0.393721	3.68417	0.592557	2.00061	0.257072	5.3762	0.459791	2.31886	0.680037	1.01693
0.21068	5.07906	0.0498583	2.26186	0.183238	5.80925	0.3144	2.62745	0.397193	3.76816	0.594444	2.04926	0.262094	5.40194	0.461975	2.36691	0.681006	1.06176
0.215335	4.90892	0.0519671	2.26464	0.1886	5.69697	0.316928	2.80382	0.400743	3.84978	0.596376	2.09726	0.267138	5.42426	0.464202	2.41388	0.682016	1.10732
0.219827	4.72905	0.0540782	2.26673	0.193853	5.57436	0.319624	2.98914	0.404367	3.92917	0.598352	2.14462	0.272201	5.44326	0.466473	2.45984	0.683069	1.15364
0.224147	4.54055	0.0561909	2.26829	0.198987	5.44106	0.322498	3.18186	0.408064	4.00628	0.600372	2.1913	0.277281	5.459	0.468786	2.5048	0.684166	1.20063
0.228288	4.34504	0.0583049	2.26939	0.203992	5.29678	0.325553	3.38009	0.411832	4.08112	0.602435	2.23728	0.282373	5.47167	0.47114	2.54889	0.685306	1.24833
0.232244	4.14459	0.0604197	2.27009	0.208857	5.14139	0.328796	3.58172	0.415669	4.1538	0.604541	2.28265	0.287477	5.48131	0.473535	2.59209	0.686492	1.29678
0.236011	3.94139	0.062535	2.27044	0.213573	4.97523	0.332227	3.78431	0.419572	4.2244	0.606689	2.3274	0.292587	5.48794	0.47597	2.63448	0.687723	1.34585
0.239588	3.73793	0.0646504	2.27055	0.218128	4.79894	0.335848	3.9853	0.423541	4.29286	0.608878	2.37148	0.297703	5.49167	0.478444	2.67618	0.689	1.39557
0.242976	3.53675	0.0667659	2.27045	0.222515	4.61361	0.339654	4.18226	0.427572	4.35932	0.611108	2.4149	0.30282	5.49254	0.480957	2.71718	0.690323	1.44595
0.246178	3.3402	0.0688811	2.27015	0.226725	4.4206	0.343641	4.37286	0.431664	4.42383	0.613378	2.45771	0.307938	5.49053	0.483507	2.75757	0.691694	1.4969
0.2492	3.15043	0.070996	2.26963	0.230752	4.22174	0.347802	4.55506	0.435815	4.48642	0.615688	2.4999	0.313051	5.4858	0.486095	2.79749	0.693112	1.54849
0.252049	2.96929	0.0731103	2.26904	0.234592	4.01929	0.352129	4.72743	0.440024	4.54722	0.618036	2.54145	0.317503	5.47943	0.48872	2.83697	0.694579	1.60069
0.254733	2.79817	0.0752241	2.26834	0.238242	3.81568	0.356611	4.88869	0.444288	4.6062	0.620423	2.58241	0.321293	5.47232	0.491382	2.87617	0.696095	1.65337
0.257263	2.63802	0.0773371	2.26752	0.241702	3.61331	0.361238	5.03806	0.448607	4.66352	0.622848	2.62282	0.324424	5.4653	0.49408	2.91516	0.69766	1.70659
