Minima		Zeros		Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
8  Points		7  Points		481  Points		493  Points		481  Points		280  Points		143  Points		413  Points		163  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
				0.242889	6.80388	0.0566768	1.77431	0.221768	7.05133	0.336322	9.32513	0.42105	11.7514	0.299324	8.33062	0.481492	13.3441
				0.246876	6.73966	0.0587924	1.78838	0.224879	7.02244	0.340253	9.19656	0.425471	11.5738	0.305071	8.27595	0.484391	13.0865
				0.250624	6.67226	0.0609079	1.80167	0.228536	6.98567	0.344414	9.08036	0.429971	11.4071	0.310821	8.22408	0.487335	12.8428
				0.254135	6.602	0.0630231	1.81424	0.232674	6.93993	0.348801	8.97554	0.434546	11.2504	0.316571	8.1747	0.490323	12.6119
				0.257419	6.52926	0.0651379	1.82614	0.237212	6.88398	0.353404	8.88108	0.439194	11.103	0.322318	8.12756	0.493353	12.3928
				0.260483	6.45445	0.0672519	1.83741	0.241517	6.82438	0.358214	8.796	0.443912	10.964	0.328058	8.08243	0.496424	12.1848
				0.263341	6.37802	0.0693653	1.84811	0.245583	6.76128	0.363216	8.71935	0.448698	10.8329	0.333789	8.03909	0.499536	11.9871
				0.266006	6.30041	0.0714778	1.85826	0.24941	6.6949	0.368397	8.65025	0.45355	10.7092	0.339507	7.99734	0.502689	11.7989
				0.268495	6.22205	0.0735895	1.86792	0.252999	6.62555	0.37374	8.58784	0.458464	10.5922	0.345208	7.95701	0.50588	11.6197
				0.270821	6.14332	0.0757002	1.8771	0.256357	6.55358	0.379231	8.53137	0.463439	10.4815	0.35089	7.91793	0.509111	11.4489
				0.273001	6.06459	0.0778099	1.88585	0.259492	6.47941	0.384854	8.48012	0.468473	10.3767	0.356548	7.87995	0.512381	11.286
				0.275048	5.98618	0.0799188	1.89419	0.262417	6.40347	0.390594	8.43346	0.473564	10.2774	0.36218	7.84292	0.51569	11.1304
				0.276978	5.90836	0.0820266	1.90214	0.265145	6.3262	0.396438	8.39084	0.478709	10.1831	0.367782	7.80672	0.519037	10.9819
				0.278801	5.83136	0.0841336	1.90974	0.26769	6.24804	0.402372	8.35175	0.483907	10.0937	0.37335	7.77122	0.522424	10.8398
				0.28053	5.75537	0.0862394	1.917	0.270068	6.16939	0.408385	8.31574	0.489157	10.0087	0.378881	7.73632	0.525851	10.704
				0.282176	5.68056	0.0883445	1.92394	0.272295	6.09062	0.414466	8.28244	0.494457	9.92783	0.384371	7.70189	0.529318	10.574
				0.283749	5.60705	0.0904485	1.93059	0.274385	6.01208	0.420605	8.25149	0.499805	9.85092	0.389816	7.66785	0.532826	10.4496
				0.285256	5.53493	0.0925516	1.93697	0.276351	5.93403	0.426793	8.22259	0.505199	9.7777	0.395213	7.6341	0.536376	10.3305
				0.286705	5.46427	0.0946539	1.94307	0.278208	5.85674	0.433022	8.19549	0.51064	9.70794	0.400558	7.60055	0.53997	10.2164
				0.288104	5.39513	0.0967553	1.94894	0.279968	5.7804	0.439284	8.16994	0.516124	9.64143	0.405846	7.56712	0.543609	10.1071
				0.289459	5.32754	0.0988559	1.95457	0.28164	5.70518	0.445573	8.14575	0.521652	9.578	0.410406	7.53802	0.547293	10.0023
				0.290774	5.26152	0.100956	1.95998	0.283236	5.63123	0.451882	8.12273	0.527223	9.51746	0.414255	7.51321	0.551025	9.90191
				0.292054	5.19707	0.103055	1.96518	0.284764	5.55864	0.458205	8.10073	0.532834	9.45965	0.41741	7.49266	0.554807	9.8057
				0.293304	5.1342	0.105153	1.97019	0.286232	5.48749	0.464538	8.0796	0.538486	9.40443	0.419887	7.47639	0.55864	9.71349
				0.294528	5.07289	0.10725	1.97501	0.287647	5.41784	0.470875	8.05922	0.544177	9.35166	0.421697	7.4644	0.562526	9.62512
				0.295729	5.01312	0.109347	1.97966	0.289015	5.34973	0.477212	8.03948	0.549907	9.3012	0.422851	7.45671	0.566466	9.54045
				0.29691	4.95488	0.111443	1.98414	0.290342	5.28319	0.483544	8.02027	0.555674	9.25294	0.424503	7.44565	0.570463	9.45934
				0.298074	4.89814	0.113539	1.98846	0.291634	5.21822	0.489867	8.0015	0.561479	9.20677	0.42629	7.4336	0.574518	9.38164
				0.299222	4.84287	0.115634	1.99264	0.292894	5.15483	0.496178	7.98309	0.567321	9.16258	0.428704	7.41718	0.578633	9.30723
				0.300358	4.78904	0.117728	1.99667	0.294126	5.09301	0.502473	7.96498	0.573199	9.12027	0.431731	7.39632	0.582809	9.23599
				0.301483	4.73661	0.119822	2.00057	0.295334	5.03273	0.508748	7.94708	0.579112	9.07975	0.435353	7.37095	0.587048	9.1678
				0.302598	4.68555	0.121915	2.00434	0.296521	4.97399	0.515001	7.92935	0.58506	9.04095	0.439543	7.34099	0.591349	9.10254
				0.303706	4.63583	0.124007	2.00798	0.29769	4.91676	0.521227	7.91172	0.591042	9.00376	0.444272	7.30628	0.595716	9.04009
				0.304808	4.58741	0.1261	2.01151	0.298843	4.861	0.527425	7.89415	0.597059	8.96813	0.448914	7.2712	0.600146	8.98036
				0.305905	4.54025	0.128191	2.01493	0.299983	4.8067	0.53359	7.87659	0.603109	8.93397	0.453465	7.23572	0.604642	8.92323
				0.306998	4.49432	0.130282	2.01824	0.301112	4.75381	0.53972	7.85899	0.609191	8.90122	0.457922	7.19982	0.609202	8.86858
				0.308088	4.44959	0.132373	2.02145	0.30223	4.7023	0.545813	7.84133	0.615306	8.86982	0.462285	7.16347	0.613826	8.81632
				0.309176	4.40601	0.134463	2.02457	0.30334	4.65214	0.551865	7.82356	0.621452	8.8397	0.46655	7.12667	0.618514	8.76634
				0.310263	4.36357	0.136553	2.02759	0.304444	4.60329	0.557874	7.80565	0.62763	8.8108	0.470716	7.08941	0.623263	8.71853
				0.31135	4.32221	0.138642	2.03053	0.305542	4.55572	0.563838	7.78757	0.633838	8.78307	0.474782	7.0517	0.628074	8.67279
				0.312436	4.28192	0.140732	2.03338	0.306636	4.50939	0.568996	7.77167	0.640075	8.75646	0.478748	7.01355	0.632943	8.62901
				0.313524	4.24266	0.14282	2.03614	0.307727	4.46426	0.573363	7.75798	0.646342	8.7309	0.482612	6.97496	0.63787	8.5871
				0.314614	4.20439	0.144909	2.03884	0.308816	4.42031	0.576953	7.74657	0.652637	8.70636	0.486376	6.93596	0.642851	8.54696
				0.315705	4.16709	0.146997	2.04145	0.309903	4.37749	0.579778	7.73748	0.658959	8.68278	0.490039	6.89657	0.647884	8.50848
				0.316799	4.13073	0.149084	2.044	0.31099	4.33578	0.581847	7.73075	0.665307	8.66011	0.493603	6.85682	0.652967	8.47158
				0.317895	4.09528	0.151172	2.04648	0.312077	4.29514	0.583167	7.72644	0.67168	8.63831	0.497069	6.81673	0.658097	8.43616
				0.318995	4.06071	0.153259	2.04889	0.313164	4.25554	0.58506	7.7202	0.678078	8.61733	0.500437	6.77635	0.663272	8.40214
				0.320099	4.027	0.155345	2.05123	0.314253	4.21695	0.587111	7.7134	0.684498	8.59713	0.503711	6.7357	0.668487	8.36942
				0.321206	3.99411	0.157432	2.05352	0.315344	4.17933	0.589888	7.70408	0.69094	8.57767	0.506892	6.69482	0.67374	8.33793
				0.322318	3.96203	0.159518	2.05575	0.316437	4.14266	0.593381	7.69221	0.697403	8.5589	0.509982	6.65376	0.679028	8.30758
				0.323434	3.93073	0.161604	2.05792	0.317532	4.10691	0.597576	7.6777	0.703884	8.54078	0.512984	6.61255	0.684347	8.27831
				0.324555	3.90019	0.16369	2.06004	0.318631	4.07205	0.602455	7.66047	0.710383	8.52328	0.515901	6.57123	0.689696	8.25002
				0.325681	3.87039	0.165775	2.06211	0.319733	4.03806	0.607996	7.64041	0.716897	8.50635	0.518735	6.52984	0.695069	8.22266
				0.326811	3.84129	0.16786	2.06412	0.320839	4.0049	0.613474	7.62003	0.723425	8.48996	0.52149	6.48841	0.700466	8.19616
				0.327947	3.81289	0.169945	2.06609	0.32195	3.97256	0.618887	7.59932	0.729966	8.47406	0.524167	6.44699	0.705882	8.17046
				0.328941	3.78869	0.17203	2.06801	0.323064	3.94101	0.624234	7.57828	0.736517	8.45862	0.526771	6.40561	0.711314	8.1455
				0.329792	3.76844	0.174115	2.06989	0.324183	3.91022	0.629513	7.5569	0.743076	8.4436	0.529304	6.36431	0.71676	8.12121
				0.330498	3.75197	0.176199	2.07172	0.325307	3.88017	0.634724	7.53518	0.749642	8.42898	0.531768	6.32311	0.722216	8.09755
				0.331058	3.73912	0.178283	2.07351	0.326436	3.85084	0.639865	7.51311	0.756212	8.4147	0.534168	6.28204	0.72768	8.07446
				0.33147	3.72976	0.180367	2.07526	0.327571	3.82221	0.644935	7.49069	0.762785	8.40074	0.536505	6.24114	0.732445	8.05478
				0.331735	3.72381	0.182451	2.07697	0.32871	3.79426	0.649934	7.46794	0.769357	8.38706	0.538783	6.20044	0.73651	8.03829
				0.332115	3.71532	0.184534	2.07864	0.329855	3.76697	0.654859	7.44484	0.775926	8.37363	0.541003	6.15995	0.73987	8.02485
				0.33253	3.70615	0.186618	2.08028	0.331006	3.74031	0.659712	7.42139	0.782491	8.36041	0.54317	6.11969	0.742528	8.01433
				0.333094	3.69382	0.188701	2.08188	0.332162	3.71427	0.664491	7.39762	0.789049	8.34738	0.545285	6.0797	0.744481	8.00666
				0.33381	3.67841	0.190784	2.08345	0.333324	3.68884	0.669195	7.37351	0.795597	8.33451	0.54735	6.03999	0.745731	8.00178
				0.334679	3.66008	0.192867	2.08498	0.334493	3.66399	0.673825	7.34908	0.802133	8.32175	0.549369	6.00057	0.747528	7.99479
				0.335703	3.63896	0.19495	2.08648	0.335667	3.6397	0.67838	7.32433	0.808653	8.30909	0.551343	5.96147	0.74948	7.98725
				0.336884	3.61524	0.197033	2.08795	0.336847	3.61597	0.68286	7.29927	0.815157	8.29648	0.553275	5.92269	0.752134	7.97706
				0.33807	3.59206	0.199115	2.08939	0.338033	3.59277	0.687265	7.27392	0.82164	8.28392	0.555166	5.88425	0.755488	7.96429
