Minima		Zeros		Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
8  Points		7  Points		481  Points		493  Points		481  Points		280  Points		143  Points		413  Points		163  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.330246	4.43573	0.331735	4.44329	0.00221896	7.54168	0.000237818	0.420095	0.00200141	7.54169	0.27953	0.11251	0.335232	0.104638	0.139813	0.420426	0.419288	0.123015
0.0343535	24.4414	0.0347834	24.7773	0.0092455	7.54073	0.000629218	0.516758	0.00902797	7.54076	0.279635	0.158639	0.335329	0.159486	0.140205	0.615733	0.419402	0.173071
0.214199	19.8668	0.215632	20.1538	0.0162703	7.53801	0.00120074	0.7056	0.0160528	7.53813	0.279826	0.250296	0.335529	0.269609	0.14096	1.00229	0.41961	0.272996
0.582233	8.90186	0.583167	8.91733	0.0232918	7.53383	0.00194403	0.884506	0.0230744	7.53397	0.280102	0.340519	0.335832	0.380726	0.142072	1.37923	0.419911	0.372649
0.86406	9.93367	0.861876	9.96222	0.0303087	7.52811	0.00284892	1.05174	0.0300915	7.52829	0.280461	0.428828	0.336239	0.493168	0.14353	1.74355	0.420304	0.471908
0.423083	8.18959	0.422851	8.13572	0.0373196	7.52076	0.00390383	1.20603	0.0371026	7.52103	0.280901	0.514697	0.336751	0.607237	0.145321	2.09264	0.42079	0.570668
0.744698	9.51567	0.745731	8.84888	0.0443228	7.51178	0.00509623	1.34675	0.0441061	7.51207	0.28142	0.597813	0.33737	0.723241	0.14743	2.42468	0.421368	0.668873
0.857429	9.72705			0.0513169	7.50106	0.00641335	1.47371	0.0511005	7.50141	0.282015	0.67784	0.338098	0.841504	0.149839	2.73852	0.422037	0.766333
				0.0583002	7.48849	0.00784233	1.58716	0.0580842	7.48894	0.282683	0.754469	0.338938	0.962161	0.152533	3.03345	0.422796	0.863034
				0.0652709	7.47398	0.00937085	1.68771	0.0650553	7.47448	0.283421	0.827601	0.339891	1.08541	0.155492	3.30925	0.423645	0.958878
				0.0722272	7.4574	0.0109872	1.7761	0.072012	7.45794	0.284225	0.897107	0.340961	1.21135	0.158699	3.56621	0.424583	1.05374
				0.079167	7.43853	0.0126804	1.85327	0.0789524	7.43913	0.285092	0.963098	0.342149	1.33989	0.162137	3.8048	0.425608	1.14752
				0.0860881	7.41725	0.0144406	1.92022	0.085874	7.41793	0.286019	1.02572	0.343457	1.47107	0.165789	4.02572	0.426721	1.24015
				0.0929882	7.39332	0.0162585	1.97795	0.0927749	7.39412	0.287003	1.08519	0.34489	1.60473	0.169639	4.22987	0.427919	1.33159
				0.0998647	7.36646	0.0181262	2.02749	0.0996522	7.36739	0.288042	1.14202	0.346448	1.74059	0.173671	4.41824	0.429202	1.42174
				0.106715	7.33648	0.0200365	2.06974	0.106503	7.33743	0.289131	1.19664	0.348133	1.87843	0.177872	4.5918	0.430568	1.5105
				0.113535	7.30297	0.021983	2.10568	0.113325	7.30404	0.290271	1.24971	0.349948	2.01787	0.182227	4.7515	0.432017	1.59785
				0.120323	7.26552	0.0239602	2.1361	0.120113	7.26676	0.29146	1.30202	0.351893	2.15847	0.186725	4.89834	0.433546	1.6837
				0.127074	7.22381	0.0259634	2.16165	0.126865	7.22517	0.292698	1.35442	0.35397	2.29978	0.191355	5.03322	0.435154	1.76797
				0.133784	7.1773	0.0279882	2.18314	0.133577	7.17882	0.293984	1.40787	0.356179	2.44141	0.196104	5.15702	0.43684	1.85065
				0.140448	7.12544	0.0297677	2.19898	0.140242	7.12713	0.295321	1.46342	0.358519	2.58281	0.200964	5.27058	0.438603	1.93172
				0.147061	7.06764	0.0312939	2.21058	0.146857	7.06954	0.296711	1.52224	0.360991	2.72343	0.205925	5.37459	0.44044	2.01102
				0.153618	7.00317	0.0325617	2.2191	0.153416	7.00526	0.298157	1.58546	0.363594	2.86287	0.210979	5.4698	0.44235	2.08861
				0.160111	6.93121	0.0335673	2.22501	0.159911	6.93354	0.299665	1.6544	0.366326	3.0007	0.216118	5.55681	0.444332	2.16447
				0.166533	6.85094	0.0343084	2.22908	0.166336	6.85359	0.30124	1.73033	0.369186	3.13647	0.221334	5.6362	0.446383	2.23848
				0.172877	6.76145	0.0347834	2.23148	0.172682	6.76437	0.30289	1.81464	0.37217	3.26979	0.22662	5.70848	0.448503	2.3107
				0.179133	6.66164	0.0354669	2.23472	0.17894	6.66489	0.304622	1.90879	0.375278	3.40035	0.231971	5.77417	0.450689	2.38109
				0.18529	6.5505	0.0362112	2.23809	0.185101	6.55411	0.306446	2.01402	0.378507	3.52794	0.23738	5.83368	0.45294	2.44965
				0.191339	6.42694	0.0372249	2.24217	0.191153	6.43093	0.308375	2.13168	0.381852	3.65233	0.242841	5.88738	0.455254	2.51639
				0.197266	6.28984	0.0385096	2.2468	0.197084	6.29464	0.310418	2.26308	0.385312	3.77329	0.24835	5.9356	0.457629	2.58131
				0.203059	6.13831	0.0400664	2.25159	0.202145	6.16439	0.312592	2.40928	0.388883	3.89076	0.253902	5.97864	0.460064	2.64436
				0.208704	5.97155	0.0418966	2.25629	0.206371	6.04428	0.314908	2.57101	0.392562	4.00465	0.259491	6.01683	0.462556	2.70563
				0.214186	5.78907	0.044001	2.26061	0.209801	5.93859	0.317382	2.74871	0.396346	4.11487	0.265113	6.05035	0.465105	2.76519
				0.219491	5.59089	0.046109	2.26398	0.212469	5.8508	0.32003	2.94226	0.40023	4.2215	0.270765	6.07945	0.467709	2.82293
				0.224604	5.37754	0.0482197	2.26647	0.214405	5.78375	0.322865	3.15086	0.404212	4.32452	0.276442	6.10434	0.470365	2.87901
				0.229512	5.15022	0.0503324	2.26827	0.215632	5.73967	0.325901	3.37308	0.408288	4.42392	0.28214	6.12511	0.473074	2.93346
				0.234201	4.91091	0.0524464	2.26949	0.217379	5.67482	0.32915	3.60668	0.412455	4.51981	0.287855	6.14189	0.475832	2.98625
				0.238663	4.66228	0.0545613	2.27029	0.219255	5.60236	0.332622	3.84857	0.41671	4.61228	0.293585	6.15488	0.478638	3.03757
				0.242889	4.40765	0.0566768	2.27065	0.221768	5.50046	0.336322	4.09526	0.42105	4.70141	0.299324	6.16414	0.481492	3.08746
				0.246876	4.15087	0.0587924	2.27065	0.224879	5.36671	0.340253	4.34286	0.425471	4.78732	0.305071	6.16971	0.484391	3.13599
				0.250624	3.89586	0.0609079	2.27043	0.228536	5.19804	0.344414	4.58719	0.429971	4.87008	0.310821	6.17163	0.487335	3.18323
