Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
494  Points		499  Points		365  Points		215  Points		179  Points		149  Points		444  Points		269  Points		190  Points		151  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00195346	5.28752	0.000342	0.161714	0.279507	347.294	0.329674	379.688	0.559029	677.041	0.838526	4083.41	0.139767	416.243	0.419271	674.583	0.65926	15072	0.69878	1090.93
0.0068795	5.28728	0.000706997	0.232066	0.2795	160.955	0.329819	183.236	0.559071	318.126	0.838538	737.472	0.13993	110.4	0.419311	269.962	0.659269	675.871	0.698821	444.478
0.0118044	5.28673	0.00119946	0.301506	0.279488	104.748	0.330066	120.829	0.559143	207.931	0.838567	405.352	0.140282	63.7884	0.419386	168.773	0.659296	345.7	0.698899	279.121
0.0167273	5.28586	0.00181563	0.369787	0.279474	77.6338	0.330412	90.1936	0.559245	154.454	0.838613	279.497	0.14082	44.978	0.419496	122.781	0.65934	232.258	0.699011	203.46
0.0216473	5.2847	0.00255092	0.43668	0.279456	61.6685	0.330857	72.0028	0.559378	122.873	0.838677	213.288	0.141542	34.8405	0.419641	96.5067	0.659401	174.883	0.699159	160.089
0.0265637	5.28323	0.00340012	0.501988	0.279438	51.1484	0.331399	59.9628	0.559541	102.028	0.838757	172.448	0.142442	28.5213	0.41982	79.5113	0.65948	140.249	0.699341	131.976
0.0314755	5.28146	0.00435759	0.565553	0.279421	43.6938	0.332038	51.4114	0.559734	87.2422	0.838854	144.742	0.143517	24.2184	0.420033	67.6197	0.659576	117.072	0.699559	112.276
0.0363818	5.27937	0.00541737	0.627249	0.279407	38.1355	0.332769	45.0288	0.559957	76.21	0.838967	124.712	0.14476	21.1093	0.420281	58.835	0.659689	100.477	0.699811	97.7063
0.0412817	5.27697	0.00657298	0.686946	0.279397	33.832	0.333592	40.0864	0.56021	67.6643	0.839098	109.558	0.146165	18.7648	0.420564	52.0816	0.659821	88.0078	0.700098	86.495
