Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2	
459  Points		491  Points		459  Points		138  Points		110  Points		101  Points		321  Points		118  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.294743	6.28537	0.0557511	2.26852	0.262758	7.44514	0.401211	6.14749	0.523261	4.78722	0.640621	4.37033	0.347648	8.14066	0.749795	7.26181
0.300478	6.02241	0.0578642	2.26739	0.269601	7.2374	0.40701	6.30187	0.527815	4.98721	0.644733	4.45459	0.355235	8.14314	0.743913	7.22553
0.305965	5.75445	0.0599761	2.26621	0.276244	7.01597	0.412954	6.45842	0.532554	5.18489	0.648922	4.53704	0.362822	8.14165	0.738923	7.19359
0.311201	5.48418	0.062087	2.26499	0.282675	6.78174	0.419044	6.61537	0.537476	5.37949	0.653187	4.6178	0.369431	8.1372	0.734814	7.16645
0.316185	5.2145	0.0641967	2.26376	0.288881	6.53594	0.425281	6.7707	0.542578	5.57029	0.657527	4.69683	0.375061	8.13108	0.731576	7.14461
0.320918	4.9481	0.0663053	2.26252	0.294854	6.28043	0.431661	6.92236	0.547856	5.75663	0.661939	4.77418	0.379713	8.12442	0.729201	7.12841
0.325405	4.68755	0.0684126	2.26136	0.300584	6.01743	0.43818	7.06857	0.553305	5.93806	0.666423	4.84994	0.383388	8.11814	0.727021	7.11334
0.329653	4.4351	0.070519	2.26022	0.306067	5.74938	0.444832	7.20777	0.558921	6.11407	0.670977	4.92418	0.386089	8.11286	0.725508	7.10273
0.333669	4.19256	0.0726243	2.25907	0.311298	5.47908	0.451611	7.33865	0.564698	6.28425	0.675599	4.99693	0.387816	8.10927	0.723147	7.0859
0.337465	3.96139	0.0747286	2.25798	0.316276	5.20942	0.458507	7.46031	0.570631	6.44839	0.680288	5.06816	0.390298	8.10369	0.719945	7.06285
0.341051	3.74253	0.0768318	2.25692	0.321005	4.94309	0.465512	7.57207	0.576714	6.6063	0.685043	5.13803	0.392993	8.09712	0.715912	7.03341
0.344439	3.53654	0.0789341	2.25592	0.325487	4.6827	0.472617	7.67365	0.582941	6.75783	0.689862	5.20659	0.396655	8.08753	0.711056	6.99732
0.347641	3.34369	0.0810355	2.25498	0.329731	4.43045	0.479811	7.76513	0.589306	6.90291	0.694745	5.27391	0.40128	8.07399	0.705392	6.95442
0.350669	3.16396	0.083136	2.25407	0.333743	4.18808	0.487086	7.84656	0.595804	7.04154	0.699689	5.34006	0.406862	8.05573	0.698936	6.90453
0.353536	2.99705	0.0852357	2.25321	0.337535	3.95711	0.494432	7.91823	0.602427	7.17378	0.704695	5.40506	0.413394	8.03165	0.692526	6.85413
0.356254	2.84245	0.0873346	2.25238	0.341117	3.7385	0.501841	7.98072	0.609171	7.29969	0.709761	5.46907	0.420863	8.00061	0.686164	6.80333
0.358833	2.69965	0.0894327	2.2516	0.344501	3.53277	0.509303	8.03466	0.616029	7.41938	0.714886	5.53218	0.428302	7.96587	0.679849	6.75234
0.361284	2.56802	0.0915302	2.25087	0.3477	3.34019	0.515844	8.07506	0.622996	7.53292	0.72007	5.59448	0.435707	7.92726	0.673582	6.70124
0.363618	2.44684	0.093627	2.25015	0.350725	3.16069	0.521444	8.10486	0.630066	7.6404	0.725311	5.65601	0.443074	7.88473	0.667362	6.65006
0.365844	2.33545	0.0957231	2.24949	0.353589	2.994	0.52609	8.12639	0.637233	7.74205	0.730609	5.71696	0.450399	7.83831	0.66119	6.59898
0.36797	2.23314	0.0978187	2.24887	0.356304	2.83965	0.529771	8.14164	0.644493	7.83798	0.735964	5.77741	0.457679	7.78797	0.655066	6.54806
0.370005	2.13919	0.0999136	2.24823	0.358881	2.69707	0.532482	8.15172	0.651839	7.92818	0.741375	5.83752	0.464911	7.73364	0.648988	6.49722
0.371956	2.05303	0.102008	2.24769	0.36133	2.56565	0.534218	8.15769	0.659266	8.01286	0.746841	5.89746	0.47209	7.67524	0.642959	6.4465
0.373831	1.97402	0.104102	2.24716	0.363661	2.44464	0.536717	8.16576	0.66677	8.09213	0.752364	5.95735	0.479213	7.61279	0.636976	6.3959
0.375635	1.90154	0.106195	2.24661	0.365885	2.33341	0.539435	8.17371	0.674345	8.166	0.757942	6.01737	0.486276	7.54626	0.631041	6.34538
0.377374	1.8351	0.108288	2.24615	0.368009	2.23129	0.543137	8.18322	0.681986	8.23456	0.763577	6.07764	0.493275	7.47565	0.625152	6.29484
0.379054	1.77423	0.110381	2.2457	0.370043	2.13753	0.547823	8.19328	0.689689	8.29778	0.769267	6.13849	0.500206	7.40093	0.619311	6.24423
0.38068	1.71846	0.112473	2.24525	0.371992	2.05147	0.553498	8.20276	0.697448	8.35574	0.775015	6.20006	0.507065	7.32208	0.613517	6.19344
0.382256	1.66735	0.114565	2.24485	0.373865	1.97254	0.560161	8.21025	0.705259	8.40846	0.78082	6.26263	0.51385	7.23926	0.60777	6.14234
0.383787	1.62051	0.116656	2.24442	0.375668	1.90023	0.567814	8.21451	0.713116	8.45581	0.786685	6.32646	0.520555	7.15248	0.602071	6.09078
0.385276	1.57759	0.118747	2.24403	0.377406	1.83394	0.575468	8.21441	0.721015	8.4977	0.792609	6.39179	0.527178	7.06177	0.596421	6.03864
0.386727	1.53831	0.120837	2.24372	0.379085	1.77314	0.58312	8.21018	0.728951	8.53409	0.798595	6.45895	0.533714	6.96731	0.590819	5.9858
0.388142	1.50232	0.122928	2.24339	0.38071	1.71744	0.590767	8.20213	0.736918	8.56484	0.804645	6.52831	0.54016	6.86925	0.585267	5.93209
0.389526	1.46938	0.125018	2.24304	0.382286	1.66641	0.598404	8.19057	0.744911	8.58978	0.81076	6.60016	0.546514	6.76774	0.579765	5.87737
0.39088	1.43932	0.127107	2.24271	0.383816	1.61965	0.606029	8.17574	0.752924	8.60877	0.816943	6.67486	0.552771	6.66301	0.574315	5.82149
0.392208	1.41178	0.129197	2.24241	0.385304	1.57683	0.613639	8.15778	0.760952	8.62154	0.823198	6.75285	0.55893	6.55527	0.568917	5.76421
0.393511	1.38659	0.131286	2.24214	0.386754	1.53758	0.62123	8.13689	0.768989	8.62789	0.829526	6.83442	0.564986	6.44471	0.563574	5.70547
0.394792	1.3636	0.133375	2.2419	0.388169	1.50166	0.628801	8.11327	0.777029	8.62763	0.835933	6.91999	0.570939	6.33168	0.558286	5.64515
0.396052	1.34267	0.135463	2.24163	0.389552	1.46883	0.636348	8.08703	0.785066	8.6206	0.842421	7.00983	0.576785	6.2165	0.553055	5.58299
0.397294	1.32359	0.137552	2.24139	0.390906	1.43876	0.64387	8.05834	0.793093	8.6066	0.848995	7.1042	0.582523	6.09947	0.547883	5.51884
0.398518	1.30623	0.13964	2.24116	0.392233	1.41127	0.651364	8.02726	0.801103	8.58549	0.855659	7.20335	0.58815	5.98086	0.542771	5.45267
0.399728	1.29047	0.141728	2.2409	0.393536	1.38614	0.658828	7.99389	0.809091	8.55733	0.862418	7.3074	0.593667	5.86102	0.537722	5.38428
