Sym0		Asym0		Sym2		Sym3		Sym4		Asym1		Asym3	
461  Points		490  Points		148  Points		115  Points		105  Points		328  Points		124  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.313812	7.93728	0.0696938	1.91097	0.423729	10.6972	0.546952	13.882	0.655723	16.5562	0.343633	9.71003	0.536221	13.466
0.318171	7.86224	0.0718012	1.91971	0.429866	10.6028	0.552116	13.6893	0.6599	16.2787	0.348058	9.67855	0.540996	13.2753
0.322313	7.78536	0.0739076	1.928	0.436128	10.5156	0.55743	13.509	0.664143	16.0153	0.35341	9.64181	0.545829	13.0945
0.326246	7.70692	0.076013	1.93587	0.442509	10.435	0.562892	13.3402	0.668452	15.765	0.359687	9.6004	0.550718	12.923
0.329978	7.62721	0.0781174	1.94335	0.449001	10.3605	0.568496	13.1819	0.672824	15.5269	0.366885	9.55492	0.555662	12.76
0.333519	7.54653	0.0802207	1.95047	0.455596	10.2914	0.574238	13.0335	0.677258	15.3003	0.374075	9.51139	0.560659	12.6051
0.336877	7.46515	0.0823232	1.95725	0.461421	10.2353	0.580113	12.8942	0.681755	15.0844	0.381254	9.46959	0.565709	12.4577
0.340064	7.38333	0.0844248	1.96372	0.46644	10.1902	0.586116	12.7633	0.686312	14.8785	0.388419	9.42934	0.570808	12.3172
0.34309	7.30134	0.0865255	1.96989	0.470625	10.1546	0.592242	12.6402	0.690929	14.6821	0.395566	9.39044	0.575958	12.1834
0.345966	7.21939	0.0886255	1.97579	0.473954	10.1276	0.598486	12.5244	0.695605	14.4945	0.402691	9.35274	0.581157	12.0558
0.348701	7.13769	0.0907246	1.98144	0.476413	10.1082	0.604842	12.4154	0.700339	14.3152	0.409793	9.31608	0.586403	11.934
0.351305	7.05643	0.092823	1.98684	0.477992	10.0961	0.611305	12.3126	0.705131	14.1438	0.416867	9.28034	0.591697	11.8176
0.353789	6.97576	0.0949208	1.99201	0.480267	10.079	0.617871	12.2156	0.70998	13.9798	0.423911	9.24539	0.597038	11.7065
0.35616	6.89583	0.0970178	1.99697	0.482748	10.0608	0.624533	12.124	0.714885	13.8228	0.430921	9.2111	0.602426	11.6002
0.358427	6.81677	0.0991142	2.00174	0.486135	10.0367	0.631288	12.0374	0.719847	13.6724	0.437894	9.17738	0.607859	11.4985
0.360599	6.73866	0.10121	2.00631	0.490437	10.0073	0.638129	11.9555	0.724864	13.5283	0.444826	9.14412	0.613338	11.4012
0.362682	6.66161	0.103305	2.01071	0.495668	9.97319	0.645053	11.8778	0.729937	13.3901	0.451716	9.11124	0.618863	11.3081
0.364684	6.58567	0.1054	2.01494	0.501838	9.93502	0.652054	11.8042	0.735066	13.2576	0.458558	9.07864	0.624433	11.2189
0.36661	6.51092	0.107494	2.01901	0.508957	9.89348	0.659127	11.7344	0.74025	13.1305	0.46535	9.04624	0.630048	11.1334
0.368468	6.43739	0.109588	2.02294	0.516112	9.85409	0.666268	11.668	0.745491	13.0085	0.472089	9.01398	0.635709	11.0515
0.370261	6.36512	0.111681	2.02672	0.523296	9.81664	0.673471	11.6048	0.750789	12.8913	0.47877	8.98178	0.641416	10.973
0.371996	6.29413	0.113774	2.03037	0.530504	9.78091	0.680732	11.5445	0.756143	12.7788	0.485392	8.94957	0.647168	10.8977
0.373677	6.22445	0.115866	2.03389	0.537731	9.74673	0.688046	11.4871	0.761556	12.6708	0.49195	8.91731	0.652965	10.8254
0.375309	6.15609	0.117958	2.0373	0.544972	9.71393	0.695407	11.4321	0.767028	12.567	0.498441	8.88492	0.658808	10.7562
0.376895	6.08904	0.12005	2.04058	0.552222	9.68236	0.702812	11.3796	0.772561	12.4674	0.504863	8.85236	0.663937	10.6981
0.378438	6.02332	0.122141	2.04376	0.559477	9.65189	0.710254	11.3292	0.778155	12.3717	0.511211	8.81959	0.668337	10.6502
0.379943	5.95891	0.124232	2.04684	0.566733	9.62241	0.717729	11.2807	0.783814	12.2797	0.517483	8.78656	0.671994	10.6117
0.381413	5.8958	0.126322	2.04981	0.573987	9.5938	0.72523	11.2341	0.789539	12.1915	0.523675	8.75323	0.674897	10.5819
0.38285	5.83399	0.128412	2.0527	0.581235	9.56598	0.732754	11.1892	0.795332	12.1067	0.529786	8.71958	0.677039	10.5604
0.384256	5.77346	0.130502	2.05549	0.588474	9.53886	0.740293	11.1457	0.801197	12.0255	0.535811	8.68556	0.678413	10.5468
0.385636	5.71419	0.132592	2.0582	0.595701	9.51235	0.747843	11.1037	0.807136	11.9475	0.541749	8.65116	0.680391	10.5275
0.38699	5.65617	0.134681	2.06083	0.602915	9.4864	0.755396	11.0628	0.813153	11.8729	0.547597	8.61635	0.682548	10.5067
0.388321	5.59937	0.13677	2.06338	0.610111	9.46093	0.762948	11.023	0.819251	11.8014	0.553353	8.58111	0.68549	10.479
0.38963	5.54378	0.138859	2.06585	0.617288	9.4359	0.770491	10.9841	0.825435	11.733	0.559015	8.54545	0.689225	10.4448
0.39092	5.48937	0.140948	2.06826	0.624443	9.41124	0.77802	10.946	0.831708	11.6676	0.564581	8.50934	0.693765	10.4044
0.392193	5.43611	0.143036	2.07059	0.631575	9.38691	0.784564	10.9134	0.838074	11.6052	0.570049	8.47278	0.699121	10.3586
0.393449	5.38399	0.145124	2.07286	0.63868	9.36287	0.790126	10.886	0.844538	11.5458	0.575419	8.43577	0.705307	10.308
0.39469	5.33299	0.147212	2.07507	0.645758	9.33907	0.794713	10.8635	0.851103	11.4892	0.580689	8.39832	0.711535	10.2593
0.395918	5.28307	0.1493	2.07722	0.652807	9.31549	0.798331	10.8459	0.857774	11.4354	0.585858	8.36043	0.717804	10.2125
0.397134	5.23422	0.151387	2.07931	0.659823	9.29208	0.800986	10.833	0.864552	11.3844	0.590927	8.32211	0.724113	10.1675
0.398338	5.1864	0.153474	2.08134	0.666807	9.26881	0.802682	10.8248	0.871442	11.336	0.595894	8.28338	0.730461	10.1242
