Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
410  Points		410  Points		394  Points		365  Points		263  Points		157  Points		410  Points		384  Points		366  Points		267  Points		135  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.33017	1.90195	1.32914	1.89939	0.468392	1.54977	0.850122	-0.681276	1.00316	1.13695	1.29505	-0.198373	0.253867	1.80198	1.3256	2.37224	0.709851	1.68401	1.0753	-0.354858	1.31833	0.689955
1.32743	1.89504	1.32641	1.89246	0.470646	1.57196	0.849136	-0.685142	1.00482	1.15798	1.29476	-0.202718	0.255137	1.81851	1.32217	2.38926	0.712284	1.68669	1.07479	-0.361993	1.31934	0.708691
1.3247	1.88817	1.32368	1.88563	0.47293	1.59233	0.848144	-0.687526	1.00651	1.17771	1.29446	-0.206646	0.256077	1.83009	1.31871	2.4055	0.71472	1.68898	1.07426	-0.368426	1.32038	0.726679
1.32198	1.88139	1.32096	1.87886	0.475242	1.61094	0.847151	-0.688485	1.00822	1.19614	1.29416	-0.210182	0.256682	1.83736	1.31522	2.42084	0.71716	1.69092	1.07372	-0.374187	1.32144	0.743907
1.31926	1.87464	1.31826	1.87214	0.47758	1.62795	0.846157	-0.688134	1.00996	1.21323	1.29386	-0.213298	0.257556	1.84768	1.31172	2.4354	0.719602	1.69254	1.07318	-0.37919	1.32253	0.760344
1.31656	1.86796	1.31556	1.8655	0.479942	1.64337	0.845164	-0.686479	1.01172	1.22918	1.29355	-0.215941	0.258511	1.85844	1.30819	2.44921	0.722046	1.6938	1.07263	-0.383484	1.32364	0.776006
1.31387	1.8614	1.31287	1.85897	0.482324	1.65728	0.844175	-0.683536	1.01351	1.24393	1.29323	-0.218151	0.259819	1.87262	1.30465	2.46226	0.724491	1.6947	1.07207	-0.387091	1.32477	0.790851
1.31119	1.85496	1.31019	1.85256	0.484726	1.6698	0.843191	-0.679406	1.01531	1.25754	1.29292	-0.219935	0.261487	1.88967	1.30109	2.47459	0.726938	1.6952	1.07151	-0.38991	1.32592	0.80494
1.30852	1.84865	1.30752	1.84634	0.487145	1.681	0.842214	-0.67415	1.01714	1.2701	1.2926	-0.221233	0.263524	1.90908	1.2975	2.48621	0.729385	1.6953	1.07095	-0.392032	1.32709	0.818178
1.30585	1.84249	1.30486	1.84028	0.489579	1.69087	0.841245	-0.66774	1.01898	1.28162	1.29228	-0.22207	0.265939	1.93024	1.29391	2.49722	0.731832	1.69507	1.07038	-0.393421	1.32828	0.83059
1.3032	1.83655	1.30221	1.83437	0.492026	1.69955	0.840286	-0.660192	1.02084	1.29212	1.29196	-0.222427	0.268742	1.95246	1.2903	2.5076	0.734278	1.69446	1.06981	-0.394074	1.32949	0.84223
1.30055	1.83088	1.29957	1.82878	0.494485	1.70703	0.839339	-0.651616	1.02271	1.30162	1.29164	-0.222261	0.271576	1.97262	1.28667	2.51738	0.736723	1.69347	1.06924	-0.393989	1.33071	0.852987
1.29791	1.82547	1.29693	1.82361	0.496954	1.71335	0.838405	-0.642008	1.02459	1.31022	1.29132	-0.221635	0.274437	1.99064	1.28303	2.5266	0.739167	1.69207	1.06867	-0.39316	1.33195	0.862928
1.29528	1.82052	1.2943	1.81883	0.499431	1.71859	0.837486	-0.631434	1.02649	1.3179	1.291	-0.220458	0.277322	2.00673	1.27938	2.5353	0.741608	1.69029	1.06811	-0.391648	1.3332	0.872043
1.29266	1.8161	1.29168	1.81461	0.501915	1.72276	0.836583	-0.61988	1.0284	1.3247	1.29068	-0.218763	0.28023	2.02092	1.27571	2.54348	0.744046	1.68812	1.06754	-0.389357	1.33447	0.880313
1.29004	1.8124	1.28906	1.81124	0.504404	1.72592	0.835697	-0.60732	1.03032	1.3306	1.29036	-0.216544	0.283156	2.03325	1.27203	2.55119	0.746481	1.68555	1.06698	-0.386312	1.33574	0.88777
1.28743	1.80968	1.28645	1.80897	0.506897	1.72805	0.834829	-0.593846	1.03224	1.33567	1.29005	-0.213792	0.286099	2.04385	1.26835	2.55848	0.748912	1.68259	1.06643	-0.382566	1.33703	0.894335
