Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
416  Points		417  Points		394  Points		365  Points		294  Points		172  Points		411  Points		397  Points		371  Points		268  Points		172  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.40209	2.22312	1.40305	2.2251	0.433017	0.0656464	0.866024	-0.0569133	0.929535	0.123815	1.29903	-0.0192199	0.216508	0.0688873	1.40194	1.6219	0.64962	0.294163	1.08252	-0.0407078	1.23935	0.0492531
1.39888	2.21969	1.39983	2.22169	0.433112	0.10758	0.865942	-0.100574	0.929714	0.175746	1.29901	-0.0276087	0.216608	0.120146	1.3996	1.62019	0.650044	0.401024	1.08246	-0.0559025	1.23942	0.0713067
1.39568	2.21291	1.39663	2.21492	0.433328	0.19112	0.865734	-0.186804	0.930043	0.27822	1.29895	-0.0443521	0.216855	0.222284	1.39726	1.61691	0.650777	0.602221	1.08236	-0.0861791	1.23955	0.115348
1.39249	2.20607	1.39344	2.2081	0.433664	0.273751	0.865403	-0.270274	0.930517	0.377405	1.29888	-0.0609932	0.21725	0.323437	1.39493	1.61386	0.651783	0.776758	1.08221	-0.11619	1.23975	0.15912
1.38931	2.19915	1.39026	2.2012	0.434118	0.355005	0.864953	-0.349911	0.931132	0.472357	1.29878	-0.077503	0.217789	0.423131	1.3926	1.61105	0.65302	0.923464	1.08202	-0.145817	1.24001	0.202499
1.38614	2.19219	1.38709	2.19429	0.434689	0.434529	0.864393	-0.424882	0.931881	0.562286	1.29865	-0.0938966	0.218471	0.520931	1.39028	1.60851	0.654449	1.04446	1.08179	-0.174968	1.24033	0.245457
1.38299	2.18516	1.38392	2.18728	0.435373	0.51206	0.863727	-0.494625	0.932755	0.646709	1.29851	-0.110131	0.219293	0.616481	1.38796	1.60628	0.656035	1.14342	1.08151	-0.203534	1.24072	0.287869
1.37984	2.17812	1.38077	2.18021	0.436167	0.587287	0.862965	-0.558744	0.933748	0.725393	1.29834	-0.126121	0.220251	0.709439	1.38564	1.6044	0.657749	1.2243	1.0812	-0.231441	1.24117	0.329625
1.3767	2.171	1.37763	2.17311	0.437068	0.659957	0.862114	-0.616963	0.934849	0.798242	1.29814	-0.14184	0.221341	0.799479	1.38333	1.60282	0.659569	1.29062	1.08085	-0.258618	1.24167	0.370657
1.37357	2.16379	1.3745	2.16595	0.438072	0.729931	0.861184	-0.669314	0.936052	0.865349	1.29793	-0.157311	0.222559	0.886396	1.38101	1.60158	0.661475	1.34532	1.08045	-0.284995	1.24224	0.410899
1.37045	2.15656	1.37138	2.15872	0.439175	0.797003	0.860182	-0.716007	0.937347	0.926907	1.29769	-0.172507	0.2239	0.969996	1.3787	1.60071	0.663453	1.39094	1.08002	-0.310501	1.24286	0.450294
1.36734	2.14927	1.36827	2.15145	0.440373	0.861129	0.859117	-0.757246	0.938728	0.983154	1.29743	-0.187371	0.225359	1.05011	1.37639	1.60028	0.66549	1.42929	1.07956	-0.335074	1.24354	0.488802
1.36425	2.14194	1.36517	2.14416	0.441661	0.922216	0.857996	-0.793288	0.940186	1.03442	1.29715	-0.201866	0.226931	1.12662	1.37408	1.60031	0.667579	1.46183	1.07906	-0.358657	1.24427	0.52634
1.36116	2.1346	1.36208	2.13676	0.443035	0.980231	0.856827	-0.824503	0.941714	1.08113	1.29685	-0.215986	0.228611	1.19945	1.37177	1.6008	0.66971	1.48969	1.07852	-0.381214	1.24506	0.562817
1.35809	2.12717	1.359	2.12934	0.444491	1.03525	0.855616	-0.851264	0.943306	1.12366	1.29652	-0.229725	0.230393	1.26856	1.36946	1.60177	0.671879	1.51371	1.07796	-0.402745	1.24589	0.598271
1.35502	2.11965	1.35593	2.12191	0.446023	1.08721	0.854369	-0.873952	0.944958	1.16228	1.29618	-0.242994	0.232273	1.33398	1.36715	1.60329	0.67408	1.53458	1.07736	-0.423101	1.24678	0.632632
1.35197	2.11214	1.35287	2.11438	0.447629	1.13619	0.853093	-0.892886	0.946662	1.19734	1.29582	-0.255835	0.234244	1.39574	1.36483	1.60537	0.676309	1.55288	1.07673	-0.442354	1.24772	0.665904
