Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4	
395  Points		395  Points		377  Points		361  Points		231  Points		110  Points		400  Points		379  Points		295  Points		239  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.29417	2.64719	1.29263	2.64641	0.490668	1.85166	0.863839	-0.0809221	1.20224	0.391221	1.30342	0.238672	0.25149	1.81719	1.29576	2.59942	0.819582	1.05012	1.08321	0.0473084
1.29035	2.64531	1.28881	2.64456	0.493347	1.85955	0.863722	-0.0801103	1.20281	0.399433	1.30377	0.250577	0.253798	1.85229	1.29201	2.59451	0.821114	1.07196	1.08328	0.0510253
1.28654	2.6434	1.28499	2.64263	0.496036	1.86675	0.863608	-0.0789261	1.20339	0.407067	1.30414	0.262814	0.2565	1.89012	1.28827	2.58915	0.822677	1.09278	1.08336	0.0550168
1.28272	2.64148	1.28118	2.64067	0.498735	1.87332	0.863495	-0.0774366	1.20398	0.414132	1.30453	0.275423	0.259255	1.92552	1.28454	2.58326	0.824268	1.11259	1.08344	0.0592643
1.27891	2.63947	1.27737	2.63866	0.501444	1.87928	0.863384	-0.0755562	1.20459	0.420718	1.30494	0.28841	0.262059	1.95852	1.28081	2.57691	0.825888	1.13141	1.08353	0.0637312
1.2751	2.63742	1.27356	2.63655	0.504161	1.88462	0.863276	-0.0732603	1.2052	0.426713	1.30536	0.301712	0.264908	1.98923	1.2771	2.56999	0.827535	1.14927	1.08362	0.0684169
1.2713	2.63531	1.26976	2.63444	0.506884	1.88942	0.863172	-0.0705728	1.20582	0.43211	1.30581	0.315426	0.267801	2.01777	1.27339	2.56245	0.829206	1.16617	1.08373	0.0733204
1.2675	2.63313	1.26596	2.63227	0.509615	1.89369	0.863073	-0.0675416	1.20644	0.436973	1.30627	0.329523	0.270733	2.04428	1.2697	2.55426	0.830901	1.18209	1.08384	0.0785132
1.2637	2.6309	1.26216	2.62998	0.512351	1.89746	0.862978	-0.0641158	1.20708	0.441278	1.30676	0.343949	0.273702	2.06877	1.26602	2.54535	0.832618	1.19718	1.08395	0.0839917
1.2599	2.62865	1.25837	2.62768	0.515092	1.90069	0.862888	-0.0602672	1.20772	0.44498	1.30727	0.35881	0.276705	2.09138	1.26235	2.53566	0.834357	1.21138	1.08408	0.0897484
1.25611	2.62632	1.25457	2.62535	0.517838	1.90341	0.862804	-0.0560124	1.20836	0.448064	1.3078	0.374031	0.27974	2.11224	1.2587	2.52514	0.836115	1.22469	1.08421	0.0957687
1.25232	2.62388	1.25079	2.62289	0.520587	1.90569	0.862726	-0.0513113	1.20901	0.450642	1.30835	0.389605	0.282803	2.13139	1.25506	2.51369	0.837892	1.23718	1.08435	0.102023
1.24853	2.6214	1.247	2.62038	0.522985	1.9073	0.862655	-0.0462305	1.20966	0.45265	1.30892	0.405591	0.285892	2.14898	1.25144	2.50128	0.839687	1.24883	1.08451	0.108599
1.24475	2.61886	1.24322	2.61784	0.525031	1.9084	0.862592	-0.0406831	1.21032	0.454028	1.30952	0.421963	0.289006	2.16503	1.24784	2.48787	0.841497	1.25969	1.08467	0.115526
1.24097	2.61628	1.23945	2.61519	0.526723	1.90905	0.862538	-0.0347153	1.21097	0.45488	1.31014	0.438666	0.292142	2.17961	1.24426	2.47335	0.843323	1.26975	1.08484	0.122714
1.2372	2.6136	1.23567	2.61245	0.528062	1.90954	0.862492	-0.028346	1.21163	0.455193	1.31078	0.45574	0.295298	2.1928	1.2407	2.45765	0.845163	1.27902	1.08502	0.130206
1.23343	2.61081	1.2319	2.60968	0.529046	1.9098	0.862456	-0.0214669	1.21229	0.45494	1.31145	0.47319	0.298472	2.20466	1.23717	2.44076	0.847015	1.28754	1.08522	0.138012
1.22966	2.608	1.22814	2.60685	0.529676	1.90988	0.86243	-0.0141539	1.21294	0.454141	1.31215	0.49095	0.301663	2.21525	1.23366	2.42263	0.84888	1.29536	1.08542	0.146154
