Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
413  Points		413  Points		394  Points		364  Points		275  Points		164  Points		411  Points		390  Points		369  Points		268  Points		160  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.40171	2.14619	1.40157	2.14586	0.433035	0.0973534	0.865994	-0.0807025	0.954255	0.0998325	1.29904	-0.0109097	0.216509	0.0725602	1.40107	1.65056	0.649632	0.502027	1.08253	-0.0220958	1.27231	0.0473438
1.39861	2.1427	1.39848	2.1424	0.433176	0.14142	0.865877	-0.110073	0.954399	0.137978	1.29902	-0.0172555	0.216614	0.124096	1.39869	1.65244	0.650357	0.682649	1.0825	-0.0336938	1.27238	0.0654928
1.39552	2.13575	1.39539	2.13547	0.433444	0.22909	0.865676	-0.168303	0.954653	0.213741	1.29899	-0.0299212	0.216868	0.226701	1.3963	1.65657	0.651603	0.982084	1.08243	-0.056769	1.2725	0.101776
1.39244	2.12872	1.39231	2.12841	0.433837	0.315512	0.865392	-0.225143	0.955016	0.288143	1.29893	-0.0425815	0.217269	0.328272	1.39391	1.66145	0.653192	1.17607	1.08233	-0.0796285	1.27267	0.13794
1.38938	2.12163	1.38925	2.12133	0.434355	0.400247	0.865026	-0.280157	0.955485	0.360703	1.29886	-0.055158	0.217815	0.428438	1.39151	1.6671	0.654998	1.29979	1.0822	-0.102276	1.2729	0.173867
1.38632	2.11455	1.38619	2.11428	0.434993	0.482852	0.864583	-0.333055	0.956057	0.431189	1.29878	-0.0676401	0.218505	0.526668	1.38909	1.67358	0.656944	1.38133	1.08204	-0.12472	1.27317	0.209467
1.38327	2.10741	1.38314	2.10712	0.435748	0.563027	0.864065	-0.383408	0.956729	0.499212	1.29867	-0.0800067	0.219336	0.622568	1.38667	1.68089	0.658985	1.43784	1.08184	-0.146828	1.2735	0.244705
1.38023	2.10025	1.38011	2.09992	0.436618	0.640467	0.863476	-0.431012	0.957498	0.564507	1.29854	-0.0922154	0.220303	0.715931	1.38424	1.68907	0.661095	1.47894	1.08161	-0.168487	1.27388	0.279586
1.37721	2.09303	1.37708	2.09268	0.437597	0.714927	0.862821	-0.475756	0.958359	0.626906	1.2984	-0.104255	0.221402	0.806416	1.3818	1.69825	0.663255	1.51024	1.08135	-0.189759	1.27431	0.31397
1.37419	2.08577	1.37407	2.08547	0.438682	0.786284	0.862103	-0.517417	0.959308	0.6863	1.29824	-0.116103	0.22263	0.893709	1.37934	1.70841	0.665454	1.53505	1.08107	-0.21055	1.27479	0.347876
1.37119	2.0785	1.37106	2.07821	0.439867	0.854363	0.861327	-0.555989	0.96034	0.742686	1.29807	-0.127786	0.223982	0.977695	1.37687	1.71957	0.667686	1.55536	1.08075	-0.230818	1.27531	0.381264
