Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
413  Points		413  Points		394  Points		364  Points		275  Points		164  Points		411  Points		390  Points		369  Points		268  Points		160  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.40171	2.38247	1.40157	2.3825	0.433035	503.193	0.865994	702.231	0.954255	830.108	1.29904	2552	0.216509	742.556	1.40107	2.52816	0.649632	806.188	1.08253	1643.25	1.27231	1105.11
1.39861	2.38305	1.39848	2.38308	0.433176	188.014	0.865877	323.501	0.954399	368.077	1.29902	665.345	0.216614	124.853	1.39869	2.53045	0.650357	289.152	1.0825	514.947	1.27238	490.381
1.39552	2.38365	1.39539	2.38368	0.433444	115.667	0.865676	210.118	0.954653	236.516	1.29899	382.53	0.216868	68.2333	1.3963	2.53275	0.651603	176.464	1.08243	305.295	1.2725	315.127
1.39244	2.38427	1.39231	2.3843	0.433837	83.5797	0.865392	155.553	0.955016	174.283	1.29893	268.422	0.217269	47.0105	1.39391	2.53504	0.653192	127.181	1.08233	216.948	1.27267	232.179
1.38938	2.38492	1.38925	2.38494	0.434355	65.4732	0.865026	123.457	0.955485	138.015	1.29886	206.742	0.217815	35.913	1.39151	2.53733	0.654998	99.5542	1.0822	168.245	1.2729	183.817
1.38632	2.38558	1.38619	2.38561	0.434993	53.8527	0.864583	102.317	0.956057	114.273	1.29878	168.107	0.218505	29.1012	1.38909	2.53962	0.656944	81.8858	1.08204	137.39	1.27317	152.145
1.38327	2.38626	1.38314	2.38629	0.435748	45.7679	0.864065	87.337	0.956729	97.5278	1.29867	141.633	0.219336	24.5018	1.38667	2.5419	0.658985	69.6156	1.08184	116.089	1.2735	129.796
1.38023	2.38697	1.38011	2.387	0.436618	39.8221	0.863476	76.1655	0.957498	85.0869	1.29854	122.358	0.220303	21.1927	1.38424	2.54418	0.661095	60.5984	1.08161	100.499	1.27388	113.184
1.37721	2.38769	1.37708	2.38773	0.437597	35.2685	0.862821	67.5122	0.958359	75.4818	1.2984	107.697	0.221402	18.7018	1.3818	2.54644	0.663255	53.6926	1.08135	88.5937	1.27431	100.353
1.37419	2.38844	1.37407	2.38847	0.438682	31.6716	0.862103	60.6108	0.959308	67.8439	1.29824	96.1704	0.22263	16.7619	1.37934	2.54869	0.665454	48.2346	1.08107	79.2038	1.27479	90.1439
1.37119	2.38921	1.37106	2.38925	0.439867	28.7601	0.861327	54.9773	0.96034	61.6262	1.29807	86.8692	0.223982	15.2107	1.37687	2.55092	0.667686	43.8127	1.08075	71.6081	1.27531	81.8292
1.36819	2.39001	1.36807	2.39004	0.441148	26.3565	0.860498	50.2911	0.961452	56.4673	1.29787	79.2056	0.225453	13.9438	1.37438	2.55314	0.669944	40.1574	1.0804	65.3366	1.27589	74.9269
1.36521	2.39082	1.36508	2.39086	0.44252	24.3396	0.85962	46.3314	0.962638	52.1188	1.29767	72.7818	0.227037	12.891	1.37187	2.55533	0.672225	37.0856	1.08002	60.0705	1.27651	69.1057
1.36223	2.39166	1.36211	2.39169	0.443979	22.6237	0.858697	42.9411	0.963894	48.4042	1.29744	67.3194	0.22873	12.0034	1.36934	2.55749	0.674526	34.4679	1.07962	55.5857	1.27717	64.1307
1.35927	2.39252	1.35915	2.39256	0.445518	21.1468	0.857734	40.0054	0.965216	45.1948	1.2972	62.6174	0.230525	11.2458	1.36679	2.55963	0.676843	32.2106	1.07919	51.7201	1.27789	59.8302
1.35632	2.3934	1.35619	2.39344	0.447135	19.8627	0.856736	37.4385	0.9666	42.3944	1.29694	58.5273	0.232418	10.5923	1.36421	2.56173	0.679176	30.2442	1.07874	48.3535	1.27864	56.076
1.35338	2.39431	1.35325	2.39435	0.448823	18.7364	0.855705	35.1748	0.968042	39.9298	1.29667	54.9368	0.234404	10.0234	1.36161	2.5638	0.681523	28.5158	1.07826	45.3951	1.27944	52.7706
1.35045	2.39524	1.35032	2.39528	0.450579	17.7407	0.854647	33.1637	0.969537	37.7444	1.29639	51.7595	0.236477	9.52424	1.35899	2.56583	0.683882	26.9848	1.07776	42.7748	1.28028	49.8383
1.34753	2.3962	1.3474	2.39624	0.452398	16.8545	0.853564	31.3649	0.971083	35.7933	1.29609	48.928	0.238632	9.083	1.35633	2.56781	0.686252	25.6192	1.07724	40.4376	1.28116	47.2194
1.34462	2.39718	1.34449	2.39722	0.454276	16.0608	0.852461	29.7467	0.972675	34.0409	1.29578	46.3886	0.240863	8.6905	1.35365	2.56975	0.688632	24.3937	1.0767	38.3399	1.28208	44.8665
1.34172	2.39818	1.3416	2.39822	0.456209	15.3461	0.85134	28.2831	0.974311	32.4586	1.29546	44.0983	0.243167	8.33932	1.35093	2.57165	0.691021	23.2876	1.07613	36.4466	1.28304	42.7411
1.33883	2.39921	1.33871	2.39925	0.458194	14.6991	0.850205	26.9529	0.975988	31.0227	1.29512	42.0222	0.245538	8.02347	1.34818	2.57348	0.693419	22.2845	1.07555	34.7292	1.28403	40.8119
1.33595	2.40026	1.33583	2.40031	0.460226	14.111	0.849059	25.7388	0.977701	29.7139	1.29477	40.1315	0.247972	7.73803	1.3454	2.57527	0.695824	21.3705	1.07496	33.1643	1.28506	39.0531
1.33309	2.40134	1.33297	2.40139	0.462303	13.5739	0.847905	24.6263	0.97945	28.5162	1.29441	38.4023	0.25014	7.51089	1.34258	2.57699	0.698236	20.5343	1.07434	31.7323	1.28613	37.443
1.33023	2.40244	1.33011	2.40249	0.464421	13.0817	0.846745	23.6031	0.981231	27.4159	1.29405	36.8149	0.252021	7.33134	1.33973	2.57866	0.700654	19.7663	1.07371	30.417	1.28722	35.9637
1.32739	2.40357	1.32727	2.40362	0.466576	12.629	0.845581	22.659	0.983041	26.4017	1.29367	35.3525	0.253598	7.19172	1.33684	2.58026	0.703077	19.0586	1.07307	29.2047	1.28835	34.6
1.32456	2.40473	1.32444	2.40478	0.468767	12.2112	0.844417	21.7852	0.984879	25.464	1.29328	34.0008	0.254858	7.08657	1.33391	2.5818	0.705505	18.4044	1.07242	28.0837	1.28951	33.3388
1.32173	2.40591	1.32161	2.40596	0.47099	11.8245	0.843254	20.9742	0.986743	24.5944	1.29289	32.7477	0.255792	7.01202	1.33094	2.58328	0.707937	17.7977	1.07176	27.0442	1.2907	32.1691
1.31892	2.40711	1.3188	2.40716	0.473242	11.4656	0.842094	20.2194	0.988629	23.7857	1.29248	31.5829	0.256393	6.96549	1.32794	2.58469	0.710372	17.2335	1.07109	26.0774	1.29192	31.0813
1.31612	2.40835	1.316	2.4084	0.475522	11.1315	0.84094	19.5154	0.990537	23.0318	1.29208	30.4973	0.25726	6.90015	1.3249	2.58603	0.71281	16.7076	1.0704	25.1761	1.29316	30.0671
1.31333	2.40961	1.31321	2.40966	0.477826	10.8199	0.839793	18.8571	0.992465	22.3273	1.29166	29.483	0.258208	6.83113	1.32182	2.58731	0.715249	16.2162	1.06972	24.3339	1.29443	29.1193
1.31055	2.41089	1.31043	2.41095	0.480152	10.5284	0.838656	18.2404	0.994411	21.6675	1.29124	28.5334	0.259506	6.74046	1.3187	2.58852	0.717691	15.756	1.06902	23.545	1.29572	28.2317
1.30778	2.4122	1.30767	2.41226	0.482498	10.2553	0.837529	17.6615	0.996372	21.0482	1.29082	27.6423	0.261162	6.63075	1.31554	2.58967	0.720133	15.324	1.06833	22.8047	1.29704	27.3987
1.30503	2.41354	1.30491	2.4136	0.484863	9.99882	0.836415	17.117	0.998349	20.466	1.29039	26.8047	0.263183	6.50498	1.31236	2.59075	0.722575	14.9178	1.06763	22.1086	1.29837	26.6154
1.30228	2.41491	1.30216	2.41497	0.487243	9.75748	0.835316	16.604	1.00034	19.9174	1.28996	26.0157	0.265578	6.36627	1.30913	2.59177	0.725017	14.5351	1.06693	21.4528	1.29973	25.8775
1.29954	2.4163	1.29943	2.41636	0.489638	9.52997	0.834232	16.12	1.00234	19.3997	1.28952	25.2713	0.268358	6.21777	1.30587	2.59273	0.727458	14.1738	1.06622	20.8341	1.3011	25.1812
1.29682	2.41773	1.2967	2.41779	0.492044	9.31512	0.833165	15.6626	1.00435	18.9104	1.28909	24.5679	0.271167	6.07954	1.30258	2.59363	0.729897	13.8324	1.06552	20.2493	1.30249	24.5231
1.2941	2.41918	1.29399	2.41924	0.494462	9.1119	0.832117	15.2296	1.00637	18.4471	1.28865	23.9021	0.274003	5.95055	1.29926	2.59447	0.732334	13.509	1.06482	19.6957	1.3039	23.9001
