Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4	
399  Points		399  Points		395  Points		365  Points		247  Points		141  Points		407  Points		379  Points		344  Points		262  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.4006	1.90046	1.40026	1.89984	0.433035	0.115103	0.866025	-0.0128618	1.04744	0.0514888	1.29904	-0.00515837	0.21654	0.122462	1.40338	2.48324	0.698286	0.105169	1.08253	-0.00930785
1.39786	1.89815	1.39752	1.89761	0.433201	0.171014	0.866007	-0.0235889	1.04751	0.0704209	1.29903	-0.00680728	0.216717	0.174542	1.3998	2.48832	0.698438	0.17333	1.08252	-0.0136028
1.39512	1.89375	1.39478	1.89327	0.433528	0.281764	0.865957	-0.0449306	1.04764	0.108174	1.29902	-0.0101427	0.217044	0.278192	1.3962	2.49821	0.698786	0.307134	1.08249	-0.0222396
1.39239	1.8898	1.39205	1.88935	0.434014	0.389886	0.865877	-0.0661539	1.04783	0.145742	1.299	-0.0135176	0.21752	0.380611	1.39258	2.50758	0.699325	0.434924	1.08245	-0.0308706
1.38967	1.88645	1.38933	1.88605	0.434654	0.494507	0.865766	-0.0872138	1.04806	0.183083	1.29898	-0.0168252	0.218143	0.481371	1.38896	2.51643	0.700042	0.554859	1.0824	-0.0394169
1.38695	1.88391	1.38661	1.88363	0.435442	0.594985	0.865625	-0.107947	1.04835	0.220121	1.29895	-0.020071	0.21891	0.580058	1.38532	2.52484	0.700926	0.665675	1.08234	-0.0478668
1.38423	1.88249	1.38389	1.88246	0.436372	0.690764	0.865455	-0.128392	1.0487	0.256768	1.29892	-0.0232669	0.219817	0.676285	1.38167	2.53279	0.701964	0.766824	1.08226	-0.0561972
1.38151	1.88287	1.38117	1.88311	0.437436	0.781396	0.865255	-0.148483	1.0491	0.293002	1.29888	-0.0263626	0.220862	0.76979	1.37801	2.54028	0.70314	0.858235	1.08218	-0.0644352
1.3788	1.88598	1.37846	1.88661	0.438627	0.866713	0.865026	-0.168083	1.04954	0.328776	1.29884	-0.0294048	0.222039	0.860267	1.37434	2.54741	0.704441	0.940274	1.08208	-0.0725617
1.37607	1.89338	1.37573	1.89471	0.439938	0.946599	0.864769	-0.187214	1.05004	0.363996	1.2988	-0.0323396	0.223345	0.947542	1.37065	2.55413	0.705854	1.01353	1.08197	-0.0805382
1.37333	1.90803	1.37299	1.91062	0.44136	1.02112	0.864485	-0.205847	1.0506	0.398693	1.29875	-0.0351332	0.224775	1.03142	1.36696	2.56047	0.707367	1.07875	1.08184	-0.0883615
1.37056	1.93527	1.37021	1.93995	0.442886	1.09039	0.864175	-0.223851	1.0512	0.432785	1.2987	-0.0378638	0.226323	1.11172	1.36326	2.56648	0.708968	1.13675	1.08171	-0.0959513
1.36774	1.98427	1.36739	1.99254	0.444507	1.15453	0.863839	-0.241256	1.05184	0.466178	1.29864	-0.0404687	0.227984	1.18847	1.35955	2.57213	0.710648	1.18836	1.08157	-0.103367
1.36483	2.06776	1.36446	2.08115	0.446218	1.21388	0.863479	-0.257974	1.05254	0.498908	1.29858	-0.0428952	0.229754	1.26154	1.35584	2.57749	0.712399	1.23432	1.08141	-0.110582
1.36177	2.1919	1.36138	2.20966	0.448012	1.26872	0.863095	-0.273979	1.05328	0.530896	1.29852	-0.0451847	0.231626	1.33093	1.35211	2.58258	0.714212	1.27526	1.08125	-0.11754
1.35851	2.33793	1.35808	2.3558	0.449881	1.31922	0.862688	-0.289289	1.05407	0.562132	1.29845	-0.0473467	0.233596	1.39669	1.34838	2.58741	0.71608	1.31187	1.08107	-0.12428
1.35502	2.46827	1.35458	2.48197	0.45182	1.36573	0.862259	-0.303796	1.05491	0.592598	1.29838	-0.049327	0.235658	1.45884	1.34464	2.59194	0.717999	1.34467	1.08089	-0.130728
1.35138	2.56027	1.35092	2.56908	0.453823	1.40858	0.861811	-0.317503	1.05578	0.622255	1.29831	-0.0510904	0.237807	1.51744	1.3409	2.59624	0.719962	1.37408	1.0807	-0.136958
