Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4	
395  Points		395  Points		388  Points		365  Points		238  Points		128  Points		405  Points		379  Points		318  Points		254  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.40029	2.70685	1.40133	2.70674	0.4331	0.20242	0.866025	-0.00714025	1.11232	0.037224	1.29904	0.00063235	0.216507	0.0579972	1.40324	2.6203	0.741562	0.0918311	1.08253	-0.00333139
1.39639	2.70692	1.39742	2.70686	0.433392	0.271908	0.866015	-0.0129433	1.11237	0.0506658	1.29904	0.00108827	0.21659	0.110647	1.39946	2.62148	0.741694	0.128882	1.08253	-0.00515125
1.39248	2.70699	1.39351	2.70701	0.433885	0.408229	0.865988	-0.0245662	1.11246	0.0775147	1.29904	0.00194333	0.216826	0.215643	1.39567	2.62377	0.741934	0.20261	1.08252	-0.00870654
1.38857	2.70698	1.38961	2.70703	0.434571	0.538342	0.865944	-0.0360934	1.11259	0.104259	1.29904	0.00284779	0.217213	0.319652	1.39189	2.62593	0.742279	0.275211	1.0825	-0.0122283
1.38466	2.70689	1.3857	2.70691	0.435439	0.660944	0.865884	-0.0475023	1.11276	0.130869	1.29905	0.00385106	0.217749	0.422202	1.38809	2.62799	0.742728	0.346292	1.08248	-0.0157561
1.38076	2.70671	1.38179	2.70675	0.436479	0.775192	0.865807	-0.0588209	1.11297	0.157354	1.29906	0.00483219	0.218432	0.523006	1.3843	2.6299	0.743279	0.415578	1.08246	-0.0192228
1.37685	2.70641	1.37789	2.7065	0.437677	0.880569	0.865714	-0.0700325	1.11322	0.183664	1.29906	0.0058423	0.219259	0.621562	1.3805	2.63174	0.743928	0.48274	1.08243	-0.0226407
1.37294	2.70604	1.37398	2.70616	0.439021	0.97699	0.865605	-0.0810298	1.1135	0.209771	1.29907	0.00691038	0.220226	0.717525	1.3767	2.63346	0.744673	0.547555	1.08239	-0.0259608
1.36904	2.70567	1.37007	2.70575	0.440497	1.06473	0.86548	-0.0918183	1.11382	0.235618	1.29908	0.00809438	0.22133	0.810649	1.3729	2.63505	0.745509	0.609878	1.08235	-0.029232
1.36513	2.70523	1.36617	2.70531	0.442094	1.14426	0.86534	-0.102409	1.11418	0.261238	1.2991	0.00936377	0.222566	0.90073	1.36909	2.63656	0.746433	0.669556	1.08231	-0.0324051
1.36123	2.7047	1.36226	2.70486	0.443801	1.2161	0.865184	-0.112751	1.11458	0.28655	1.29911	0.0106574	0.22393	0.987508	1.36529	2.63797	0.747442	0.726511	1.08226	-0.0354554
1.35733	2.70417	1.35836	2.70432	0.445605	1.28097	0.865014	-0.122814	1.11501	0.31154	1.29913	0.0120728	0.225417	1.07076	1.36148	2.63932	0.74853	0.780728	1.0822	-0.0384067
1.35342	2.7036	1.35446	2.70377	0.447498	1.33943	0.86483	-0.13254	1.11548	0.33625	1.29915	0.0135853	0.227021	1.15053	1.35767	2.64056	0.749695	0.832106	1.08215	-0.041233
1.34952	2.70299	1.35055	2.70318	0.449472	1.39212	0.864632	-0.141958	1.11598	0.360547	1.29917	0.0152187	0.228738	1.22667	1.35386	2.64171	0.750932	0.880737	1.08208	-0.0439559
1.34562	2.70235	1.34665	2.70251	0.451517	1.43972	0.86442	-0.151052	1.11652	0.38446	1.29919	0.0170205	0.230562	1.2991	1.35004	2.64277	0.752238	0.926729	1.08202	-0.0465454
1.34172	2.70166	1.34275	2.70184	0.453628	1.4827	0.864196	-0.159793	1.11709	0.40797	1.29922	0.0189397	0.232488	1.36794	1.34623	2.64372	0.753608	0.97008	1.08195	-0.0489411
1.33782	2.70094	1.33885	2.70114	0.455797	1.52156	0.863959	-0.168119	1.11769	0.43104	1.29924	0.0209469	0.234511	1.43311	1.34241	2.6446	0.755038	1.01086	1.08188	-0.0511691
1.33392	2.70022	1.33496	2.70041	0.45802	1.55679	0.86371	-0.176054	1.11833	0.453667	1.29928	0.0231304	0.236625	1.49474	1.33859	2.6454	0.756526	1.04921	1.0818	-0.0532812
1.33003	2.69945	1.33106	2.69967	0.460291	1.58874	0.863451	-0.183577	1.119	0.475852	1.29931	0.0255197	0.238826	1.5529	1.33477	2.64613	0.758067	1.08525	1.08172	-0.0551618
1.32613	2.69863	1.32716	2.69886	0.462606	1.61777	0.86318	-0.190638	1.11971	0.497516	1.29935	0.0280278	0.241108	1.6077	1.33096	2.64678	0.759659	1.11911	1.08164	-0.0568722
1.32224	2.69781	1.32327	2.69804	0.464961	1.64419	0.8629	-0.197215	1.12044	0.518652	1.29939	0.0307737	0.243159	1.65286	1.32713	2.64733	0.761298	1.15078	1.08156	-0.0583886
1.31834	2.69697	1.31937	2.69721	0.467353	1.66824	0.862611	-0.20334	1.1212	0.539317	1.29944	0.0337018	0.244952	1.68948	1.32331	2.64779	0.762981	1.18044	1.08147	-0.0596637
1.31445	2.69609	1.31548	2.69628	0.469777	1.69021	0.862313	-0.208997	1.122	0.559406	1.29949	0.0367749	0.246463	1.71841	1.31949	2.64813	0.764705	1.20827	1.08139	-0.0607491
1.31056	2.69514	1.31159	2.69538	0.472232	1.71026	0.862008	-0.21416	1.12282	0.578931	1.29954	0.0401378	0.247675	1.74038	1.31567	2.64843	0.766469	1.23426	1.0813	-0.0616014
1.30667	2.69419	1.3077	2.69446	0.474714	1.72853	0.861695	-0.218772	1.12367	0.597912	1.2996	0.0437144	0.248577	1.75611	1.31185	2.64867	0.768268	1.25855	1.08121	-0.0622074
1.30278	2.69325	1.30381	2.69348	0.477222	1.74515	0.861376	-0.222869	1.12454	0.616244	1.29967	0.0474982	0.249158	1.76609	1.30802	2.64878	0.770102	1.28128	1.08112	-0.0625405
1.2989	2.69225	1.29993	2.69249	0.479752	1.76038	0.861052	-0.226449	1.12545	0.634014	1.29974	0.0515504	0.249999	1.78007	1.3042	2.64878	0.771967	1.3025	1.08103	-0.0626208
1.29501	2.69119	1.29604	2.69146	0.482304	1.77429	0.860722	-0.229434	1.12637	0.651242	1.29982	0.0558461	0.25092	1.79474	1.30038	2.64871	0.773862	1.32223	1.08094	-0.0624884
1.29113	2.6901	1.29216	2.69042	0.484874	1.78694	0.860389	-0.231889	1.12733	0.667754	1.2999	0.0604091	0.252185	1.81423	1.29655	2.64856	0.775784	1.34067	1.08085	-0.0620771
1.28724	2.68902	1.28827	2.6893	0.487462	1.79839	0.860053	-0.233795	1.1283	0.683639	1.29999	0.0652872	0.253805	1.83797	1.29273	2.64827	0.777732	1.35785	1.08076	-0.0613278
1.28336	2.68788	1.28439	2.68816	0.490066	1.80878	0.859714	-0.235118	1.1293	0.69893	1.30009	0.0704292	0.25579	1.8653	1.28891	2.64791	0.779704	1.37375	1.08067	-0.0602686
1.27949	2.68671	1.28051	2.68704	0.492684	1.81821	0.859374	-0.235859	1.13032	0.713544	1.3002	0.075879	0.258156	1.8956	1.28509	2.64742	0.781698	1.38855	1.08059	-0.0589559
1.27561	2.68553	1.27664	2.68584	0.495314	1.82666	0.859034	-0.236022	1.13136	0.727466	1.30031	0.0816518	0.260916	1.92809	1.28127	2.64679	0.783712	1.40228	1.0805	-0.057356
1.27173	2.68427	1.27276	2.6846	0.497957	1.83418	0.858693	-0.235542	1.13242	0.740734	1.30043	0.0877041	0.263722	1.95829	1.27745	2.64611	0.785746	1.41492	1.08042	-0.0554011
1.26786	2.68301	1.26889	2.68337	0.500609	1.84088	0.858354	-0.234511	1.1335	0.753353	1.30056	0.094096	0.26657	1.98621	1.27363	2.64528	0.787797	1.4266	1.08034	-0.0531028
1.26399	2.68172	1.26501	2.68207	0.503271	1.8468	0.858016	-0.232886	1.13459	0.765263	1.3007	0.100874	0.269456	2.012	1.26981	2.64427	0.789864	1.43735	1.08027	-0.0504837
1.26012	2.6804	1.26114	2.68073	0.50594	1.85191	0.857681	-0.23059	1.13571	0.776484	1.30085	0.107984	0.272378	2.03577	1.26599	2.64313	0.791946	1.4472	1.0802	-0.0475159
1.25625	2.67899	1.25727	2.67937	0.508617	1.85626	0.85735	-0.227756	1.13684	0.786989	1.30102	0.115466	0.275332	2.05758	1.26218	2.64187	0.794042	1.4562	1.08013	-0.0442171
1.25238	2.67757	1.25341	2.67796	0.511299	1.85992	0.857024	-0.224283	1.13798	0.796792	1.30119	0.123327	0.278317	2.07757	1.25837	2.64045	0.79615	1.46433	1.08007	-0.0405491
1.24852	2.67613	1.24954	2.67652	0.513986	1.86292	0.856703	-0.220196	1.13914	0.805924	1.30137	0.131576	0.28133	2.09576	1.25456	2.63886	0.798269	1.47166	1.08001	-0.036509
1.24466	2.67463	1.24568	2.67505	0.516677	1.86525	0.856388	-0.215463	1.14031	0.8143	1.30157	0.140239	0.284367	2.1123	1.25075	2.63706	0.800398	1.47825	1.07996	-0.0320911
1.2408	2.67309	1.24182	2.67349	0.51937	1.86691	0.856081	-0.210099	1.14149	0.82197	1.30178	0.149288	0.287428	2.12723	1.24694	2.63509	0.802536	1.4841	1.07992	-0.0272835
1.23694	2.67148	1.23796	2.67192	0.521719	1.86783	0.855782	-0.204204	1.14268	0.82896	1.302	0.158742	0.290508	2.14059	1.24314	2.6329	0.804682	1.48922	1.07988	-0.022136
1.23309	2.66988	1.23411	2.67031	0.523722	1.86825	0.855491	-0.197615	1.14388	0.835178	1.30224	0.168643	0.293607	2.15251	1.23934	2.6305	0.806835	1.4936	1.07986	-0.0165287
1.22924	2.6682	1.23026	2.66862	0.525379	1.86837	0.855211	-0.19037	1.14509	0.840656	1.30249	0.178997	0.296722	2.16297	1.23555	2.62783	0.808994	1.49731	1.07984	-0.0105141
1.22539	2.66647	1.22641	2.66694	0.526689	1.86832	0.854942	-0.182545	1.14631	0.845459	1.30275	0.189743	0.299851	2.17208	1.23176	2.62489	0.811157	1.50041	1.07983	-0.0041246
1.22154	2.66468	1.22256	2.66518	0.527652	1.8683	0.854684	-0.174073	1.14753	0.849498	1.30303	0.200981	0.302992	2.1799	1.22797	2.62173	0.813325	1.50286	1.07982	0.00272176
1.21769	2.66287	1.21871	2.66335	0.528268	1.86815	0.854439	-0.164965	1.14876	0.852815	1.30333	0.21269	0.306144	2.18644	1.22419	2.6182	0.815496	1.50462	1.07983	0.00996916
1.21385	2.661	1.21487	2.66152	0.529154	1.86779	0.854208	-0.155245	1.14999	0.855422	1.30365	0.22483	0.309304	2.19177	1.22041	2.61435	0.817669	1.5058	1.07985	0.0176524
1.21001	2.65909	1.21103	2.65962	0.530117	1.86744	0.853991	-0.144888	1.15123	0.857266	1.30398	0.237464	0.312471	2.19593	1.21664	2.61018	0.819843	1.50639	1.07988	0.025768
1.20617	2.65711	1.20719	2.65765	0.531426	1.86681	0.85379	-0.133914	1.15247	0.85839	1.30433	0.250575	0.315643	2.19893	1.21288	2.60556	0.822017	1.50633	1.07993	0.0343087
1.20234	2.65505	1.20336	2.65561	0.533081	1.86591	0.853605	-0.122293	1.15371	0.858808	1.3047	0.264197	0.318819	2.20079	1.20912	2.6005	0.824191	1.50571	1.07998	0.0433335
1.19851	2.65297	1.19952	2.65351	0.535081	1.86448	0.853437	-0.110039	1.15495	0.858545	1.3051	0.278259	0.321996	2.20158	1.20537	2.595	0.826364	1.50453	1.08005	0.0528138
1.19468	2.6508	1.1957	2.65135	0.537425	1.86237	0.853287	-0.0971753	1.15619	0.857507	1.30551	0.292833	0.325174	2.20131	1.20163	2.58898	0.828534	1.50275	1.08014	0.0627655
1.19086	2.64857	1.19187	2.64917	0.540111	1.85946	0.853156	-0.0836797	1.15742	0.855797	1.30594	0.307917	0.328351	2.20004	1.1979	2.58235	0.830702	1.50044	1.08023	0.0731475
1.18704	2.64632	1.18805	2.64694	0.542792	1.85599	0.853045	-0.0695791	1.15866	0.853402	1.3064	0.323438	0.331525	2.19776	1.19418	2.57517	0.832866	1.49758	1.08035	0.0840238
1.18322	2.64394	1.18423	2.64459	0.545469	1.85199	0.852955	-0.0548544	1.15989	0.850297	1.30687	0.339465	0.334695	2.19446	1.19046	2.56733	0.835025	1.49414	1.08048	0.0953759
1.1794	2.64152	1.18041	2.64217	0.548139	1.84746	0.852887	-0.0394677	1.16111	0.846504	1.30738	0.355992	0.33786	2.19021	1.18676	2.55868	0.837179	1.49017	1.08062	0.107167
1.17559	2.63903	1.1766	2.63967	0.550802	1.84241	0.852841	-0.023489	1.16233	0.842067	1.3079	0.373006	0.341018	2.18497	1.18308	2.5493	0.839327	1.48569	1.08079	0.11947
1.17179	2.63646	1.17279	2.63715	0.553457	1.83677	0.852819	-0.00691263	1.16354	0.837001	1.30845	0.39048	0.344167	2.1788	1.17941	2.53903	0.841468	1.48068	1.08097	0.132285
1.16798	2.63382	1.16899	2.63454	0.556104	1.83062	0.852821	0.0102734	1.16475	0.831265	1.30903	0.408437	0.347307	2.17176	1.17575	2.5278	0.843601	1.47512	1.08117	0.145535
1.16418	2.6311	1.16519	2.63181	0.558742	1.82396	0.852849	0.0280927	1.16594	0.824919	1.30963	0.426846	0.350437	2.16381	1.17211	2.51558	0.845726	1.46906	1.08139	0.159292
