Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
410  Points		410  Points		394  Points		365  Points		263  Points		157  Points		410  Points		384  Points		366  Points		267  Points		135  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.32743	2.4296	1.32641	2.43013	0.470646	12.1419	0.849136	22.2555	1.00482	25.8432	1.29476	34.3575	0.255137	7.08612	1.32217	2.59785	0.712284	18.7386	1.07479	28.6226	1.31934	33.9393
1.3247	2.43102	1.32368	2.43156	0.47293	11.7628	0.848144	21.4192	1.00651	24.96	1.29446	33.0826	0.256077	7.01185	1.31871	2.59842	0.71472	18.1148	1.07426	27.5496	1.32038	32.7499
1.32198	2.43247	1.32096	2.43302	0.475242	11.4107	0.847151	20.6417	1.00822	24.1385	1.29416	31.8982	0.256682	6.96549	1.31522	2.59894	0.71716	17.5352	1.07372	26.553	1.32144	31.6434
1.31926	2.43395	1.31826	2.43451	0.47758	11.0827	0.846157	19.917	1.00996	23.3724	1.29386	30.7951	0.257556	6.9004	1.31172	2.59943	0.719602	16.9951	1.07318	25.6248	1.32253	30.6114
1.31656	2.43545	1.31556	2.43602	0.479942	10.7766	0.845164	19.24	1.01172	22.6565	1.29355	29.7652	0.258511	6.83164	1.30819	2.59988	0.722046	16.4907	1.07263	24.7584	1.32364	29.6466
1.31387	2.43698	1.31287	2.43756	0.482324	10.4901	0.844175	18.6061	1.01351	21.9858	1.29323	28.8014	0.259819	6.74131	1.30465	2.6003	0.724491	16.0185	1.07207	23.9477	1.32477	28.7427
1.31119	2.43853	1.31019	2.43912	0.484726	10.2214	0.843191	18.0114	1.01531	21.3563	1.29292	27.8976	0.261487	6.63202	1.30109	2.60068	0.726938	15.5755	1.07151	23.1876	1.32592	27.8942
1.30852	2.44011	1.30752	2.44071	0.487145	9.96901	0.842214	17.4525	1.01714	20.7642	1.2926	27.0483	0.263524	6.50673	1.2975	2.60102	0.729385	15.1591	1.07095	22.4734	1.32709	27.0961
1.30585	2.44172	1.30486	2.44232	0.489579	9.73138	0.841245	16.9261	1.01898	20.2065	1.29228	26.2488	0.265939	6.36858	1.29391	2.60134	0.731832	14.767	1.07038	21.8012	1.32828	26.344
1.3032	2.44335	1.30221	2.44396	0.492026	9.50726	0.840286	16.4297	1.02084	19.68	1.29196	25.4948	0.268742	6.22068	1.2903	2.60163	0.734278	14.397	1.06981	21.1673	1.32949	25.6341
1.30055	2.445	1.29957	2.44563	0.494485	9.29552	0.839339	15.9608	1.02271	19.1823	1.29164	24.7826	0.271576	6.08303	1.28667	2.60189	0.736723	14.0474	1.06924	20.5687	1.33071	24.963
1.29791	2.44668	1.29693	2.44731	0.496954	9.09515	0.838405	15.5171	1.02459	18.7111	1.29132	24.1088	0.274437	5.9546	1.28303	2.60212	0.739167	13.7165	1.06867	20.0023	1.33195	24.3275
1.29528	2.44838	1.2943	2.44902	0.499431	8.90525	0.837486	15.0968	1.02649	18.2644	1.291	23.4704	0.277322	5.83449	1.27938	2.60233	0.741608	13.4028	1.06811	19.4659	1.3332	23.725
1.29266	2.45011	1.29168	2.45076	0.501915	8.72499	0.836583	14.6981	1.0284	17.8401	1.29068	22.8646	0.28023	5.7219	1.27571	2.60251	0.744046	13.1051	1.06754	18.9569	1.33447	23.1528
1.29004	2.45185	1.28906	2.45251	0.504404	8.55364	0.835697	14.3194	1.03032	17.4368	1.29036	22.2891	0.283156	5.61614	1.27203	2.60268	0.746481	12.822	1.06698	18.4735	1.33574	22.6087
1.28743	2.45362	1.28645	2.45428	0.506897	8.39054	0.834829	13.9593	1.03224	17.0528	1.29005	21.7417	0.286099	5.51658	1.26835	2.60282	0.748912	12.5525	1.06643	18.0137	1.33703	22.0908
1.28482	2.4554	1.28384	2.45606	0.509392	8.2351	0.833982	13.6165	1.03417	16.6868	1.28975	21.2203	0.289056	5.42268	1.26465	2.60294	0.751338	12.2957	1.06588	17.5759	1.33833	21.5972
1.28221	2.45719	1.28123	2.45786	0.511889	8.08676	0.833157	13.2898	1.03611	16.3376	1.28945	20.7232	0.292025	5.33394	1.26094	2.60304	0.753759	12.0507	1.06534	17.1586	1.33963	21.1261
1.27959	2.45898	1.27862	2.45965	0.514385	7.94503	0.832353	12.9782	1.03805	16.0039	1.28915	20.2488	0.295003	5.24992	1.25722	2.60313	0.756175	11.8166	1.0648	16.7603	1.34094	20.6761
1.27697	2.46077	1.27599	2.46144	0.516879	7.80945	0.831574	12.6807	1.03999	15.6849	1.28886	19.7955	0.297987	5.17024	1.2535	2.60319	0.758584	11.5928	1.06428	16.3799	1.34225	20.2458
1.27434	2.46255	1.27335	2.4632	0.519371	7.67962	0.83082	12.3963	1.04194	15.3794	1.28858	19.3619	0.300977	5.09453	1.24977	2.60324	0.760985	11.3785	1.06376	16.0162	1.34357	19.8339
1.27168	2.46428	1.27067	2.4649	0.521539	7.57087	0.830092	12.1244	1.04389	15.0868	1.28831	18.9469	0.30397	5.02247	1.24602	2.60328	0.76338	11.1732	1.06326	15.6681	1.34489	19.4392
1.26897	2.46592	1.26794	2.4665	0.523383	7.4812	0.829392	11.864	1.04584	14.8061	1.28805	18.5493	0.306963	4.95378	1.24228	2.6033	0.765766	10.9762	1.06277	15.3347	1.34621	19.0607
1.26618	2.46742	1.26511	2.46793	0.524906	7.40907	0.82872	11.6146	1.04778	14.5366	1.28779	18.168	0.309954	4.8882	1.23852	2.60331	0.768142	10.7871	1.06229	15.0151	1.34754	18.6973
1.26327	2.46869	1.26213	2.46908	0.526109	7.35328	0.828078	11.3755	1.04973	14.2777	1.28755	17.8021	0.312942	4.82548	1.23476	2.6033	0.77051	10.6054	1.06183	14.7085	1.34886	18.3482
1.26017	2.46961	1.25896	2.46984	0.526992	7.31293	0.827467	11.1461	1.05167	14.0287	1.28732	17.4507	0.315925	4.76541	1.23099	2.60328	0.772867	10.4306	1.06138	14.4141	1.35018	18.0125
1.25686	2.47011	1.25558	2.4702	0.527556	7.2874	0.826888	10.9259	1.05361	13.789	1.28711	17.1129	0.3189	4.7078	1.22722	2.60325	0.775214	10.2624	1.06095	14.1312	1.35149	17.6894
1.25336	2.47024	1.25202	2.47021	0.528367	7.2511	0.826342	10.7143	1.05554	13.5582	1.2869	16.788	0.321867	4.65245	1.22344	2.6032	0.777548	10.1003	1.06053	13.8593	1.3528	17.3782
1.24972	2.47008	1.24833	2.46997	0.529247	7.21216	0.82583	10.511	1.05747	13.3357	1.28672	16.4754	0.324822	4.59921	1.21966	2.60315	0.779871	9.94402	1.06014	13.5976	1.35411	17.0783
1.24598	2.46974	1.24456	2.46957	0.530442	7.16004	0.825354	10.3154	1.05939	13.1211	1.28654	16.1742	0.327765	4.54793	1.21588	2.60309	0.782181	9.79324	1.05976	13.3457	1.35541	16.7891
1.24218	2.46926	1.24075	2.46906	0.531951	7.09548	0.824913	10.1272	1.0613	12.9139	1.28639	15.8841	0.330693	4.49847	1.21208	2.60301	0.784477	9.64764	1.0594	13.1031	1.35669	16.5098
1.23833	2.46871	1.23689	2.46849	0.53377	7.01935	0.824511	9.94602	1.0632	12.7138	1.28625	15.6042	0.333604	4.45069	1.20829	2.60293	0.786759	9.50695	1.05907	12.8692	1.35797	16.2402
1.23447	2.4681	1.23302	2.46786	0.535895	6.93263	0.824146	9.77149	1.06509	12.5203	1.28613	15.3343	0.336498	4.40448	1.20449	2.60284	0.789027	9.3709	1.05876	12.6437	1.35924	15.9795
1.23058	2.46745	1.22913	2.4672	0.538323	6.83639	0.823821	9.60329	1.06698	12.3332	1.28603	15.0737	0.339372	4.35973	1.20069	2.60274	0.791278	9.23926	1.05847	12.426	1.3605	15.7274
1.22668	2.46677	1.22522	2.46652	0.540738	6.74345	0.823536	9.44112	1.06885	12.152	1.28595	14.822	0.342225	4.31634	1.19688	2.60263	0.793514	9.1118	1.05821	12.2159	1.36174	15.4834
1.22277	2.46608	1.22131	2.46581	0.543138	6.65362	0.823293	9.28469	1.0707	11.9766	1.28589	14.5788	0.345055	4.27423	1.19307	2.60252	0.795732	8.9883	1.05797	12.013	1.36297	15.2471
1.21886	2.46536	1.2174	2.46509	0.545523	6.56673	0.823092	9.13375	1.07255	11.8066	1.28586	14.3436	0.34786	4.23329	1.18926	2.6024	0.797933	8.86857	1.05776	11.817	1.36418	15.0182
