Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4	
396  Points		395  Points		392  Points		365  Points		241  Points		132  Points		406  Points		378  Points		327  Points		257  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.29046	2.4783	1.28832	2.47796	0.485201	11.3077	0.858756	20.4786	1.10879	25.7279	1.29919	30.2597	0.255066	7.16991	1.29118	2.60361	0.766576	18.0158	1.07989	25.181
1.28656	2.47768	1.28443	2.47735	0.487769	10.9976	0.858342	19.7876	1.10989	24.9189	1.29924	29.2765	0.257065	7.01467	1.28735	2.60347	0.768649	17.4718	1.07975	24.3579
1.28267	2.47707	1.28053	2.47673	0.490353	10.7074	0.857926	19.1411	1.11102	24.1611	1.29929	28.3554	0.259444	6.84469	1.28353	2.60334	0.770741	16.9629	1.07961	23.5868
1.27877	2.47645	1.27664	2.47612	0.492951	10.4352	0.857508	18.5349	1.11216	23.45	1.29934	27.4906	0.262218	6.66411	1.2797	2.60321	0.772851	16.4856	1.07947	22.8628
1.27488	2.47584	1.27275	2.4755	0.495563	10.1795	0.85709	17.9654	1.11333	22.7812	1.29941	26.6773	0.265035	6.49736	1.27588	2.60307	0.774977	16.0372	1.07934	22.1818
1.27099	2.47522	1.26886	2.47489	0.498186	9.93868	0.856673	17.4293	1.11452	22.1513	1.29948	25.9109	0.267892	6.34295	1.27206	2.60293	0.777118	15.6151	1.0792	21.5401
1.2671	2.47461	1.26497	2.47427	0.500819	9.71157	0.856258	16.9239	1.11572	21.5569	1.29955	25.1876	0.270786	6.19959	1.26823	2.6028	0.779272	15.217	1.07907	20.9344
1.26322	2.47399	1.26109	2.47365	0.503461	9.49699	0.855845	16.4465	1.11695	20.995	1.29964	24.5037	0.273713	6.06614	1.26441	2.60266	0.781439	14.8411	1.07894	20.3617
1.25933	2.47337	1.2572	2.47303	0.50611	9.29392	0.855436	15.995	1.11819	20.4632	1.29974	23.8563	0.276671	5.94163	1.26059	2.60252	0.783616	14.4853	1.07882	19.8195
1.25545	2.47275	1.25332	2.47242	0.508767	9.10147	0.855032	15.5673	1.11945	19.959	1.29984	23.2425	0.279657	5.82519	1.25676	2.60239	0.785804	14.1483	1.0787	19.3053
