Sym0		Asym0		Sym1		Sym2		Asym1		Asym3	
376  Points		391  Points		169  Points		122  Points		292  Points		135  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.320753	7.74009	0.0985224	2.57405	0.46711	11.3033	0.608686	14.7112	0.408052	10.0215	0.67681	16.3856
0.324204	7.67208	0.101234	2.58962	0.471587	11.1904	0.613535	14.5412	0.410778	9.99102	0.679217	16.1249
0.327498	7.603	0.103947	2.60455	0.476232	11.0856	0.618433	14.3788	0.412782	9.96901	0.681665	15.875
0.330641	7.53307	0.106659	2.61889	0.481035	10.9884	0.62338	14.2236	0.414065	9.95507	0.684153	15.6354
0.333641	7.46249	0.109371	2.63266	0.48599	10.8982	0.628374	14.0751	0.415908	9.93525	0.686681	15.4055
0.336506	7.39148	0.112082	2.64589	0.491088	10.8143	0.633415	13.933	0.41791	9.91396	0.68925	15.1848
0.339245	7.32023	0.114794	2.6586	0.496319	10.7363	0.638502	13.7969	0.420631	9.88545	0.691861	14.9728
0.341864	7.24894	0.117504	2.67083	0.501673	10.6637	0.643635	13.6665	0.424071	9.85007	0.694514	14.769
0.344374	7.17778	0.120214	2.6826	0.507142	10.5959	0.648812	13.5415	0.428224	9.80826	0.69721	14.5731
0.346781	7.10691	0.122923	2.69394	0.512717	10.5325	0.654033	13.4215	0.433089	9.76049	0.699948	14.3846
0.349094	7.03647	0.125632	2.70485	0.518388	10.4732	0.659297	13.3064	0.438658	9.70723	0.70273	14.2033
0.35132	6.9666	0.128339	2.71537	0.524146	10.4176	0.664604	13.1959	0.444211	9.65551	0.705556	14.0287
0.353467	6.89741	0.131046	2.72551	0.529228	10.3718	0.669953	13.0897	0.449745	9.6052	0.708428	13.8606
0.355542	6.82901	0.133751	2.7353	0.533604	10.3346	0.675343	12.9877	0.455259	9.55618	0.711345	13.6987
0.357551	6.76147	0.136456	2.74474	0.53725	10.305	0.680775	12.8896	0.460749	9.50832	0.714309	13.5426
0.359499	6.69487	0.139159	2.75385	0.54015	10.2824	0.686246	12.7952	0.466213	9.46153	0.71732	13.3922
0.361394	6.62927	0.141862	2.76266	0.542291	10.2661	0.691758	12.7044	0.471649	9.41571	0.72038	13.2473
0.36324	6.56473	0.144563	2.77117	0.543664	10.2558	0.697308	12.617	0.477055	9.37077	0.723489	13.1075
0.365041	6.50127	0.147264	2.7794	0.545644	10.2413	0.702898	12.5328	0.482428	9.32661	0.726648	12.9727
