Sym0		Asym0		Sym1		Sym2		Asym1		Asym2		Asym3	
343  Points		344  Points		201  Points		140  Points		289  Points		289  Points		143  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.2367	7.52727	0.075742	4.35544	0.450035	0.732175	0.665834	4.27898	0.386096	5.25651	0.3876	5.27514	0.844289	-1.18965
0.241753	7.41886	0.0786975	4.3885	0.450575	0.869468	0.668742	4.32458	0.389664	5.29966	0.39118	5.31701	0.843503	-1.13579
0.246729	7.30442	0.0816746	4.41959	0.45121	1.01382	0.67168	4.36854	0.39326	5.33982	0.394788	5.35593	0.842753	-1.08116
0.251627	7.18377	0.0846721	4.44884	0.451946	1.16532	0.674648	4.41081	0.396883	5.37714	0.39842	5.39196	0.842041	-1.02572
0.256441	7.05685	0.0876887	4.47635	0.452786	1.32406	0.677643	4.45145	0.400529	5.4115	0.402077	5.42516	0.841367	-0.969353
0.261167	6.92366	0.0907234	4.5022	0.453735	1.48999	0.680665	4.49063	0.404198	5.44307	0.405754	5.45561	0.840731	-0.912148
0.265801	6.78429	0.093775	4.52645	0.4548	1.66294	0.683714	4.5284	0.407888	5.47197	0.409452	5.48341	0.840134	-0.854072
0.270338	6.6388	0.0968425	4.54918	0.455983	1.84288	0.686787	4.56477	0.411596	5.49818	0.413167	5.50851	0.839576	-0.795164
0.274775	6.48734	0.0999248	4.57053	0.457291	2.02962	0.689885	4.59974	0.41532	5.52183	0.416899	5.53106	0.839059	-0.735396
0.279108	6.33032	0.103021	4.59051	0.458727	2.22269	0.693005	4.63345	0.41906	5.54299	0.420644	5.5511	0.838582	-0.67472
0.283333	6.1681	0.10613	4.60928	0.460296	2.42175	0.696148	4.66593	0.422814	5.56156	0.424403	5.56869	0.838146	-0.613133
0.287446	6.00117	0.109252	4.62681	0.462001	2.62643	0.699313	4.69717	0.426579	5.57772	0.428172	5.58387	0.837753	-0.550635
0.291445	5.83014	0.112385	4.64321	0.463846	2.83601	0.702498	4.72726	0.430354	5.59156	0.431951	5.59666	0.837402	-0.487224
0.295328	5.65569	0.115529	4.65853	0.465835	3.04971	0.705703	4.75622	0.434138	5.60299	0.435738	5.6071	0.837094	-0.422895
0.299091	5.4787	0.118683	4.67283	0.467969	3.26681	0.708928	4.78407	0.437928	5.61211	0.439531	5.61526	0.83683	-0.357637
0.302734	5.29998	0.121846	4.68617	0.470251	3.48649	0.712171	4.8109	0.441724	5.61895	0.443329	5.62119	0.836611	-0.291431
0.306256	5.12044	0.125018	4.69862	0.472682	3.70768	0.715431	4.83668	0.445524	5.62354	0.44713	5.62486	0.836436	-0.224237
0.309656	4.94117	0.127788	4.70879	0.475263	3.92946	0.718709	4.8615	0.449326	5.62596	0.450933	5.62635	0.836308	-0.156079
0.312936	4.76313	0.130155	4.71694	0.477994	4.15072	0.722003	4.8854	0.45313	5.62626	0.454736	5.6257	0.836225	-0.0869985
0.316095	4.58726	0.132115	4.72336	0.480874	4.37042	0.725313	4.90835	0.456932	5.62433	0.458538	5.62288	0.83619	-0.0168733
0.319137	4.41452	0.133666	4.72833	0.483902	4.5875	0.728639	4.93043	0.460733	5.62026	0.462337	5.61796	0.836203	0.0542316
0.322063	4.24591	0.134808	4.7317	0.487076	4.80099	0.731979	4.95157	0.46453	5.61415	0.466133	5.61093	0.836263	0.126276
0.324877	4.08224	0.135539	4.73385	0.490393	5.00999	0.735332	4.97195	0.468322	5.60597	0.469923	5.60191	0.836373	0.199392
0.327581	3.92431	0.136591	4.73697	0.493849	5.21356	0.7387	4.9915	0.472108	5.59577	0.473706	5.59085	0.836533	0.27354
0.330182	3.7727	0.137735	4.74019	0.497441	5.41102	0.74208	5.01021	0.475887	5.58353	0.477481	5.57772	0.836743	0.348642
0.332682	3.62799	0.139292	4.7444	0.501164	5.6016	0.745473	5.02825	0.479656	5.56926	0.481246	5.56265	0.837004	0.424743
0.335086	3.49062	0.141263	4.74951	0.505013	5.78487	0.748878	5.04555	0.483416	5.55304	0.485	5.54564	0.837317	0.501833
0.3374	3.36085	0.143649	4.75547	0.508984	5.9604	0.752294	5.06208	0.487163	5.53493	0.488743	5.52667	0.837683	0.579992
0.339629	3.23901	0.146452	4.7619	0.513071	6.12773	0.755721	5.07797	0.490898	5.51487	0.492472	5.50579	0.838101	0.659179
