Sym0		Asym0		Sym1		Asym1		Asym2	
341  Points		338  Points		214  Points		291  Points		291  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.296751	5.59347	0.130359	5.17822	0.473256	3.34753	0.466843	5.10398	0.467882	5.10451
0.300212	5.42802	0.133618	5.19678	0.475422	3.55141	0.47005	5.10492	0.471089	5.10479
0.30357	5.26128	0.136888	5.21446	0.477717	3.75667	0.473256	5.10385	0.474295	5.10307
0.306822	5.09401	0.140169	5.23124	0.480142	3.96252	0.476462	5.10085	0.4775	5.09941
0.309969	4.92687	0.14346	5.24709	0.482695	4.16802	0.479664	5.09594	0.480702	5.09394
0.313012	4.76088	0.14676	5.26218	0.485378	4.37241	0.482864	5.08915	0.4839	5.08659
0.31595	4.59673	0.150071	5.2765	0.488188	4.57478	0.486058	5.08046	0.487092	5.0773
0.318787	4.43519	0.153389	5.29003	0.491125	4.77431	0.489246	5.07004	0.490278	5.06624
0.321522	4.27713	0.156716	5.30285	0.494186	4.97033	0.492427	5.05779	0.493457	5.05345
0.32416	4.12319	0.160051	5.31504	0.497369	5.16205	0.4956	5.04371	0.496627	5.03884
0.326702	3.97405	0.163394	5.32647	0.500671	5.34874	0.498764	5.02804	0.499787	5.02256
0.329153	3.83023	0.166743	5.33729	0.504089	5.52995	0.501917	5.01061	0.502937	5.00454
0.331514	3.69229	0.169667	5.34627	0.507619	5.70518	0.505059	4.99149	0.506074	4.98492
0.333791	3.56068	0.172163	5.35354	0.511256	5.87401	0.508188	4.97076	0.509199	4.96371
0.335988	3.43565	0.17423	5.35929	0.514998	6.03621	0.511303	4.94841	0.51231	4.94084
0.338107	3.31747	0.175866	5.36379	0.51884	6.19137	0.514404	4.92456	0.515406	4.91649
0.340155	3.20637	0.17707	5.3669	0.522776	6.3395	0.51749	4.89915	0.518487	4.89063
0.342136	3.10236	0.17784	5.36889	0.526804	6.48051	0.520559	4.87222	0.52155	4.86322
0.344053	3.00548	0.178949	5.37165	0.530918	6.61425	0.523611	4.84388	0.524596	4.83438
